선수명,포지션,수비 승리 기여도,년도,순위,팀명,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
박준영,유격수,0.749,2022,10,두산,37,33,288,2,0,52,86,22,0.986,0,0,0,-
정수빈,중견수,0.461,2022,2,두산,65,63,534,1,0,163,3,1,0.994,0,0,0,-
김기연,포수,0.432,2022,11,두산,35,24,244,2,0,197,14,1,0.991,1,18,3,14.3
강승호,2루수,0.370,2022,3,두산,64,62,513,11,0,124,148,29,0.961,0,0,0,-
조수행,좌익수,0.307,2022,6,두산,49,41,373,1,0,114,2,0,0.991,0,0,0,-
양의지,포수,0.289,2022,7,두산,41,41,338 2/3,3,0,275,14,1,0.99,4,27,4,12.9
이유찬,3루수,0.282,2022,30,두산,13,12,98,2,0,14,22,2,0.947,0,0,0,-
김대한,우익수,0.194,2022,18,두산,22,10,105,1,0,27,0,0,0.964,0,0,0,-
전민재,3루수,0.166,2022,27,두산,16,5,65,0,0,7,9,2,1.0,0,0,0,-
이유찬,2루수,0.140,2022,21,두산,20,4,65,0,0,14,28,7,1.0,0,0,0,-
이유찬,유격수,0.106,2022,52,두산,3,2,15,0,0,4,6,1,1.000,0,0,0,-
안승한,포수,0.046,2022,58,두산,2,1,9 1/3,0,0,7,0,0,1.000,0,1,0,0.0
양찬열,우익수,0.044,2022,52,두산,3,0,4,0,0,1,0,0,1.000,0,0,0,-
장승현,포수,0.041,2022,39,두산,9,7,58,0,0,57,2,0,1.000,0,3,0,0.0
허경민,3루수,0.028,2022,5,두산,55,54,443 1/3,5,0,39,80,6,0.96,0,0,0,-
강승호,1루수,0.018,2022,21,두산,20,6,74,0,0,63,10,8,1.0,0,0,0,-
서예일,유격수,0.017,2022,52,두산,3,0,5,0,0,0,2,0,1.000,0,0,0,-
조수행,우익수,0.017,2022,43,두산,7,2,22,0,0,5,0,0,1.000,0,0,0,-
전민재,유격수,0.007,2022,12,두산,32,21,195,2,0,39,47,13,0.977,0,0,0,-
김태근,우익수,0.001,2022,43,두산,7,0,14,0,0,3,0,0,1.000,0,0,0,-
전다민,중견수,0.000,2022,63,두산,1,0,2,0,0,0,0,0,-,0,0,0,-
전다민,우익수,0.000,2022,63,두산,1,0,3,0,0,0,0,0,-,0,0,0,-
홍성호,좌익수,-0.001,2022,63,두산,1,0,2,0,0,0,0,0,-,0,0,0,-
박준영,3루수,-0.002,2022,58,두산,2,0,3,0,0,0,0,0,-,0,0,0,-
홍성호,1루수,-0.003,2022,52,두산,3,0,5,0,0,5,0,2,1.000,0,0,0,-
홍성호,우익수,-0.003,2022,58,두산,2,0,4,0,0,0,0,0,-,0,0,0,-
서예일,3루수,-0.016,2022,39,두산,9,2,34,1,0,2,6,1,0.889,0,0,0,-
김대한,중견수,-0.050,2022,51,두산,4,0,9,0,0,4,0,0,1.000,0,0,0,-
김인태,우익수,-0.064,2022,63,두산,1,1,6,0,0,2,0,0,1.000,0,0,0,-
전민재,2루수,-0.086,2022,39,두산,9,6,57,2,0,11,23,4,0.944,0,0,0,-
윤준호,포수,-0.088,2022,52,두산,3,0,9,0,0,5,0,0,1.000,0,0,0,-
김태근,좌익수,-0.101,2022,49,두산,5,3,30 2/3,0,0,8,0,0,1.000,0,0,0,-
박계범,2루수,-0.107,2022,30,두산,13,1,24,0,0,3,5,1,1.0,0,0,0,-
김태근,중견수,-0.148,2022,46,두산,6,1,19,0,0,3,0,0,1.000,0,0,0,-
김인태,좌익수,-0.155,2022,43,두산,7,5,38,0,0,5,0,0,1.000,0,0,0,-
박계범,유격수,-0.158,2022,52,두산,3,2,19,2,0,1,10,0,0.846,0,0,0,-
김대한,좌익수,-0.171,2022,25,두산,18,5,71,0,0,15,0,0,1.0,0,0,0,-
조수행,중견수,-0.266,2022,27,두산,16,9,94,0,0,23,1,0,1.0,0,0,0,-
박계범,3루수,-0.285,2022,36,두산,10,0,15 2/3,1,0,2,2,0,0.800,0,0,0,-
김재호,유격수,-0.410,2022,17,두산,23,15,137,5,0,27,30,6,0.919,0,0,0,-
김재환,좌익수,-0.508,2022,24,두산,19,19,144 1/3,0,0,30,0,0,1.0,0,0,0,-
양석환,1루수,-0.654,2022,1,두산,67,67,578,3,0,508,37,46,0.995,0,0,0,-
라모스,우익수,-0.931,2022,4,두산,60,60,501,4,0,98,2,0,0.962,0,0,0,-
김민혁,1루수,,2022,63,두산,1,0,1,0,0,0,0,0,-,0,0,0,-
이유찬,중견수,,2022,63,두산,1,0,1,0,0,1,0,0,1.000,0,0,0,-
박계범,1루수,,2022,63,두산,1,0,1,0,0,0,0,0,-,0,0,0,-
