선수명,포지션,수비 승리 기여도,년도,순위,팀명,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
이도윤,유격수,0.691,2022,5,한화,44,33,303,4,0,53,88,26,0.972,0,0,0,-
노시환,3루수,0.589,2022,1,한화,68,68,596,4,0,55,116,14,0.977,0,0,0,-
최재훈,포수,0.395,2022,3,한화,51,44,373,2,2,348,25,5,0.995,3,33,12,26.7
이원석,중견수,0.249,2022,22,한화,21,5,79,0,0,24,0,0,1.0,0,0,0,-
이진영,중견수,0.203,2022,25,한화,19,12,109,0,0,37,0,0,1.0,0,0,0,-
최인호,좌익수,0.184,2022,2,한화,59,44,381 2/3,2,0,91,3,0,0.979,0,0,0,-
박상언,포수,0.162,2022,15,한화,26,9,113,1,0,91,5,1,0.99,1,20,1,4.8
장진혁,우익수,0.161,2022,41,한화,9,1,26,0,0,6,0,0,1.000,0,0,0,-
임종찬,우익수,0.153,2022,34,한화,12,0,28,0,0,5,0,0,1.000,0,0,0,-
황영묵,2루수,0.141,2022,19,한화,22,15,146 1/3,3,0,52,46,13,0.97,0,0,0,-
이재원,포수,0.076,2022,19,한화,22,16,124,0,0,99,11,1,1.0,3,15,5,25.0
김강민,중견수,0.065,2022,18,한화,23,12,117,0,0,28,0,0,1.0,0,0,0,-
정은원,좌익수,0.046,2022,38,한화,10,9,70,0,0,20,0,0,1.000,0,0,0,-
유로결,우익수,0.027,2022,62,한화,1,0,2,0,0,0,0,0,-,0,0,0,-
황영묵,유격수,0.018,2022,9,한화,31,23,199,1,0,35,54,10,0.989,0,0,0,-
하주석,3루수,0.013,2022,52,한화,3,1,10,1,0,2,3,0,0.833,0,0,0,-
장진혁,좌익수,0.012,2022,44,한화,8,3,39,0,0,10,0,0,1.000,0,0,0,-
정은원,중견수,0.008,2022,45,한화,6,6,46,1,0,12,0,0,0.923,0,0,0,-
이도윤,2루수,0.006,2022,27,한화,16,6,71,2,0,20,23,3,0.956,0,0,0,-
정은원,2루수,0.002,2022,51,한화,4,4,31,0,0,6,10,4,1.000,0,0,0,-
이원석,우익수,-0.003,2022,52,한화,3,0,5,0,0,3,0,0,1.000,0,0,0,-
문현빈,유격수,-0.003,2022,62,한화,1,0,2,0,0,2,0,1,1.000,0,0,0,-
유로결,중견수,-0.011,2022,60,한화,2,2,18,0,0,2,0,0,1.000,0,0,0,-
채은성,우익수,-0.017,2022,29,한화,15,15,123,0,0,29,0,0,1.0,0,0,0,-
이상혁,중견수,-0.020,2022,62,한화,1,0,3,0,0,0,0,0,-,0,0,0,-
유로결,좌익수,-0.041,2022,60,한화,2,2,11,0,0,2,0,0,1.000,0,0,0,-
안치홍,2루수,-0.059,2022,52,한화,3,3,21,0,0,5,6,2,1.000,0,0,0,-
김태연,1루수,-0.088,2022,10,한화,30,20,203 1/3,4,0,165,18,12,0.979,0,0,0,-
김인환,1루수,-0.089,2022,62,한화,1,1,6,1,0,3,1,0,0.800,0,0,0,-
이진영,우익수,-0.110,2022,45,한화,6,2,18,0,0,3,0,0,1.000,0,0,0,-
채은성,1루수,-0.163,2022,25,한화,19,18,152 2/3,2,0,145,8,16,0.987,0,0,0,-
하주석,유격수,-0.178,2022,29,한화,15,13,106,0,0,17,37,7,1.0,0,0,0,-
임종찬,중견수,-0.238,2022,27,한화,16,15,105,0,0,23,2,0,1.0,0,0,0,-
페라자,우익수,-0.241,2022,6,한화,38,38,303,7,0,71,3,1,0.914,0,0,0,-
김태연,우익수,-0.244,2022,31,한화,14,13,101,0,0,18,1,0,1.000,0,0,0,-
김태연,2루수,-0.251,2022,45,한화,6,4,30 2/3,2,0,10,9,3,0.905,0,0,0,-
페라자,좌익수,-0.337,2022,19,한화,22,11,105 1/3,0,0,21,1,0,1.0,0,0,0,-
장진혁,중견수,-0.338,2022,23,한화,20,17,132,0,0,30,0,0,1.0,0,0,0,-
문현빈,2루수,-0.480,2022,4,한화,45,37,310,1,0,60,101,28,0.994,0,0,0,-
안치홍,1루수,-0.534,2022,10,한화,30,30,248,4,0,202,21,28,0.982,0,0,0,-
이상혁,우익수,,2022,52,한화,3,0,4,0,0,1,0,0,1.000,0,0,0,-
이상혁,좌익수,,2022,62,한화,1,0,2,0,0,0,0,0,-,0,0,0,-
이명기,좌익수,,2022,62,한화,1,0,1,0,0,0,0,0,-,0,0,0,-
이도윤,3루수,,2022,62,한화,1,0,1,0,0,0,0,0,-,0,0,0,-
황영묵,3루수,,2022,52,한화,3,0,3,0,0,0,1,0,1.000,0,0,0,-
이명기,중견수,,2022,62,한화,1,0,1,0,0,0,0,0,-,0,0,0,-
