선수명,포지션,수비 승리 기여도,년도,순위,팀명,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
박찬호,유격수,0.939,2022,2,KIA,62,61,531 1/3,9,0,96,149,37,0.965,0,0,0,-
김태군,포수,0.618,2022,8,KIA,48,37,301 2/3,3,0,263,26,3,0.99,3,29,9,23.7
김호령,중견수,0.415,2022,12,KIA,33,4,97 1/3,2,0,36,0,0,0.947,0,0,0,-
김도영,3루수,0.314,2022,1,KIA,68,67,574,16,0,43,121,14,0.911,0,0,0,-
김선빈,2루수,0.304,2022,4,KIA,58,55,453,6,0,111,144,37,0.977,0,0,0,-
한준수,포수,0.289,2022,6,KIA,52,33,318 1/3,1,0,275,18,6,0.997,4,30,6,16.7
최원준,중견수,0.264,2022,7,KIA,51,45,347 1/3,1,0,93,1,1,0.989,0,0,0,-
박정우,중견수,0.229,2022,33,KIA,11,1,26 2/3,0,0,8,0,0,1.000,0,0,0,-
서건창,2루수,0.218,2022,18,KIA,25,12,113 2/3,1,0,21,32,9,0.981,0,0,0,-
이우성,좌익수,0.211,2022,51,KIA,2,1,6,0,0,4,0,0,1.000,0,0,0,-
박민,유격수,0.184,2022,37,KIA,8,3,35,3,0,8,12,4,0.870,0,0,0,-
소크라테스,중견수,0.065,2022,22,KIA,21,19,151 2/3,1,0,44,1,0,0.978,0,0,0,-
이창진,중견수,0.051,2022,57,KIA,1,1,5,0,0,1,0,0,1.0,0,0,0,-
박정우,좌익수,-0.001,2022,49,KIA,3,0,2 1/3,0,0,0,0,0,-,0,0,0,-
홍종표,유격수,-0.012,2022,37,KIA,8,6,47,1,0,9,14,4,0.958,0,0,0,-
박정우,우익수,-0.015,2022,57,KIA,1,1,9,0,0,3,0,0,1.000,0,0,0,-
김선빈,3루수,-0.024,2022,57,KIA,1,0,3,0,0,0,0,0,-,0,0,0,-
변우혁,3루수,-0.026,2022,57,KIA,1,0,2,0,0,1,0,0,1.0,0,0,0,-
소크라테스,우익수,-0.038,2022,45,KIA,4,1,11,1,0,4,0,0,0.800,0,0,0,-
황대인,1루수,-0.046,2022,51,KIA,2,2,10,0,0,9,1,1,1.000,0,0,0,-
고종욱,좌익수,-0.052,2022,41,KIA,7,2,19,0,0,3,0,0,1.000,0,0,0,-
홍종표,2루수,-0.060,2022,23,KIA,19,3,61 1/3,0,0,15,26,8,1.0,0,0,0,-
김규성,유격수,-0.094,2022,44,KIA,5,0,11 2/3,1,0,4,3,0,0.875,0,0,0,-
김규성,3루수,-0.110,2022,57,KIA,1,0,5,0,0,0,0,0,-,0,0,0,-
변우혁,1루수,-0.131,2022,31,KIA,12,7,62,1,0,53,2,8,0.982,0,0,0,-
한승택,포수,-0.147,2022,49,KIA,3,0,8,1,0,8,1,0,0.900,0,0,0,-
이우성,우익수,-0.169,2022,26,KIA,16,14,105,2,0,23,0,0,0.92,0,0,0,-
최원준,우익수,-0.181,2022,9,KIA,43,12,181 2/3,0,0,32,0,0,1.0,0,0,0,-
나성범,우익수,-0.187,2022,21,KIA,22,22,174 1/3,1,0,32,3,1,0.972,0,0,0,-
이창진,좌익수,-0.231,2022,19,KIA,23,10,108,0,0,24,0,0,1.0,0,0,0,-
홍종표,3루수,-0.263,2022,35,KIA,10,3,43,1,0,2,5,0,0.875,0,0,0,-
이창진,우익수,-0.305,2022,16,KIA,29,20,147,1,0,29,0,0,0.967,0,0,0,-
서건창,1루수,-0.355,2022,19,KIA,23,12,126,3,0,107,11,10,0.975,0,0,0,-
최형우,좌익수,-0.404,2022,33,KIA,11,11,82 1/3,1,0,9,0,0,0.900,0,0,0,-
이우성,1루수,-1.014,2022,5,KIA,55,49,430,3,0,405,23,45,0.993,0,0,0,-
소크라테스,좌익수,-1.051,2022,3,KIA,59,46,410 1/3,2,0,80,4,1,0.977,0,0,0,-
박민,3루수,,2022,57,KIA,1,0,1,0,0,0,0,0,-,0,0,0,-
김선빈,유격수,,2022,51,KIA,2,0,3,0,0,1,2,0,1.000,0,0,0,-
