선수명,포지션,수비 승리 기여도,년도,순위,팀명,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
장성우,포수,0.859,2022,2,KT,57,53,414 1/3,1,0,373,32,2,0.998,1,42,12,22.2
신본기,유격수,0.416,2022,7,KT,40,19,189 1/3,4,0,32,65,18,0.96,0,0,0,-
김상수,유격수,0.346,2022,4,KT,52,49,392,7,0,90,98,18,0.964,0,0,0,-
황재균,3루수,0.304,2022,1,KT,67,65,546 1/3,5,0,44,103,11,0.967,0,0,0,-
로하스,좌익수,0.264,2022,5,KT,47,41,355,0,0,96,0,0,1.0,0,0,0,-
문상철,1루수,0.245,2022,7,KT,40,39,305 2/3,3,0,274,25,26,0.99,0,0,0,-
오윤석,2루수,0.215,2022,17,KT,24,16,143,0,0,35,44,10,1.0,0,0,0,-
김병준,중견수,0.167,2022,24,KT,16,3,41,0,0,13,2,0,1.0,0,0,0,-
조용호,우익수,0.160,2022,6,KT,45,29,271,1,0,52,0,0,0.981,0,0,0,-
장준원,유격수,0.138,2022,36,KT,10,2,32,0,0,7,6,0,1.000,0,0,0,-
이호연,3루수,0.106,2022,37,KT,9,4,36,0,0,1,3,1,1.000,0,0,0,-
천성호,3루수,0.079,2022,56,KT,3,0,11,0,0,1,4,0,1.000,0,0,0,-
안치영,중견수,0.055,2022,27,KT,14,12,91,0,0,22,0,0,1.0,0,0,0,-
조대현,포수,0.040,2022,40,KT,8,1,24,0,0,22,0,0,1.000,0,0,0,-
김준태,포수,0.015,2022,20,KT,18,3,57 1/3,0,1,39,2,1,1.0,0,6,0,0.0
송민섭,중견수,0.012,2022,67,KT,2,0,5,0,0,2,0,0,1.000,0,0,0,-
로하스,중견수,0.006,2022,45,KT,6,2,27,0,0,11,1,0,1.000,0,0,0,-
오윤석,1루수,0.006,2022,56,KT,3,0,4,0,0,5,0,2,1.000,0,0,0,-
정준영,중견수,0.005,2022,67,KT,2,1,7,0,0,3,0,0,1.000,0,0,0,-
안치영,좌익수,0.005,2022,56,KT,3,0,4,0,0,1,0,0,1.000,0,0,0,-
강현우,포수,-0.001,2022,56,KT,3,0,15,0,0,10,1,0,1.000,1,0,0,-
이호연,1루수,-0.001,2022,72,KT,1,0,2,0,0,4,0,1,1.000,0,0,0,-
배정대,중견수,-0.016,2022,9,KT,39,38,329,2,0,101,1,1,0.981,0,0,0,-
김건형,우익수,-0.025,2022,37,KT,9,8,57,0,0,18,0,0,1.000,0,0,0,-
안현민,좌익수,-0.025,2022,56,KT,3,1,13,0,0,2,0,0,1.000,0,0,0,-
안치영,우익수,-0.041,2022,31,KT,13,1,30,0,0,3,0,0,1.000,0,0,0,-
박경수,2루수,-0.042,2022,56,KT,3,0,3 1/3,0,0,1,1,1,1.000,0,0,0,-
오윤석,3루수,-0.045,2022,42,KT,7,1,22,0,0,0,2,0,1.000,0,0,0,-
김병준,우익수,-0.057,2022,51,KT,4,0,8,0,0,3,0,0,1.000,0,0,0,-
김민혁,우익수,-0.072,2022,49,KT,5,2,16 1/3,0,0,0,0,0,-,0,0,0,-
홍현빈,중견수,-0.077,2022,51,KT,4,1,13,0,0,2,0,0,1.000,0,0,0,-
로하스,우익수,-0.097,2022,16,KT,25,23,170 2/3,1,0,41,0,0,0.976,0,0,0,-
신본기,2루수,-0.102,2022,25,KT,15,5,54 2/3,1,0,10,18,2,0.966,0,0,0,-
정준영,우익수,-0.104,2022,42,KT,7,4,34 1/3,0,0,9,0,0,1.000,0,0,0,-
정준영,좌익수,-0.144,2022,51,KT,4,0,6,0,0,0,0,0,-,0,0,0,-
김민혁,좌익수,-0.145,2022,15,KT,26,23,181 2/3,2,0,39,0,0,0.951,0,0,0,-
이호연,2루수,-0.148,2022,42,KT,7,0,14,0,0,3,4,1,1.000,0,0,0,-
강백호,포수,-0.166,2022,21,KT,17,13,107 2/3,2,1,96,14,0,0.982,2,24,7,22.6
강백호,우익수,-0.169,2022,49,KT,5,3,24,2,0,2,0,0,0.500,0,0,0,-
김민혁,중견수,-0.191,2022,27,KT,14,13,105 1/3,1,0,28,0,0,0.966,0,0,0,-
오재일,1루수,-0.301,2022,18,KT,22,19,163,0,0,137,11,16,1.0,0,0,0,-
조용호,좌익수,-0.474,2022,32,KT,11,5,52 2/3,0,0,8,1,0,1.000,0,0,0,-
천성호,2루수,-0.841,2022,3,KT,55,49,403 1/3,4,0,73,116,27,0.979,0,0,0,-
홍현빈,우익수,,2022,67,KT,2,0,3,0,0,0,0,0,-,0,0,0,-
홍현빈,좌익수,,2022,72,KT,1,0,2,0,0,0,0,0,-,0,0,0,-
신본기,3루수,,2022,67,KT,2,0,3,0,0,0,1,0,1.000,0,0,0,-
송민섭,우익수,,2022,56,KT,3,0,4,0,0,0,0,0,-,0,0,0,-
황재균,유격수,,2022,51,KT,4,0,5,0,0,1,2,1,1.000,0,0,0,-
김병준,좌익수,,2022,56,KT,3,0,4,0,0,1,0,0,1.000,0,0,0,-
황재균,1루수,,2022,72,KT,1,0,1,0,0,2,0,0,1.000,0,0,0,-
