선수명,포지션,수비 승리 기여도,년도,순위,팀명,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
김혜성,2루수,1.047,2022,2,키움,56,55,478 2/3,8,0,118,166,42,0.973,0,0,0,-
송성문,3루수,0.334,2022,4,키움,45,36,327 2/3,1,0,31,57,7,0.989,0,0,0,-
김재현,포수,0.324,2022,1,키움,58,43,410 1/3,6,1,316,28,5,0.983,3,30,14,31.8
변상권,우익수,0.274,2022,37,키움,9,5,51 2/3,0,0,18,0,0,1.000,0,0,0,-
송성문,2루수,0.254,2022,41,키움,8,8,65 2/3,0,0,14,19,2,1.000,0,0,0,-
김주형,유격수,0.252,2022,37,키움,9,3,32,1,0,10,11,5,0.955,0,0,0,-
고영우,2루수,0.168,2022,46,키움,6,4,36,1,0,12,15,1,0.964,0,0,0,-
김건희,포수,0.158,2022,15,키움,19,15,117 1/3,2,0,67,6,0,0.973,0,16,5,23.8
이용규,좌익수,0.111,2022,21,키움,15,14,120 2/3,0,0,38,0,0,1.0,0,0,0,-
변상권,좌익수,0.099,2022,29,키움,12,11,86,0,0,23,0,0,1.0,0,0,0,-
이주형,우익수,0.089,2022,17,키움,17,16,129,2,0,33,1,0,0.944,0,0,0,-
주성원,좌익수,0.051,2022,61,키움,2,2,16,0,0,5,0,0,1.000,0,0,0,-
이주형,중견수,0.045,2022,46,키움,6,5,42,0,0,13,0,0,1.000,0,0,0,-
김시앙,포수,0.041,2022,46,키움,6,2,19 1/3,0,0,20,0,0,1.000,0,0,0,-
임병욱,우익수,0.041,2022,55,키움,4,1,11,0,0,2,0,0,1.000,0,0,0,-
주성원,우익수,0.039,2022,22,키움,14,9,76,2,0,25,1,1,0.929,0,0,0,-
박성빈,포수,0.037,2022,46,키움,6,4,27,0,0,16,1,0,1.000,0,1,0,0.0
이용규,우익수,0.036,2022,31,키움,11,8,77,1,0,22,0,0,0.957,0,0,0,-
김태진,유격수,0.034,2022,61,키움,2,1,12,0,0,1,4,1,1.000,0,0,0,-
김태진,2루수,0.011,2022,55,키움,4,1,14,1,0,3,5,1,0.889,0,0,0,-
김주형,2루수,0.009,2022,61,키움,2,0,3,0,0,0,1,0,1.000,0,0,0,-
김태진,좌익수,-0.001,2022,43,키움,7,3,32,0,0,9,0,0,1.000,0,0,0,-
송지후,2루수,-0.005,2022,70,키움,1,0,3,0,0,0,0,0,-,0,0,0,-
이승원,유격수,-0.019,2022,61,키움,2,1,9,1,0,3,3,1,0.857,0,0,0,-
김태진,우익수,-0.031,2022,61,키움,2,0,6,0,0,0,0,0,-,0,0,0,-
최주환,1루수,-0.032,2022,3,키움,54,50,445 1/3,3,0,395,25,44,0.993,0,0,0,-
이형종,우익수,-0.040,2022,15,키움,19,19,160,1,0,47,0,0,0.979,0,0,0,-
예진원,좌익수,-0.050,2022,46,키움,6,1,19,0,0,7,0,0,1.000,0,0,0,-
이용규,중견수,-0.066,2022,22,키움,14,9,79,0,0,23,0,0,1.0,0,0,0,-
임병욱,중견수,-0.071,2022,28,키움,13,9,73,1,0,18,0,0,0.947,0,0,0,-
박수종,우익수,-0.108,2022,61,키움,2,0,6,0,0,0,0,0,-,0,0,0,-
임지열,좌익수,-0.117,2022,43,키움,7,4,35,0,0,9,0,0,1.000,0,0,0,-
도슨,중견수,-0.140,2022,11,키움,25,22,185 2/3,0,0,58,0,0,1.0,0,0,0,-
고영우,유격수,-0.141,2022,35,키움,10,4,45,1,0,3,13,3,0.941,0,0,0,-
박준형,포수,-0.143,2022,55,키움,4,2,12 1/3,0,0,7,0,1,1.000,1,2,0,0.0
김동헌,포수,-0.147,2022,61,키움,2,2,14,1,0,10,0,0,0.909,0,6,0,0.0
도슨,좌익수,-0.166,2022,5,키움,39,33,288 2/3,2,0,78,0,0,0.975,0,0,0,-
예진원,중견수,-0.212,2022,31,키움,11,1,23,0,0,6,0,0,1.000,0,0,0,-
예진원,우익수,-0.225,2022,54,키움,5,1,16 2/3,0,0,9,0,0,1.000,0,0,0,-
송성문,1루수,-0.247,2022,18,키움,16,7,73,0,0,63,5,12,1.0,0,0,0,-
박수종,중견수,-0.254,2022,11,키움,25,14,139 2/3,1,0,35,0,0,0.972,0,0,0,-
원성준,중견수,-0.284,2022,41,키움,8,8,58,1,0,17,0,0,0.944,0,0,0,-
임지열,우익수,-0.289,2022,37,키움,9,9,66,0,0,10,0,0,1.000,0,0,0,-
이원석,1루수,-0.314,2022,31,키움,11,11,82,2,0,81,4,5,0.977,0,0,0,-
이재상,유격수,-0.431,2022,11,키움,25,19,163,2,0,34,38,11,0.973,0,0,0,-
고영우,3루수,-0.558,2022,6,키움,34,26,218 2/3,4,0,18,37,4,0.932,0,0,0,-
박주홍,좌익수,,2022,61,키움,2,0,2,0,0,1,0,0,1.000,0,0,0,-
김주형,3루수,,2022,70,키움,1,0,1,0,0,0,0,0,-,0,0,0,-
박주홍,우익수,,2022,70,키움,1,0,1,0,0,0,0,0,-,0,0,0,-
신준우,유격수,,2022,70,키움,1,0,1,0,0,0,0,0,-,0,0,0,-
박수종,좌익수,,2022,70,키움,1,0,1,0,0,0,0,0,-,0,0,0,-
