선수명,포지션,수비 승리 기여도,년도,순위,팀명,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
박동원,포수,0.977,2022,6,LG,58,50,438 1/3,4,2,383,44,5,0.991,5,47,14,23.0
구본혁,3루수,0.614,2022,15,LG,29,7,103,0,0,10,25,2,1.000,0,0,0,-
오지환,유격수,0.472,2022,8,LG,54,46,417,6,0,68,114,22,0.968,0,0,0,-
박해민,중견수,0.293,2022,1,LG,72,63,561,1,0,134,1,0,0.993,0,0,0,-
구본혁,2루수,0.288,2022,22,LG,18,10,96,1,0,21,32,6,0.981,0,0,0,-
홍창기,우익수,0.274,2022,4,LG,62,56,491,5,0,119,1,0,0.960,0,0,0,-
최승민,좌익수,0.197,2022,33,LG,10,0,18,0,0,9,1,0,1.000,0,0,0,-
최원영,중견수,0.124,2022,44,LG,3,0,6,0,0,4,0,0,1.000,0,0,0,-
문성주,좌익수,0.117,2022,7,LG,57,46,414,0,0,106,4,2,1.000,0,0,0,-
김민수,3루수,0.095,2022,51,LG,2,0,5,0,0,1,4,0,1.000,0,0,0,-
안익훈,우익수,0.060,2022,55,LG,1,1,9,0,0,3,0,0,1.000,0,0,0,-
문성주,우익수,0.054,2022,20,LG,23,15,125,1,0,29,1,0,0.968,0,0,0,-
김주성,3루수,0.036,2022,51,LG,2,0,4,0,0,0,2,0,1.000,0,0,0,-
문성주,중견수,0.035,2022,55,LG,1,0,2,0,0,1,0,0,1.000,0,0,0,-
안익훈,중견수,0.025,2022,55,LG,1,0,1,0,0,1,0,0,1.000,0,0,0,-
김현종,중견수,0.017,2022,41,LG,4,0,9,0,0,3,0,0,1.000,0,0,0,-
구본혁,유격수,0.011,2022,12,LG,31,26,207,3,0,36,55,13,0.968,0,0,0,-
김현종,우익수,0.011,2022,55,LG,1,0,3,0,0,0,0,0,-,0,0,0,-
김현종,좌익수,-0.001,2022,41,LG,4,0,5,0,0,0,0,0,-,0,0,0,-
김민수,1루수,-0.002,2022,55,LG,1,1,2,0,0,1,0,0,1.000,0,0,0,-
안익훈,좌익수,-0.004,2022,44,LG,3,0,9,0,0,3,0,0,1.000,0,0,0,-
김태우,2루수,-0.014,2022,51,LG,2,0,4,1,0,1,3,2,0.800,0,0,0,-
김주성,유격수,-0.022,2022,44,LG,3,0,4,0,0,1,0,0,1.000,0,0,0,-
김현수,1루수,-0.027,2022,40,LG,5,0,8,0,0,7,0,1,1.000,0,0,0,-
김범석,포수,-0.034,2022,35,LG,9,3,34,0,0,33,3,1,1.000,1,3,1,25.0
최명경,3루수,-0.037,2022,55,LG,1,0,6,0,0,1,1,0,1.000,0,0,0,-
김범석,1루수,-0.039,2022,31,LG,11,9,67,0,0,63,4,3,1.000,0,0,0,-
최원영,좌익수,-0.040,2022,38,LG,6,0,15,0,0,3,0,0,1.000,0,0,0,-
최원영,우익수,-0.071,2022,41,LG,4,0,9,0,0,1,0,0,1.000,0,0,0,-
김민수,유격수,-0.088,2022,44,LG,3,0,11,1,0,6,6,5,0.923,0,0,0,-
홍창기,중견수,-0.129,2022,31,LG,11,9,60,0,0,13,0,0,1.000,0,0,0,-
문보경,1루수,-0.143,2022,19,LG,24,0,53,2,0,39,5,2,0.957,0,0,0,-
신민재,2루수,-0.158,2022,2,LG,69,62,539,7,0,133,162,40,0.977,0,0,0,-
허도환,포수,-0.276,2022,10,LG,33,19,161 2/3,2,0,139,3,0,0.986,2,24,0,0.0
김현수,좌익수,-0.309,2022,17,LG,26,26,178,0,0,37,0,0,1.000,0,0,0,-
문보경,3루수,-0.792,2022,3,LG,67,65,516,6,0,50,91,11,0.959,0,0,0,-
오스틴,1루수,-0.940,2022,4,LG,62,62,509,5,0,415,49,49,0.989,0,0,0,-
전준호,포수,,2022,44,LG,3,0,5,0,0,4,1,0,1.000,0,0,0,-
최승민,우익수,,2022,55,LG,1,0,2,0,0,0,0,0,-,0,0,0,-
김태우,3루수,,2022,55,LG,1,0,2,0,0,0,0,0,-,0,0,0,-
