선수명,포지션,수비 승리 기여도,년도,순위,팀명,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
김주원,유격수,1.742,2022,1,NC,65,58,516,7,0,88,131,22,0.969,0,0,0,-
박민우,2루수,0.786,2022,9,NC,48,46,399 2/3,3,0,87,112,18,0.985,0,0,0,-
김형준,포수,0.653,2022,5,NC,59,55,475,6,0,416,35,4,0.987,2,31,16,34.0
권희동,좌익수,0.619,2022,2,NC,62,55,462,0,0,128,9,2,1.0,0,0,0,-
손아섭,우익수,0.455,2022,20,NC,17,15,120,0,0,31,0,0,1.0,0,0,0,-
최정원,중견수,0.287,2022,19,NC,18,4,60 1/3,1,0,25,0,0,0.962,0,0,0,-
김휘집,3루수,0.247,2022,18,NC,19,14,131,2,0,9,35,5,0.957,0,0,0,-
김성욱,중견수,0.218,2022,4,NC,61,52,457,0,0,113,2,0,1.0,0,0,0,-
서호철,3루수,0.188,2022,2,NC,62,60,503 1/3,7,0,43,98,13,0.953,0,0,0,-
도태훈,1루수,0.178,2022,16,NC,22,6,81 1/3,0,0,73,8,5,1.0,0,0,0,-
한석현,좌익수,0.115,2022,44,NC,7,0,11 2/3,0,0,4,1,0,1.000,0,0,0,-
박시원,중견수,0.088,2022,58,NC,2,1,12,0,0,4,0,0,1.000,0,0,0,-
오영수,1루수,0.086,2022,34,NC,10,6,49 2/3,0,0,49,4,3,1.000,0,0,0,-
김수윤,1루수,0.049,2022,52,NC,3,0,12,0,0,9,1,1,1.000,0,0,0,-
도태훈,2루수,0.043,2022,24,NC,14,8,73,1,0,17,30,3,0.979,0,0,0,-
도태훈,3루수,0.039,2022,29,NC,13,2,45 2/3,1,0,3,14,0,0.944,0,0,0,-
권희동,중견수,0.034,2022,49,NC,4,4,25 1/3,0,0,8,0,0,1.000,0,0,0,-
김세훈,2루수,0.030,2022,63,NC,1,1,7,0,0,1,0,0,1.000,0,0,0,-
박세혁,포수,0.024,2022,11,NC,34,15,155 1/3,2,0,136,10,2,0.986,2,17,4,19.0
박영빈,좌익수,0.022,2022,49,NC,4,0,8,0,0,1,0,0,1.000,0,0,0,-
김휘집,유격수,0.021,2022,7,NC,51,46,390 1/3,7,0,60,119,26,0.962,0,0,0,-
최정원,좌익수,0.015,2022,63,NC,1,0,2,0,0,0,0,0,-,0,0,0,-
손아섭,좌익수,-0.005,2022,39,NC,8,8,57,0,0,12,0,0,1.000,0,0,0,-
김한별,2루수,-0.008,2022,46,NC,6,0,9,0,0,3,0,0,1.000,0,0,0,-
김성욱,좌익수,-0.030,2022,38,NC,9,1,24 1/3,0,0,1,0,0,1.000,0,0,0,-
김성욱,우익수,-0.043,2022,39,NC,8,2,25 2/3,0,0,2,0,0,1.000,0,0,0,-
김수윤,3루수,-0.049,2022,63,NC,1,0,2,0,0,0,0,0,-,0,0,0,-
권희동,우익수,-0.063,2022,58,NC,2,2,15,0,0,0,0,0,-,0,0,0,-
김세훈,유격수,-0.066,2022,48,NC,5,0,8 1/3,0,0,3,0,0,1.000,0,0,0,-
천재환,좌익수,-0.112,2022,39,NC,8,1,23,0,0,7,0,0,1.000,0,0,0,-
박한결,좌익수,-0.140,2022,44,NC,7,5,42 1/3,1,0,7,0,0,0.875,0,0,0,-
천재환,중견수,-0.158,2022,34,NC,10,5,46 2/3,0,0,14,0,0,1.000,0,0,0,-
한석현,우익수,-0.175,2022,32,NC,12,1,29 1/3,0,0,3,1,0,1.000,0,0,0,-
박건우,중견수,-0.178,2022,52,NC,3,2,15,0,0,4,0,0,1.000,0,0,0,-
서호철,2루수,-0.186,2022,39,NC,8,5,49,2,0,16,14,4,0.938,0,0,0,-
한석현,중견수,-0.190,2022,52,NC,3,2,14,0,0,2,0,0,1.000,0,0,0,-
김한별,유격수,-0.201,2022,33,NC,11,6,53,0,0,7,14,2,1.000,0,0,0,-
최정원,2루수,-0.280,2022,21,NC,16,10,92 2/3,1,0,31,23,7,0.982,0,0,0,-
박건우,우익수,-0.372,2022,8,NC,50,49,399 1/3,0,0,82,2,0,1.0,0,0,0,-
천재환,우익수,-0.404,2022,22,NC,15,1,41,0,0,4,1,1,1.0,0,0,0,-
데이비슨,1루수,-0.884,2022,6,NC,58,58,487 1/3,7,0,406,38,33,0.984,0,0,0,-
김한별,3루수,,2022,58,NC,2,0,1 1/3,0,0,0,0,0,-,0,0,0,-
도태훈,유격수,,2022,63,NC,1,0,1,0,0,0,0,0,-,0,0,0,-
