선수명,포지션,수비 승리 기여도,년도,순위,팀명,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
이지영,포수,1.022,2022,6,SSG,55,49,436 1/3,3,0,435,29,4,0.994,0,46,16,25.8
오태곤,1루수,0.596,2022,7,SSG,40,6,134,0,0,128,9,14,1.0,0,0,0,-
박성한,유격수,0.581,2022,2,SSG,69,66,583,9,0,117,179,39,0.97,0,0,0,-
김성현,3루수,0.354,2022,33,SSG,9,7,67,0,0,4,17,1,1.000,0,0,0,-
정준재,2루수,0.349,2022,27,SSG,13,12,89 1/3,0,0,13,36,4,1.0,0,0,0,-
박지환,2루수,0.323,2022,21,SSG,17,16,140,2,0,41,48,15,0.978,0,0,0,-
최경모,2루수,0.297,2022,18,SSG,20,4,72 2/3,1,0,10,26,3,0.973,0,0,0,-
고명준,1루수,0.180,2022,3,SSG,57,55,419,3,0,371,26,33,0.993,0,0,0,-
김찬형,유격수,0.065,2022,58,SSG,1,0,3,0,0,2,0,0,1.000,0,0,0,-
강진성,1루수,0.046,2022,50,SSG,2,1,9,0,0,6,1,1,1.000,0,0,0,-
최준우,3루수,0.045,2022,47,SSG,4,0,6,0,0,1,3,0,1.000,0,0,0,-
정준재,유격수,0.040,2022,50,SSG,2,1,5,0,0,1,3,0,1.000,0,0,0,-
김성현,2루수,0.027,2022,27,SSG,13,9,83,1,0,14,24,6,0.974,0,0,0,-
강진성,좌익수,0.027,2022,58,SSG,1,0,3,0,0,1,0,0,1.000,0,0,0,-
김창평,우익수,0.024,2022,58,SSG,1,1,4,0,0,3,0,0,1.000,0,0,0,-
오태곤,좌익수,0.024,2022,39,SSG,7,3,27 2/3,0,0,5,0,0,1.000,0,0,0,-
김성현,유격수,0.023,2022,58,SSG,1,1,8,0,0,2,2,1,1.000,0,0,0,-
오태곤,3루수,0.014,2022,50,SSG,2,0,5,0,0,0,2,0,1.000,0,0,0,-
안상현,2루수,0.005,2022,15,SSG,28,22,176,4,0,29,53,9,0.953,0,0,0,-
최민창,우익수,0.000,2022,50,SSG,2,0,3,0,0,0,0,0,-,0,0,0,-
김찬형,2루수,-0.003,2022,50,SSG,2,1,11,0,0,4,1,0,1.000,0,0,0,-
정현승,우익수,-0.008,2022,39,SSG,7,3,34,0,0,5,0,0,1.000,0,0,0,-
추신수,우익수,-0.020,2022,46,SSG,5,5,34,0,0,6,0,0,1.000,0,0,0,-
정준재,3루수,-0.038,2022,38,SSG,8,3,38 1/3,0,0,4,6,0,1.000,0,0,0,-
오태곤,중견수,-0.047,2022,42,SSG,6,2,19,0,0,4,0,0,1.000,0,0,0,-
김민식,포수,-0.070,2022,24,SSG,14,12,106,0,0,94,6,1,1.0,3,7,2,22.2
김찬형,3루수,-0.076,2022,50,SSG,2,1,10,0,0,0,3,0,1.000,0,0,0,-
최경모,3루수,-0.088,2022,19,SSG,19,5,60,2,0,4,7,0,0.846,0,0,0,-
최경모,유격수,-0.098,2022,33,SSG,9,2,20,1,0,0,2,0,0.667,0,0,0,-
최준우,2루수,-0.124,2022,30,SSG,10,6,47,2,0,10,13,2,0.920,0,0,0,-
하재훈,좌익수,-0.127,2022,22,SSG,16,11,116,1,0,25,1,0,0.963,0,0,0,-
에레디아,좌익수,-0.136,2022,4,SSG,56,54,460 1/3,1,0,86,6,2,0.989,0,0,0,-
한유섬,좌익수,-0.185,2022,50,SSG,2,2,10,1,0,1,0,0,0.500,0,0,0,-
오태곤,우익수,-0.189,2022,33,SSG,9,4,44,2,0,13,1,1,0.875,0,0,0,-
최지훈,중견수,-0.192,2022,1,SSG,70,68,598,7,0,160,3,1,0.959,0,0,0,-
조형우,포수,-0.208,2022,24,SSG,14,9,76 2/3,1,1,70,5,1,0.987,4,10,3,23.1
전의산,1루수,-0.250,2022,33,SSG,9,8,57,1,0,40,6,2,0.979,0,0,0,-
한유섬,우익수,-0.386,2022,11,SSG,34,32,270,2,0,62,0,0,0.969,0,0,0,-
최정,3루수,-0.434,2022,4,SSG,56,54,431 2/3,6,0,23,61,4,0.933,0,0,0,-
하재훈,우익수,-1.643,2022,13,SSG,33,25,230,5,0,32,2,0,0.872,0,0,0,-
하재훈,중견수,,2022,58,SSG,1,0,1,0,0,1,0,0,1.000,0,0,0,-
고명준,3루수,,2022,58,SSG,1,0,1,0,0,0,0,0,-,0,0,0,-
최민창,중견수,,2022,58,SSG,1,0,1,0,0,1,0,0,1.000,0,0,0,-
최민창,좌익수,,2022,58,SSG,1,0,2,0,0,0,0,0,-,0,0,0,-
