선수명,포지션,수비 승리 기여도,년도,순위,팀명,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
김영웅,유격수,1.090,2022,8,삼성,37,32,297 2/3,5,0,69,80,24,0.968,0,0,0,-
이성규,우익수,0.840,2022,7,삼성,38,26,232 1/3,2,0,64,2,0,0.971,0,0,0,-
김현준,우익수,0.662,2022,23,삼성,20,11,110,1,0,42,0,0,0.977,0,0,0,-
김지찬,중견수,0.606,2022,2,삼성,56,47,400,1,0,119,0,0,0.992,0,0,0,-
강민호,포수,0.354,2022,1,삼성,60,42,373 1/3,2,0,305,18,2,0.994,4,38,7,15.6
강한울,3루수,0.342,2022,40,삼성,9,3,41,0,0,1,14,2,1.000,0,0,0,-
맥키넌,1루수,0.299,2022,5,삼성,43,42,366,3,0,287,33,18,0.991,0,0,0,-
김재혁,좌익수,0.267,2022,50,삼성,5,2,23,0,0,10,0,0,1.000,0,0,0,-
김호진,3루수,0.261,2022,36,삼성,11,5,46,0,0,3,10,1,1.000,0,0,0,-
이재현,유격수,0.252,2022,8,삼성,37,35,290 1/3,6,0,64,65,11,0.956,0,0,0,-
이병헌,포수,0.240,2022,4,삼성,45,25,224 2/3,1,0,183,14,1,0.995,0,24,8,25.0
김재상,2루수,0.209,2022,12,삼성,32,24,205 1/3,2,0,36,63,11,0.98,0,0,0,-
김동진,2루수,0.203,2022,31,삼성,14,5,59,0,0,11,26,4,1.000,0,0,0,-
김태훈,우익수,0.198,2022,53,삼성,4,2,20,0,0,6,0,0,1.000,0,0,0,-
구자욱,좌익수,0.181,2022,3,삼성,54,53,427 1/3,0,0,111,2,1,1.0,0,0,0,-
양우현,2루수,0.164,2022,61,삼성,3,3,27,0,0,6,10,3,1.000,0,0,0,-
김성윤,우익수,0.160,2022,40,삼성,9,7,59 1/3,0,0,14,1,0,1.000,0,0,0,-
안주형,3루수,0.126,2022,68,삼성,2,0,3,0,0,1,2,0,1.000,0,0,0,-
전병우,1루수,0.104,2022,74,삼성,1,1,6,0,0,4,0,0,1.000,0,0,0,-
류승민,우익수,0.086,2022,53,삼성,4,0,7,0,0,3,0,0,1.000,0,0,0,-
김헌곤,우익수,0.080,2022,20,삼성,25,19,153 1/3,0,0,41,0,0,1.0,0,0,0,-
이성규,좌익수,0.059,2022,47,삼성,6,2,22,0,0,9,0,0,1.000,0,0,0,-
전병우,3루수,0.049,2022,38,삼성,10,8,64 2/3,1,0,9,7,0,0.941,0,0,0,-
김재혁,1루수,0.042,2022,53,삼성,4,4,31,0,0,21,4,4,1.000,0,0,0,-
김재상,3루수,0.031,2022,68,삼성,2,0,3,0,0,0,1,0,1.000,0,0,0,-
류지혁,2루수,0.028,2022,18,삼성,27,22,169 1/3,3,0,30,34,7,0.955,0,0,0,-
윤정빈,좌익수,0.025,2022,61,삼성,3,2,19 1/3,0,0,4,0,0,1.000,0,0,0,-
김성윤,중견수,0.023,2022,22,삼성,21,6,83 1/3,0,0,26,0,0,1.0,0,0,0,-
류지혁,3루수,0.015,2022,25,삼성,19,15,139 1/3,2,0,17,20,3,0.949,0,0,0,-
공민규,1루수,0.013,2022,68,삼성,2,0,5,0,0,5,2,0,1.000,0,0,0,-
김호진,유격수,0.008,2022,53,삼성,4,1,14,0,0,1,0,0,1.000,0,0,0,-
김재혁,우익수,0.003,2022,43,삼성,8,2,18,0,0,3,0,0,1.000,0,0,0,-
박병호,1루수,0.002,2022,6,삼성,40,31,297 2/3,3,0,250,24,19,0.989,0,0,0,-
김호진,2루수,0.002,2022,74,삼성,1,0,2,0,0,1,0,0,1.000,0,0,0,-
이성규,중견수,-0.006,2022,31,삼성,14,10,78 2/3,0,0,19,0,0,1.000,0,0,0,-
윤정빈,우익수,-0.012,2022,61,삼성,3,3,27,0,0,1,0,0,1.000,0,0,0,-
김태훈,좌익수,-0.015,2022,68,삼성,2,0,3 2/3,0,0,0,0,0,-,0,0,0,-
김지찬,2루수,-0.015,2022,43,삼성,8,0,12,0,0,2,0,0,1.000,0,0,0,-
김재혁,중견수,-0.016,2022,47,삼성,6,1,18,0,0,5,0,0,1.000,0,0,0,-
김재성,포수,-0.038,2022,46,삼성,7,2,29,0,0,20,3,0,1.000,1,5,1,16.7
김재성,1루수,-0.039,2022,74,삼성,1,1,5,1,0,3,0,1,0.750,0,0,0,-
류지혁,1루수,-0.045,2022,50,삼성,5,1,11,0,0,4,0,0,1.000,0,0,0,-
이성규,1루수,-0.076,2022,28,삼성,15,2,46,1,0,32,2,3,0.971,0,0,0,-
김현준,중견수,-0.080,2022,33,삼성,13,5,37,0,0,11,0,0,1.000,0,0,0,-
김동진,3루수,-0.090,2022,53,삼성,4,1,13,0,0,1,2,1,1.000,0,0,0,-
김현준,좌익수,-0.112,2022,68,삼성,2,2,12 1/3,0,0,1,0,0,1.000,0,0,0,-
공민규,3루수,-0.113,2022,40,삼성,9,4,33,1,0,1,7,0,0.889,0,0,0,-
안주형,유격수,-0.134,2022,50,삼성,5,2,21,0,0,2,5,1,1.000,0,0,0,-
