선수명,포지션,수비 승리 기여도,년도,순위,팀명,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
신윤후,우익수,0.452,2022,32,롯데,12,5,60,0,0,17,4,1,1.000,0,0,0,-
유강남,포수,0.356,2022,2,롯데,42,38,287,3,0,241,20,4,0.989,1,25,10,28.6
최항,2루수,0.225,2022,10,롯데,27,15,144 2/3,1,0,31,58,12,0.989,0,0,0,-
황성빈,좌익수,0.222,2022,19,롯데,18,10,108,0,0,20,0,0,1.0,0,0,0,-
손성빈,포수,0.217,2022,25,롯데,16,4,61,1,0,53,4,0,0.983,0,1,0,0.0
정훈,3루수,0.176,2022,62,롯데,2,1,11,0,0,1,5,0,1.000,0,0,0,-
노진혁,3루수,0.150,2022,50,롯데,4,3,25,0,0,1,6,1,1.000,0,0,0,-
레이예스,좌익수,0.120,2022,50,롯데,4,4,30,0,0,7,1,1,1.000,0,0,0,-
정보근,포수,0.100,2022,8,롯데,30,16,153 1/3,0,0,133,14,3,1.0,0,16,5,23.8
장두성,중견수,0.087,2022,41,롯데,7,1,16,0,0,5,0,0,1.000,0,0,0,-
정대선,2루수,0.083,2022,62,롯데,2,0,4,0,0,2,3,1,1.000,0,0,0,-
손호영,2루수,0.070,2022,25,롯데,16,13,94 1/3,0,0,19,31,10,1.0,0,0,0,-
장두성,우익수,0.067,2022,38,롯데,8,0,12 2/3,0,0,3,0,0,1.000,0,0,0,-
이주찬,유격수,0.062,2022,55,롯데,3,0,5,0,0,1,3,1,1.000,0,0,0,-
김민성,2루수,0.059,2022,55,롯데,3,2,12,0,0,1,7,1,1.000,0,0,0,-
최항,3루수,0.050,2022,62,롯데,2,0,3,0,0,0,1,0,1.000,0,0,0,-
윤동희,우익수,0.039,2022,34,롯데,11,11,82 1/3,0,0,17,0,0,1.000,0,0,0,-
황성빈,우익수,0.035,2022,62,롯데,2,0,4,0,0,1,0,0,1.000,0,0,0,-
오선진,유격수,0.030,2022,72,롯데,1,0,2,0,0,0,1,0,1.000,0,0,0,-
오선진,3루수,0.023,2022,50,롯데,4,1,14,0,0,0,4,0,1.000,0,0,0,-
레이예스,중견수,0.021,2022,72,롯데,1,0,2,0,0,2,0,0,1.000,0,0,0,-
박승욱,2루수,0.020,2022,23,롯데,17,4,51,0,0,15,19,2,1.0,0,0,0,-
오선진,2루수,0.013,2022,55,롯데,3,2,16,0,0,1,5,0,1.000,0,0,0,-
고승민,2루수,0.009,2022,12,롯데,26,22,189 1/3,1,0,31,62,10,0.989,0,0,0,-
윤동희,중견수,0.007,2022,1,롯데,44,41,358,1,0,102,1,0,0.99,0,0,0,-
서동욱,포수,0.002,2022,50,롯데,4,0,10,0,0,7,1,1,1.000,0,0,1,100
이학주,3루수,0.001,2022,55,롯데,3,2,5 2/3,0,0,0,0,0,-,0,0,0,-
고승민,우익수,0.000,2022,55,롯데,3,2,16,0,0,4,0,0,1.000,0,0,0,-
김민석,좌익수,-0.001,2022,19,롯데,18,13,121,0,0,35,1,1,1.0,0,0,0,-
정훈,좌익수,-0.001,2022,72,롯데,1,0,2,0,0,0,0,0,-,0,0,0,-
김동혁,우익수,-0.012,2022,62,롯데,2,0,4 2/3,0,0,1,0,0,1.000,0,0,0,-
고승민,좌익수,-0.020,2022,30,롯데,13,12,86,0,0,17,2,0,1.0,0,0,0,-
김민성,3루수,-0.026,2022,12,롯데,26,17,147 1/3,1,0,13,21,4,0.971,0,0,0,-
손호영,3루수,-0.028,2022,19,롯데,18,12,111,5,0,12,25,3,0.881,0,0,0,-
고승민,1루수,-0.051,2022,50,롯데,4,0,9,0,0,9,1,1,1.000,0,0,0,-
장두성,좌익수,-0.058,2022,48,롯데,5,1,15,0,0,3,0,0,1.000,0,0,0,-
노진혁,유격수,-0.058,2022,29,롯데,15,11,80 2/3,2,0,17,19,6,0.947,0,0,0,-
김민석,중견수,-0.073,2022,62,롯데,2,2,16 1/3,0,0,8,0,0,1.000,0,0,0,-
김동혁,중견수,-0.096,2022,44,롯데,6,0,10,1,0,3,0,0,0.750,0,0,0,-
최항,1루수,-0.103,2022,41,롯데,7,1,15 1/3,0,0,9,0,2,1.000,0,0,0,-
나승엽,1루수,-0.142,2022,5,롯데,33,31,264,3,0,264,21,25,0.99,0,0,0,-
박승욱,유격수,-0.159,2022,9,롯데,29,18,156 1/3,6,0,19,55,10,0.925,0,0,0,-
노진혁,1루수,-0.176,2022,55,롯데,3,2,17,1,0,15,1,3,0.941,0,0,0,-
손호영,유격수,-0.253,2022,44,롯데,6,4,39,1,0,8,9,3,0.944,0,0,0,-
전준우,좌익수,-0.271,2022,19,롯데,18,18,149 1/3,1,0,41,1,1,0.977,0,0,0,-
한동희,3루수,-0.292,2022,44,롯데,6,6,32 1/3,2,0,1,7,1,0.800,0,0,0,-
레이예스,우익수,-0.325,2022,3,롯데,40,40,331 2/3,3,0,66,0,0,0.957,0,0,0,-
이학주,유격수,-0.362,2022,4,롯데,36,25,228 1/3,2,0,37,64,15,0.981,0,0,0,-
박승욱,3루수,-0.386,2022,15,롯데,25,11,118 2/3,1,0,9,19,5,0.966,0,0,0,-
정훈,1루수,-0.408,2022,12,롯데,26,24,206,2,0,185,18,21,0.99,0,0,0,-
황성빈,중견수,-0.414,2022,25,롯데,16,14,106,0,0,16,0,0,1.0,0,0,0,-
이주찬,3루수,-0.511,2022,37,롯데,10,5,46 1/3,4,0,3,9,2,0.750,0,0,0,-
신윤후,중견수,,2022,72,롯데,1,0,1,0,0,0,0,0,-,0,0,0,-
이선우,중견수,,2022,72,롯데,1,0,2,0,0,1,0,0,1.000,0,0,0,-
