선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
나성범,KIA,0.365,58,253,222,51,81,12,1,18,149,57,0,4,26,0,1,36,1,0.671,0.427,1.098,25,0.348,1.0
박정우,KIA,0.333,21,12,9,2,3,0,0,0,3,0,3,0,0,0,0,1,0,0.333,0.333,0.666,0,0.333,0.25
김선빈,KIA,0.320,119,473,419,41,134,16,0,0,150,48,8,3,38,0,5,26,10,0.358,0.381,0.739,36,0.333,0.0
김도영,KIA,0.303,84,385,340,72,103,20,5,7,154,47,2,4,38,1,1,62,14,0.453,0.371,0.824,27,0.312,0.0
최형우,KIA,0.302,121,508,431,64,130,27,1,17,210,81,0,4,65,1,8,83,5,0.487,0.400,0.887,35,0.317,0.667
이우성,KIA,0.301,126,400,355,39,107,17,0,8,148,58,6,3,31,4,5,81,10,0.417,0.363,0.780,24,0.32,0.5
박찬호,KIA,0.301,130,507,452,73,136,18,4,3,171,52,7,6,40,0,2,56,13,0.378,0.356,0.734,42,0.355,0.0
고종욱,KIA,0.296,114,286,270,35,80,17,0,3,106,39,0,2,14,0,0,58,3,0.393,0.329,0.722,18,0.346,0.295
소크라테스,KIA,0.285,142,608,547,91,156,31,3,20,253,96,0,8,52,4,1,80,13,0.463,0.344,0.807,41,0.303,0.0
이창진,KIA,0.270,104,284,244,35,66,11,3,4,95,29,2,2,34,1,2,44,6,0.389,0.362,0.751,14,0.291,0.464
김태군,KIA,0.257,114,346,311,24,80,10,1,1,95,42,8,4,15,1,8,30,17,0.305,0.305,0.610,17,0.337,0.471
한준수,KIA,0.256,48,94,86,9,22,4,0,2,32,12,1,0,7,0,0,26,2,0.372,0.312,0.684,5,0.25,0.2
최원준,KIA,0.255,67,274,239,37,61,11,2,1,79,23,4,0,31,0,0,39,5,0.331,0.341,0.672,17,0.328,0.0
김규성,KIA,0.234,99,177,158,29,37,6,1,2,51,11,5,0,13,0,1,43,2,0.323,0.297,0.620,9,0.178,0.0
변우혁,KIA,0.225,83,226,200,23,45,4,0,7,70,24,0,0,23,1,3,74,4,0.350,0.314,0.664,7,0.263,0.231
황대인,KIA,0.213,60,199,174,19,37,4,0,5,56,26,0,3,18,2,4,50,6,0.322,0.296,0.618,7,0.259,0.0
김호령,KIA,0.179,76,107,95,16,17,7,0,0,24,6,3,0,8,0,1,38,1,0.253,0.250,0.503,4,0.231,0.0
오선우,KIA,0.179,33,31,28,2,5,0,0,2,11,5,0,0,3,0,0,15,0,0.393,0.258,0.651,0,0.5,0.25
신범수,KIA,0.170,36,100,88,7,15,3,0,2,24,10,2,1,7,0,2,19,3,0.273,0.245,0.518,2,0.231,0.0
최정용,KIA,0.167,56,41,36,17,6,1,0,0,7,1,3,0,2,0,0,9,0,0.194,0.211,0.405,0,0.0,0.0
김선우,KIA,0.143,5,7,7,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0.143,0.143,0.286,0,0.0,0.0
김석환,KIA,0.130,12,26,23,1,3,1,0,0,4,3,1,0,2,0,0,9,1,0.174,0.200,0.374,0,0.0,0.333
한승택,KIA,0.129,49,104,85,6,11,2,0,0,13,3,6,0,11,0,2,32,1,0.153,0.245,0.398,2,0.13,0.0
주효상,KIA,0.063,19,36,32,2,2,0,0,0,2,1,2,0,2,0,0,10,1,0.063,0.118,0.181,0,0.111,0.0
김기훈,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
박준표,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
윤도현,KIA,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0
윤중현,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
정해영,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
홍종표,KIA,0.000,40,12,7,10,0,0,0,0,0,0,1,0,3,0,1,1,0,0.000,0.364,0.364,0,0.0,0.0
황동하,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
김민혁,KT,0.297,113,448,397,68,118,20,3,3,153,41,7,5,36,0,3,48,4,0.385,0.356,0.741,33,0.284,0.286
황재균,KT,0.295,109,457,407,62,120,26,2,6,168,49,3,1,45,1,1,64,15,0.413,0.366,0.779,35,0.314,0.0
정준영,KT,0.292,34,55,48,6,14,2,0,0,16,6,4,0,3,0,0,11,1,0.333,0.333,0.666,1,0.214,0.333
안치영,KT,0.290,76,136,124,20,36,3,1,0,41,9,3,1,6,0,2,35,1,0.331,0.331,0.662,10,0.276,0.333
알포드,KT,0.289,133,547,491,83,142,31,3,15,224,70,0,3,47,1,6,140,6,0.456,0.356,0.812,43,0.303,0.667
장성우,KT,0.288,131,464,410,37,118,22,0,11,173,65,3,7,42,1,2,70,12,0.422,0.351,0.773,36,0.267,0.25
박병호,KT,0.283,132,493,431,53,122,15,0,18,191,87,0,8,46,2,8,114,9,0.443,0.357,0.800,31,0.34,0.25
이호연,KT,0.278,85,234,212,28,59,5,1,3,75,17,1,1,16,0,4,41,6,0.354,0.339,0.693,12,0.222,0.357
배정대,KT,0.277,97,361,311,48,86,16,0,2,108,38,4,5,38,1,3,76,2,0.347,0.356,0.703,25,0.293,0.0
김상수,KT,0.271,129,512,443,58,120,19,1,3,150,56,8,3,55,0,3,68,9,0.339,0.353,0.692,30,0.336,0.5
강백호,KT,0.265,71,271,238,32,63,10,1,8,99,39,0,2,31,4,0,55,1,0.416,0.347,0.763,15,0.345,0.3
문상철,KT,0.260,112,330,304,30,79,20,0,9,126,46,1,6,16,1,3,81,4,0.414,0.298,0.712,16,0.219,0.229
오윤석,KT,0.251,82,223,199,24,50,13,1,4,77,17,6,0,13,1,5,44,7,0.387,0.313,0.700,17,0.262,0.222
박민석,KT,0.250,4,4,4,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0.250,0.250,0.500,0,0.0,0.0
조용호,KT,0.248,63,184,161,20,40,2,0,0,42,7,0,0,23,0,0,25,3,0.261,0.342,0.603,9,0.196,0.364
홍현빈,KT,0.233,44,86,73,15,17,2,0,0,19,1,0,0,13,0,0,21,2,0.260,0.349,0.609,4,0.067,0.0
김준태,KT,0.209,69,136,115,10,24,4,0,3,37,23,1,0,19,0,1,32,3,0.322,0.326,0.648,2,0.4,0.3
신본기,KT,0.204,40,75,54,8,11,2,0,1,16,7,1,4,14,0,2,8,3,0.296,0.365,0.661,1,0.0,0.0
문상준,KT,0.200,2,5,5,1,1,0,0,0,1,0,0,0,0,0,0,4,0,0.200,0.200,0.400,0,0.0,0.0
박경수,KT,0.200,107,221,185,12,37,13,0,1,53,12,5,0,30,1,1,46,2,0.286,0.315,0.601,8,0.139,0.077
강현우,KT,0.194,53,111,103,11,20,6,0,1,29,11,1,0,6,0,1,17,3,0.282,0.245,0.527,3,0.206,0.167
강민성,KT,0.182,12,27,22,2,4,1,0,0,5,0,1,0,4,0,0,10,0,0.227,0.308,0.535,0,0.333,0.0
장준원,KT,0.172,69,104,87,10,15,2,1,1,22,10,3,1,12,0,1,25,1,0.253,0.277,0.530,1,0.208,0.0
이상호,KT,0.148,63,60,54,15,8,1,0,0,9,5,4,0,2,0,0,9,2,0.167,0.179,0.346,0,0.231,0.143
이시원,KT,0.138,29,32,29,4,4,0,0,0,4,1,1,0,2,0,0,6,0,0.138,0.194,0.332,1,0.111,0.0
류현인,KT,0.130,17,24,23,6,3,0,0,0,3,3,0,0,1,0,0,4,0,0.130,0.167,0.297,0,0.25,0.0
송민섭,KT,0.130,69,25,23,6,3,0,0,0,3,0,0,0,1,0,1,8,0,0.130,0.200,0.330,0,0.0,0.0
손민석,KT,0.100,9,12,10,2,1,0,0,0,1,1,0,0,1,0,1,3,0,0.100,0.250,0.350,0,0.0,0.0
김민,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
김병준,KT,0.000,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.0,0.0
김병희,KT,0.000,5,9,8,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0.000,0.111,0.111,0,0.0,0.0
김영현,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
김재윤,KT,-,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
문상인,KT,-,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-,1.000,1.000,0,0.0,0.0
박영현,KT,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
이상동,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
이선우,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
이채호,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
하준호,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
이천웅,LG,1.000,4,3,3,0,3,0,0,0,3,1,0,0,0,0,0,0,0,1.000,1.000,2.000,0,1.0,1.0
홍창기,LG,0.332,141,643,524,109,174,35,2,1,216,65,3,6,88,3,22,83,6,0.412,0.444,0.856,58,0.361,0.5
안익훈,LG,0.318,11,23,22,1,7,1,0,0,8,2,0,0,0,0,1,2,0,0.364,0.348,0.712,2,0.333,0.0
오스틴,LG,0.313,139,583,520,87,163,29,4,23,269,95,0,7,53,2,3,75,11,0.517,0.376,0.893,43,0.299,0.5
문보경,LG,0.301,131,542,469,77,141,29,5,10,210,72,9,4,58,2,2,83,5,0.448,0.377,0.825,39,0.281,0.25
문성주,LG,0.294,136,534,449,77,132,21,4,2,167,57,6,4,67,0,8,34,10,0.372,0.392,0.764,31,0.297,0.375
김현수,LG,0.293,133,556,488,53,143,22,2,6,187,88,1,8,58,4,1,53,10,0.383,0.364,0.747,43,0.348,0.25
박해민,LG,0.285,144,558,485,80,138,14,2,6,174,59,24,1,45,0,3,74,7,0.359,0.348,0.707,33,0.313,0.5
신민재,LG,0.277,122,331,282,47,78,5,2,0,87,28,17,2,29,0,1,34,5,0.309,0.344,0.653,19,0.329,1.0
정주현,LG,0.273,89,101,88,17,24,2,0,1,29,12,2,1,9,0,0,16,1,0.330,0.337,0.667,5,0.304,0.0
오지환,LG,0.268,126,502,422,65,113,24,3,8,167,62,4,4,64,0,8,82,4,0.396,0.371,0.767,25,0.298,0.333
박동원,LG,0.249,130,481,409,54,102,17,1,20,181,75,8,8,49,3,7,90,7,0.443,0.334,0.777,27,0.212,0.333
김민성,LG,0.249,112,316,273,34,68,11,0,8,103,41,9,2,25,0,7,58,7,0.377,0.326,0.703,17,0.253,0.167
이재원,LG,0.214,57,129,112,15,24,5,0,4,41,18,0,3,12,2,2,40,1,0.366,0.295,0.661,4,0.242,0.133
손호영,LG,0.205,27,45,44,8,9,0,0,1,12,6,0,0,1,0,0,12,5,0.273,0.222,0.495,1,0.417,0.0
김주성,LG,0.200,11,7,5,1,1,0,0,0,1,0,0,0,1,0,1,2,0,0.200,0.429,0.629,0,0.0,0.0
서건창,LG,0.200,44,126,110,14,22,5,2,0,31,12,3,3,10,0,0,14,5,0.282,0.260,0.542,5,0.241,0.1
허도환,LG,0.141,47,81,64,8,9,3,0,2,18,10,7,1,3,0,6,20,3,0.281,0.243,0.524,1,0.333,0.0
김기연,LG,0.118,28,40,34,3,4,0,0,0,4,2,1,0,5,0,0,10,0,0.118,0.231,0.349,0,0.167,0.0
김범석,LG,0.111,10,29,27,3,3,1,0,1,7,4,0,1,1,0,0,5,1,0.259,0.138,0.397,0,0.125,0.0
최승민,LG,0.071,38,15,14,10,1,0,0,0,1,1,0,0,1,0,0,4,1,0.071,0.133,0.204,0,0.2,0.0
송찬의,LG,0.056,19,22,18,2,1,1,0,0,2,1,0,0,4,0,0,6,0,0.111,0.227,0.338,0,0.5,0.0
고우석,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
김대현,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
박명근,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
송대현,LG,0.000,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.0,0.0
오석주,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
이정용,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
전준호,LG,0.000,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
최동환,LG,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
손아섭,NC,0.339,140,609,551,97,187,36,3,5,244,65,1,5,50,2,2,67,10,0.443,0.393,0.836,54,0.339,0.333
박한결,NC,0.333,12,18,15,3,5,1,0,1,9,5,0,0,3,0,0,7,0,0.600,0.444,1.044,1,0.333,0.25
박건우,NC,0.319,130,533,458,70,146,34,2,12,220,85,1,9,56,0,9,71,14,0.480,0.397,0.877,49,0.304,0.0
박민우,NC,0.316,124,509,452,76,143,20,7,2,183,46,5,3,40,3,9,57,13,0.405,0.381,0.786,39,0.309,0.0
서호철,NC,0.287,114,435,397,50,114,17,3,5,152,41,6,4,20,0,8,51,9,0.383,0.331,0.714,29,0.294,0.25
박대온,NC,0.286,25,33,28,6,8,3,0,0,11,3,0,1,3,0,1,8,0,0.393,0.364,0.757,1,0.0,0.2
권희동,NC,0.285,96,373,309,33,88,16,0,7,125,63,4,5,49,0,6,50,4,0.405,0.388,0.793,23,0.327,0.4
마틴,NC,0.283,118,503,435,55,123,20,2,17,198,90,0,10,57,2,1,107,8,0.455,0.360,0.815,33,0.317,0.0
최보성,NC,0.263,12,21,19,2,5,0,0,0,5,0,0,0,2,0,0,2,1,0.263,0.333,0.596,2,0.2,0.0
최정원,NC,0.260,39,56,50,12,13,3,2,0,20,5,2,0,1,0,3,13,1,0.400,0.315,0.715,3,0.375,0.0
윤형준,NC,0.252,82,236,218,17,55,12,1,5,84,27,2,3,10,0,3,58,6,0.385,0.291,0.676,12,0.28,0.188
천재환,NC,0.239,78,179,163,12,39,7,1,2,54,17,2,2,8,0,4,44,5,0.331,0.288,0.619,9,0.224,0.0
김형준,NC,0.236,26,82,72,10,17,2,0,6,37,13,1,0,8,0,1,24,3,0.514,0.321,0.835,3,0.294,0.0
오영수,NC,0.236,70,238,208,21,49,9,1,4,72,24,5,3,17,1,5,55,5,0.346,0.305,0.651,15,0.164,0.0
도태훈,NC,0.234,117,302,239,41,56,6,0,5,77,23,7,1,38,1,17,48,8,0.322,0.376,0.698,12,0.183,0.4
김주원,NC,0.233,127,474,403,56,94,9,2,10,137,54,8,4,44,1,15,106,6,0.340,0.328,0.668,21,0.267,0.0
김성욱,NC,0.223,93,204,179,28,40,10,0,6,68,16,3,1,16,0,5,63,7,0.380,0.303,0.683,12,0.102,0.077
