선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
권혁경,KIA,0.500,0,0,1,0.00,0,-,5.50,0.000,0.4,0.35
김선우,KIA,0.333,0,1,1,1.00,0,-,2.75,0.000,0.7,0.308
박정우,KIA,0.333,0,0,1,0.00,0,0.00,3.33,0.000,0.3,0.233
나성범,KIA,0.320,62,117,134,0.87,9,0.47,3.75,0.188,110.9,0.308
소크라테스,KIA,0.311,53,125,152,0.82,8,0.42,3.65,0.183,82.8,0.283
이창진,KIA,0.301,21,102,81,1.26,2,0.65,4.03,0.101,52.3,0.269
이우성,KIA,0.292,8,42,23,1.83,1,0.60,3.93,0.083,14.1,0.256
김선빈,KIA,0.287,26,182,134,1.36,6,1.38,3.96,0.063,69.7,0.255
고종욱,KIA,0.283,10,32,23,1.39,2,0.33,3.91,0.142,13.8,0.253
류지혁,KIA,0.274,23,130,83,1.57,8,0.67,3.93,0.072,55.6,0.253
김호령,KIA,0.273,3,15,19,0.79,0,0.32,3.82,0.078,8.1,0.238
박찬호,KIA,0.272,26,160,139,1.15,8,0.85,4.00,0.069,67.1,0.24
최형우,KIA,0.264,42,114,130,0.88,6,0.79,4.22,0.156,71.1,0.27
황대인,KIA,0.256,41,121,146,0.83,8,0.39,3.53,0.145,56.4,0.242
박동원,KIA,0.242,39,104,94,1.11,6,0.47,4.10,0.195,56.5,0.259
김도영,KIA,0.237,18,48,62,0.77,0,0.35,4.00,0.125,27.3,0.231
김규성,KIA,0.180,2,15,14,1.07,0,0.08,3.31,0.100,2.6,0.158
한승택,KIA,0.176,3,26,29,0.90,0,0.30,3.76,0.049,6.5,0.174
김석환,KIA,0.149,5,27,21,1.29,1,0.31,4.23,0.117,6.9,0.18
최정용,KIA,0.091,0,7,7,1.00,0,0.00,3.43,0.000,-0.8,0.064
임석진,KIA,0.071,1,3,1,3.00,0,0.22,4.94,0.214,0.8,0.177
김재열,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
나지완,KIA,0.000,0,0,1,0.00,0,-,5.00,0.000,-0.1,0.0
류승현,KIA,0.000,0,1,1,1.00,0,0.00,3.67,0.000,-0.3,0.0
박민,KIA,0.000,0,1,1,1.00,0,-,2.50,0.000,-0.2,0.0
신범수,KIA,0.000,0,1,1,1.00,0,0.00,5.67,0.000,-0.3,0.0
이정훈,KIA,0.000,0,3,2,1.50,0,0.67,5.30,0.000,-0.1,0.09
문상준,KT,0.333,1,0,0,-,0,0.00,3.67,0.333,0.5,0.317
전진영,KT,0.333,0,0,2,0.00,0,-,3.67,0.000,0.3,0.233
조용호,KT,0.308,25,134,123,1.09,9,0.66,3.97,0.074,68.9,0.264
알포드,KT,0.286,34,45,71,0.63,9,0.37,4.06,0.223,52.4,0.29
김민혁,KT,0.284,12,121,87,1.39,5,0.60,3.68,0.038,41.2,0.238
박병호,KT,0.275,52,75,111,0.68,11,0.31,3.93,0.284,83.6,0.297
김준태,KT,0.273,21,46,48,0.96,0,0.43,4.21,0.130,34.8,0.263
배정대,KT,0.266,32,117,134,0.87,9,0.43,4.12,0.091,67.7,0.242
황재균,KT,0.262,38,132,154,0.86,4,0.54,3.82,0.118,63.2,0.246
장성우,KT,0.260,29,83,109,0.76,10,0.66,4.05,0.180,56.7,0.269
라모스,KT,0.250,5,17,20,0.85,1,0.22,3.74,0.167,9.6,0.241
장준원,KT,0.246,5,15,11,1.36,0,0.18,3.48,0.193,5.7,0.237
강백호,KT,0.245,18,66,71,0.93,4,0.52,4.11,0.127,27.4,0.233
심우준,KT,0.240,14,104,120,0.87,4,0.57,4.31,0.062,42.6,0.218
홍현빈,KT,0.237,2,24,8,3.00,1,0.38,4.22,0.026,8.0,0.212
오윤석,KT,0.234,19,73,83,0.88,7,0.49,3.84,0.108,34.5,0.231
문상철,KT,0.224,5,10,11,0.91,0,0.18,4.00,0.184,4.9,0.223
유준규,KT,0.214,0,2,3,0.67,0,0.17,3.63,0.000,0.8,0.174
김병희,KT,0.203,3,14,20,0.70,0,0.27,3.76,0.068,5.4,0.2
신본기,KT,0.182,4,40,32,1.25,1,0.36,3.80,0.050,5.9,0.172
송민섭,KT,0.156,3,20,15,1.33,0,0.26,3.75,0.078,2.5,0.156
이시원,KT,0.133,0,6,3,2.00,0,0.00,3.81,0.000,0.5,0.118
권동진,KT,0.132,2,13,4,3.25,0,0.06,3.83,0.079,1.3,0.122
박경수,KT,0.120,6,26,51,0.51,0,0.34,4.63,0.072,7.6,0.154
고명성,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
김재윤,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
김태훈,KT,0.000,0,3,5,0.60,0,0.00,3.90,0.000,-0.9,0.0
문상인,KT,0.000,0,1,0,-,0,0.00,3.67,0.000,-0.7,0.0
박영현,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
배제성,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
심재민,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
양승혁,KT,0.000,0,3,1,3.00,0,0.00,3.20,0.000,-0.6,0.0
이상우,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
이정현,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
조대현,KT,0.000,0,1,0,-,0,0.00,4.00,0.000,-0.4,0.0
주권,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
지명성,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
문보경,LG,0.315,34,124,105,1.18,7,0.84,3.73,0.135,69.7,0.285
문성주,LG,0.303,24,116,77,1.51,3,1.42,3.81,0.119,53.0,0.286
채은성,LG,0.296,40,115,137,0.84,11,0.31,3.71,0.141,69.8,0.269
박해민,LG,0.289,31,158,168,0.94,9,0.52,4.01,0.079,78.4,0.248
김현수,LG,0.286,50,145,170,0.85,17,1.15,3.76,0.187,93.6,0.287
홍창기,LG,0.286,24,154,88,1.75,8,0.79,4.10,0.069,66.7,0.264
오지환,LG,0.269,45,135,122,1.11,11,0.58,4.07,0.200,84.1,0.278
이형종,LG,0.264,3,13,19,0.68,1,0.50,3.81,0.057,7.3,0.226
손호영,LG,0.257,5,22,20,1.10,1,0.43,3.73,0.176,9.1,0.247
유강남,LG,0.255,24,102,112,0.91,4,0.35,3.93,0.096,48.2,0.234
이상호,LG,0.250,2,31,17,1.82,1,0.67,3.51,0.028,5.5,0.204
허도환,LG,0.247,6,24,14,1.71,0,0.08,3.97,0.094,7.3,0.212
송찬의,LG,0.236,7,11,21,0.52,0,0.08,3.82,0.181,9.2,0.231
이재원,LG,0.224,23,44,52,0.85,2,0.23,3.72,0.229,33.0,0.255
서건창,LG,0.224,13,58,69,0.84,1,0.45,3.99,0.082,20.7,0.211
김기연,LG,0.222,0,2,2,1.00,0,0.00,3.89,0.000,0.3,0.155
한석현,LG,0.222,0,2,2,1.00,0,0.00,3.40,0.000,0.1,0.155
김민성,LG,0.207,7,40,45,0.89,1,0.37,3.76,0.093,11.1,0.198
가르시아,LG,0.206,11,24,44,0.55,3,0.48,4.34,0.147,15.3,0.227
이천웅,LG,0.200,0,7,6,1.17,0,1.00,3.52,0.000,1.6,0.187
최민창,LG,0.200,0,3,0,-,0,0.00,3.20,0.000,0.1,0.14
이영빈,LG,0.184,4,18,19,0.95,0,0.28,3.46,0.079,4.1,0.18
루이즈,LG,0.155,6,36,23,1.57,1,0.69,3.69,0.107,4.1,0.171
고우석,LG,0.000,0,1,0,-,0,-,4.00,0.000,-0.1,0.0
김진성,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
김호은,LG,0.000,0,1,0,-,0,0.00,4.00,0.000,-0.2,0.0
박용택,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
박재욱,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
배재준,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
백승현,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
송승기,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
송은범,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
신민재,LG,0.000,0,2,1,2.00,0,-,4.33,0.000,-0.6,0.0
안익훈,LG,0.000,0,1,2,0.50,0,-,5.25,0.000,0.1,0.113
정우영,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
진해수,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
채원후,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
최동환,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
최성훈,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
함덕주,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
허준혁,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
박건우,NC,0.336,29,100,112,0.89,7,0.71,3.87,0.123,72.1,0.298
최승민,NC,0.324,0,10,6,1.67,0,0.00,3.18,0.000,3.1,0.227
마티니,NC,0.296,51,123,157,0.78,6,0.59,3.81,0.165,85.7,0.28
양의지,NC,0.283,44,105,163,0.64,12,1.25,3.63,0.197,78.9,0.291
노진혁,NC,0.280,39,88,97,0.91,8,0.43,3.93,0.174,62.4,0.273
손아섭,NC,0.277,37,198,128,1.55,4,0.78,3.90,0.089,72.2,0.248
전민수,NC,0.275,2,8,7,1.14,1,0.07,3.76,0.050,3.6,0.213
박민우,NC,0.267,27,123,111,1.11,4,0.76,3.92,0.092,53.5,0.248
이명기,NC,0.260,15,106,62,1.71,3,0.54,3.77,0.057,31.4,0.228
오영수,NC,0.238,16,65,56,1.16,5,0.38,3.80,0.121,25.6,0.229
권희동,NC,0.227,11,67,74,0.91,3,0.70,4.30,0.092,29.0,0.231
김주원,NC,0.223,22,52,71,0.73,4,0.34,3.88,0.165,38.3,0.246
김기환,NC,0.221,6,31,20,1.55,1,0.34,4.04,0.062,13.3,0.21
박준영,NC,0.216,13,49,61,0.80,1,0.50,4.39,0.106,21.9,0.219
도태훈,NC,0.216,9,46,43,1.07,1,0.57,3.74,0.094,12.7,0.204
윤형준,NC,0.209,2,14,18,0.78,0,0.05,3.51,0.060,3.7,0.172
서호철,NC,0.205,10,63,51,1.24,0,0.29,3.71,0.072,12.9,0.189
이재용,NC,0.200,1,1,1,1.00,0,0.50,3.83,0.600,1.0,0.35
정진기,NC,0.189,3,14,10,1.40,1,0.32,4.12,0.094,4.2,0.193
박대온,NC,0.181,5,32,36,0.89,1,0.00,3.36,0.055,3.4,0.145
박석민,NC,0.149,2,15,17,0.88,0,1.13,4.38,0.043,2.6,0.182
정범모,NC,0.143,0,4,1,4.00,0,0.00,3.00,0.000,0.0,0.1
천재환,NC,0.143,2,10,9,1.11,0,0.00,3.83,0.114,1.0,0.139
김응민,NC,0.134,2,26,21,1.24,0,0.25,3.49,0.060,1.4,0.135
김수윤,NC,0.118,2,4,4,1.00,1,0.14,3.61,0.235,1.1,0.163
김한별,NC,0.095,0,6,7,0.86,0,0.00,3.35,0.000,-1.0,0.067
김진호,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
김태경,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
류진욱,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
오태양,NC,0.000,0,2,0,-,0,0.00,2.50,0.000,-0.2,0.113
원종현,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
이용준,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
이용찬,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
하준영,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
한재승,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
라가레스,SSG,0.315,15,50,59,0.85,1,0.78,3.82,0.149,29.8,0.279
최지훈,SSG,0.304,46,151,172,0.88,9,0.61,3.63,0.123,90.0,0.27
김강민,SSG,0.303,16,47,39,1.21,1,0.46,3.70,0.146,28.9,0.281
최경모,SSG,0.301,2,17,16,1.06,0,0.06,3.51,0.027,7.1,0.222
박성한,SSG,0.298,30,156,112,1.39,7,0.74,3.99,0.077,70.7,0.262
이정범,SSG,0.273,0,5,1,5.00,0,0.00,3.45,0.000,0.8,0.191
최정,SSG,0.266,47,72,142,0.51,9,0.69,3.92,0.239,85.1,0.3
한유섬,SSG,0.264,55,114,91,1.25,15,0.48,4.02,0.214,82.7,0.287
추신수,SSG,0.259,37,101,106,0.95,5,0.71,4.09,0.171,73.8,0.279
최준우,SSG,0.250,0,4,3,1.33,0,1.00,3.63,0.000,2.1,0.231
전의산,SSG,0.249,29,47,51,0.92,3,0.29,3.73,0.232,35.1,0.262
오태곤,SSG,0.232,19,56,81,0.69,5,0.22,3.55,0.106,28.1,0.216
오준혁,SSG,0.230,2,15,17,0.88,0,0.33,3.43,0.033,3.4,0.195
김재현,SSG,0.222,1,6,5,1.20,0,0.00,3.50,0.056,0.3,0.169
석정우,SSG,0.222,0,3,1,3.00,0,0.00,2.89,0.000,0.0,0.155
크론,SSG,0.222,25,49,76,0.64,7,0.13,3.88,0.198,27.6,0.22
김민식,SSG,0.221,12,46,85,0.54,4,0.71,3.90,0.077,24.4,0.218
김성현,SSG,0.219,12,114,89,1.28,7,0.86,3.46,0.056,24.1,0.202
하재훈,SSG,0.215,13,20,26,0.77,2,0.10,3.65,0.243,13.7,0.225
최주환,SSG,0.211,25,65,117,0.56,4,0.53,4.06,0.151,32.5,0.22
이재원,SSG,0.201,10,72,74,0.97,0,0.57,3.43,0.077,19.4,0.203
조형우,SSG,0.167,1,4,3,1.33,0,0.33,3.31,0.083,0.6,0.166
안상현,SSG,0.158,2,14,6,2.33,1,0.42,3.36,0.158,3.7,0.202
이현석,SSG,0.133,0,3,5,0.60,0,0.00,3.60,0.000,-0.6,0.093
이흥련,SSG,0.133,2,9,8,1.13,0,0.23,3.96,0.044,1.5,0.157
최항,SSG,0.100,0,4,8,0.50,0,0.29,3.83,0.000,0.7,0.119
최상민,SSG,0.071,0,7,2,3.50,1,0.75,4.06,0.000,0.6,0.124
고효준,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0
김규남,SSG,0.000,0,1,2,0.50,0,0.00,3.80,0.000,-0.8,0.0
김택형,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0
박민호,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0
서동민,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0
전경원,SSG,0.000,0,1,0,-,0,-,2.00,0.000,-0.1,0.0
조요한,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0
최민준,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0
김태근,두산,0.500,1,1,0,-,0,1.00,5.33,0.250,1.4,0.488
강현구,두산,0.333,0,1,1,1.00,0,-,3.80,0.000,1.0,0.353
안승한,두산,0.333,3,7,5,1.40,0,0.17,3.10,0.083,5.1,0.27
페르난데스,두산,0.309,34,194,117,1.66,4,0.78,3.78,0.091,60.2,0.259
안권수,두산,0.297,9,79,49,1.61,0,0.65,3.99,0.046,28.9,0.251
허경민,두산,0.289,31,141,133,1.06,8,0.90,3.83,0.109,63.6,0.262
전민재,두산,0.289,1,11,9,1.22,0,0.00,3.04,0.022,3.2,0.208
김민혁,두산,0.284,7,17,21,0.81,4,0.28,3.82,0.193,12.6,0.277
강승호,두산,0.264,39,98,134,0.73,11,0.29,3.45,0.135,55.1,0.239
정수빈,두산,0.259,19,153,95,1.61,3,0.70,3.81,0.072,47.3,0.228
송승환,두산,0.250,2,5,9,0.56,2,0.00,4.25,0.143,2.7,0.211
박세혁,두산,0.248,17,89,108,0.82,5,0.46,3.88,0.068,38.6,0.223
김재환,두산,0.248,48,98,110,0.89,4,0.46,3.93,0.212,73.0,0.268
김인태,두산,0.247,11,69,61,1.13,3,0.87,4.19,0.089,31.5,0.249
양석환,두산,0.244,35,67,140,0.48,5,0.32,3.85,0.188,56.4,0.247
양찬열,두산,0.244,7,18,21,0.86,0,0.48,3.78,0.159,11.0,0.25
이유찬,두산,0.241,1,4,7,0.57,0,0.00,3.87,0.103,2.6,0.191
김대한,두산,0.240,11,16,31,0.52,0,0.19,3.44,0.208,14.6,0.254
박유연,두산,0.235,0,4,4,1.00,0,0.20,3.89,0.000,1.1,0.201
조수행,두산,0.235,6,41,21,1.95,0,0.32,3.92,0.076,12.7,0.211
박계범,두산,0.221,10,37,38,0.97,2,0.30,3.83,0.097,14.7,0.21
김재호,두산,0.215,8,59,87,0.68,1,0.85,3.90,0.045,19.9,0.202
안재석,두산,0.213,13,43,73,0.59,3,0.27,3.78,0.081,20.3,0.2
장승현,두산,0.208,3,27,23,1.17,0,0.19,3.58,0.031,6.4,0.183
오재원,두산,0.172,2,12,4,3.00,1,0.11,3.68,0.069,0.6,0.148
홍성호,두산,0.167,0,4,4,1.00,0,0.14,3.37,0.000,0.1,0.137
강진성,두산,0.163,3,22,25,0.88,1,0.55,3.97,0.063,6.0,0.182
서예일,두산,0.160,1,10,5,2.00,0,0.17,3.52,0.040,0.3,0.136
신성현,두산,0.087,1,10,6,1.67,0,0.40,3.72,0.130,0.1,0.126
권민석,두산,0.000,0,1,1,1.00,0,0.00,2.67,0.000,-0.3,0.0
김강률,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
김동주,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
김명신,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
김지용,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
박신지,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
박정수,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
윤명준,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
이승진,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
임창민,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
장원준,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
정철원,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
최용제,두산,-,0,0,0,-,0,-,5.00,-,0.3,0.45
홍건희,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
이대호,롯데,0.331,46,150,161,0.93,9,0.77,3.58,0.170,90.5,0.296
렉스,롯데,0.330,19,43,61,0.70,3,0.59,4.00,0.165,42.9,0.308
고승민,롯데,0.316,21,71,43,1.65,3,0.53,3.85,0.137,36.4,0.285
한동희,롯데,0.307,41,154,102,1.51,4,0.52,3.52,0.151,69.2,0.276
전준우,롯데,0.304,43,146,117,1.25,7,0.48,3.57,0.140,70.3,0.269
황성빈,롯데,0.294,17,103,70,1.47,4,0.40,3.63,0.072,38.4,0.245
안치홍,롯데,0.284,44,152,154,0.99,7,0.98,3.85,0.152,75.2,0.268
김민수,롯데,0.257,6,31,25,1.24,0,0.19,3.84,0.043,13.1,0.219
정훈,롯데,0.245,11,70,92,0.76,3,0.48,4.10,0.058,32.3,0.218
이호연,롯데,0.244,13,71,46,1.54,0,0.29,3.58,0.088,18.2,0.213
신윤후,롯데,0.235,8,20,17,1.18,1,0.27,3.63,0.206,9.0,0.24
피터스,롯데,0.228,29,73,98,0.74,7,0.34,3.62,0.174,40.2,0.235
박승욱,롯데,0.227,10,47,37,1.27,3,0.23,3.83,0.071,18.8,0.206
추재현,롯데,0.224,4,14,14,1.00,1,0.41,3.89,0.069,5.7,0.216
지시완,롯데,0.213,10,40,43,0.93,2,0.36,4.13,0.092,15.3,0.211
이학주,롯데,0.207,15,58,73,0.79,1,0.30,3.59,0.095,17.6,0.194
정보근,롯데,0.191,3,50,57,0.88,3,0.25,3.77,0.025,10.4,0.167
조세진,롯데,0.186,3,32,13,2.46,1,0.04,3.92,0.035,0.7,0.143
장두성,롯데,0.174,0,7,1,7.00,0,0.45,4.25,0.000,2.3,0.188
안중열,롯데,0.155,2,21,20,1.05,0,0.58,4.19,0.085,5.2,0.188
윤동희,롯데,0.154,1,5,4,1.25,0,0.00,3.92,0.077,-0.2,0.127
한태양,롯데,0.148,1,15,13,1.15,0,0.21,3.97,0.016,2.2,0.147
김민수,롯데,0.143,0,2,0,-,0,0.00,4.14,0.000,-0.1,0.1
배성근,롯데,0.128,1,13,9,1.44,0,0.17,3.71,0.026,-0.9,0.115
강태율,롯데,0.094,1,11,9,1.22,0,0.22,3.66,0.031,-0.6,0.108
강로한,롯데,-,0,0,0,-,0,-,-,-,-0.3,0.0
강윤구,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
구승민,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
김세민,롯데,0.000,0,0,1,0.00,0,-,2.50,0.000,0.3,0.225
김원중,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
김재유,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
문경찬,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
이병헌,삼성,0.75,1,0,0,-,0,0.0,4.75,0.25,1.6,0.588
피렐라,삼성,0.342,65,149,141,1.06,12,0.68,3.45,0.223,114.4,0.326
김재성,삼성,0.335,13,37,33,1.12,3,0.45,4.05,0.118,28.5,0.294
강한울,삼성,0.323,14,63,44,1.43,1,0.42,3.81,0.075,33.5,0.268
조민성,삼성,0.308,1,1,1,1.00,0,0.29,4.94,0.231,3.3,0.332
김태군,삼성,0.298,13,59,54,1.09,3,0.5,3.68,0.083,24.5,0.256
구자욱,삼성,0.293,31,102,105,0.97,2,0.32,3.79,0.108,54.6,0.253
김지찬,삼성,0.28,13,112,86,1.30,5,0.7,3.93,0.053,51.3,0.245
오선진,삼성,0.276,11,91,53,1.72,2,0.35,4.1,0.063,29.7,0.233
김현준,삼성,0.275,23,115,68,1.69,4,0.56,3.93,0.074,49.4,0.252
오재일,삼성,0.268,63,88,130,0.68,5,0.43,4.01,0.223,79.3,0.278
이원석,삼성,0.267,23,55,92,0.60,5,0.47,3.97,0.149,43.7,0.26
강민호,삼성,0.258,33,122,117,1.04,9,0.71,3.66,0.152,49.0,0.251
