선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
최원준,KIA,143,53,40,13,75.5,6,4
박찬호,KIA,131,13,9,4,69.2,7,0
김태진,KIA,99,13,8,5,61.5,2,0
이창진,KIA,105,5,5,0,100,4,1
김호령,KIA,62,5,4,1,80.0,1,2
이우성,KIA,65,3,2,1,66.7,2,0
최정민,KIA,39,5,2,3,40.0,0,0
최정용,KIA,53,2,2,0,100,1,0
강경학,KIA,25,1,1,0,100,1,0
이진영,KIA,17,1,1,0,100,0,0
권혁경,KIA,5,0,0,0,-,0,0
김규성,KIA,54,1,0,1,0.0,0,0
김민식,KIA,100,0,0,0,-,5,0
김석환,KIA,5,0,0,0,-,0,0
김선빈,KIA,130,0,0,0,-,4,0
나주환,KIA,19,0,0,0,-,0,0
나지완,KIA,31,0,0,0,-,0,0
류지혁,KIA,92,0,0,0,-,0,0
박민,KIA,18,1,0,1,0.0,0,0
박정우,KIA,32,2,0,2,0.0,1,0
오선우,KIA,9,0,0,0,-,0,0
오정환,KIA,9,0,0,0,-,0,0
유민상,KIA,24,0,0,0,-,0,0
이정훈,KIA,41,0,0,0,-,2,0
장현식,KIA,1,0,0,0,-,0,0
정해영,KIA,3,0,0,0,-,0,0
최형우,KIA,104,0,0,0,-,6,0
터커,KIA,127,0,0,0,-,4,1
한승택,KIA,82,0,0,0,-,1,0
황대인,KIA,86,0,0,0,-,0,0
황윤호,KIA,6,0,0,0,-,0,0
배정대,KT,144,26,19,7,73.1,2,0
심우준,KT,139,22,16,6,72.7,3,1
송민섭,KT,122,16,15,1,93.8,0,0
조용호,KT,138,21,12,9,57.1,1,0
황재균,KT,117,15,11,4,73.3,4,0
강백호,KT,142,15,10,5,66.7,10,2
김민혁,KT,75,9,6,3,66.7,3,0
호잉,KT,68,7,5,2,71.4,1,0
오윤석,KT,97,4,4,0,100,1,0
권동진,KT,86,6,3,3,50.0,5,0
김병희,KT,34,3,3,0,100,0,0
문상철,KT,53,2,2,0,100,0,1
김건형,KT,11,1,1,0,100,0,0
김태훈,KT,44,1,1,0,100,0,0
박승욱,KT,8,1,1,0,100,0,0
신본기,KT,96,3,1,2,33.3,2,1
알몬테,KT,60,1,1,0,100,2,0
유한준,KT,104,1,1,0,100,1,0
장성우,KT,127,3,1,2,33.3,3,0
천성호,KT,41,1,1,0,100,0,0
강민국,KT,18,0,0,0,-,1,0
고명성,KT,7,0,0,0,-,0,0
고영표,KT,1,0,0,0,-,0,0
김민수,KT,6,0,0,0,-,0,0
김재윤,KT,8,0,0,0,-,0,0
김준태,KT,58,0,0,0,-,0,0
박경수,KT,118,1,0,1,0.0,3,0
박시영,KT,3,0,0,0,-,0,0
심재민,KT,3,0,0,0,-,0,0
안영명,KT,1,0,0,0,-,0,0
유원상,KT,1,0,0,0,-,0,0
이대은,KT,1,0,0,0,-,0,0
이창재,KT,1,0,0,0,-,0,0
이홍구,KT,37,0,0,0,-,0,0
조현우,KT,3,0,0,0,-,0,0
하준호,KT,2,0,0,0,-,0,0
허도환,KT,62,0,0,0,-,3,0
홍현빈,KT,43,1,0,1,0.0,3,0
홍창기,LG,144,31,23,8,74.2,5,3
서건창,LG,144,16,12,4,75.0,3,0
오지환,LG,134,18,12,6,66.7,6,2
김용의,LG,102,6,6,0,100,2,1
이영빈,LG,72,9,6,3,66.7,2,0
이재원,LG,62,6,5,1,83.3,5,0
채은성,LG,110,6,4,2,66.7,2,3
김민성,LG,121,6,3,3,50.0,3,1
김현수,LG,140,3,3,0,100,5,1
문보경,LG,107,4,3,1,75.0,1,0
이천웅,LG,68,5,3,2,60.0,0,0
이형종,LG,90,4,3,1,75.0,2,0
정주현,LG,73,6,3,3,50.0,1,0
신민재,LG,32,3,2,1,66.7,1,1
유강남,LG,130,2,2,0,100,2,2
이상호,LG,45,3,2,1,66.7,0,0
이주형,LG,14,3,2,1,66.7,0,0
한석현,LG,16,2,2,0,100,1,0
김재성,LG,58,1,1,0,100,0,0
문성주,LG,31,2,1,1,50.0,1,1
고우석,LG,5,0,0,0,-,0,0
구본혁,LG,123,0,0,0,-,0,0
김주성,LG,3,0,0,0,-,0,0
김지용,LG,1,0,0,0,-,0,0
김진수,LG,1,0,0,0,-,0,0
김호은,LG,7,0,0,0,-,0,0
라모스,LG,51,0,0,0,-,2,0
류원석,LG,1,0,0,0,-,0,0
보어,LG,32,0,0,0,-,0,0
손호영,LG,8,0,0,0,-,0,0
안익훈,LG,48,0,0,0,-,0,0
이상규,LG,3,0,0,0,-,0,0
이상영,LG,3,0,0,0,-,0,0
이성우,LG,36,0,0,0,-,1,0
이우찬,LG,1,0,0,0,-,0,0
이정용,LG,1,0,0,0,-,0,0
이찬혁,LG,1,0,0,0,-,0,0
장준원,LG,5,0,0,0,-,0,0
진해수,LG,2,0,0,0,-,0,0
채원후,LG,4,0,0,0,-,0,0
최민창,LG,3,0,0,0,-,0,0
최성훈,LG,5,0,0,0,-,0,0
알테어,NC,143,25,20,5,80.0,5,0
김기환,NC,62,19,15,4,78.9,3,3
박민우,NC,50,15,12,3,80.0,3,0
최정원,NC,72,17,10,7,58.8,1,1
강진성,NC,124,12,9,3,75.0,7,0
김주원,NC,69,8,6,2,75.0,1,0
이명기,NC,56,9,6,3,66.7,2,0
정진기,NC,88,9,6,3,66.7,0,0
박준영,NC,111,7,4,3,57.1,2,1
최승민,NC,48,7,4,3,57.1,0,1
권희동,NC,55,2,2,0,100,1,0
양의지,NC,141,3,2,1,66.7,6,0
나성범,NC,144,3,1,2,33.3,0,0
노진혁,NC,107,2,1,1,50.0,0,1
도태훈,NC,77,1,1,0,100,0,0
이원재,NC,31,1,1,0,100,0,0
이재율,NC,23,2,1,1,50.0,2,0
김건태,NC,1,0,0,0,-,0,0
김수윤,NC,7,0,0,0,-,0,0
김영규,NC,1,0,0,0,-,0,0
김준완,NC,13,0,0,0,-,0,0
김진성,NC,1,0,0,0,-,0,0
김태군,NC,102,1,0,1,0.0,1,0
김태현,NC,1,0,0,0,-,0,0
노시훈,NC,1,0,0,0,-,0,0
류진욱,NC,1,0,0,0,-,0,0
모창민,NC,3,1,0,1,0.0,0,0
박대온,NC,42,0,0,0,-,0,0
박석민,NC,59,0,0,0,-,1,0
박시원,NC,1,0,0,0,-,0,0
배민서,NC,2,0,0,0,-,0,0
신민혁,NC,1,0,0,0,-,0,0
안인산,NC,2,0,0,0,-,0,0
오장한,NC,1,0,0,0,-,0,0
오태양,NC,1,0,0,0,-,0,0
원종현,NC,4,0,0,0,-,0,0
윤형준,NC,51,1,0,1,0.0,2,0
이용찬,NC,6,0,0,0,-,0,0
이우석,NC,1,0,0,0,-,0,0
임정호,NC,1,0,0,0,-,0,0
임창민,NC,1,0,0,0,-,0,0
전민수,NC,71,0,0,0,-,1,0
정범모,NC,19,0,0,0,-,0,0
정현,NC,68,1,0,1,0.0,0,2
지석훈,NC,28,0,0,0,-,0,0
최금강,NC,1,0,0,0,-,0,0
최보성,NC,10,1,0,1,0.0,1,0
최우재,NC,2,0,0,0,-,0,0
홍성민,NC,2,0,0,0,-,0,0
최지훈,SSG,136,32,26,6,81.3,4,2
추신수,SSG,137,34,25,9,73.5,4,0
박성한,SSG,135,17,12,5,70.6,3,0
오태곤,SSG,122,13,9,4,69.2,0,0
최정,SSG,134,14,8,6,57.1,5,0
김성현,SSG,110,7,5,2,71.4,2,0
김강민,SSG,122,6,3,3,50.0,3,0
안상현,SSG,37,4,3,1,75.0,1,0
고종욱,SSG,88,5,2,3,40.0,3,0
김창평,SSG,40,3,2,1,66.7,0,0
최주환,SSG,116,3,2,1,66.7,3,1
로맥,SSG,107,1,1,0,100,6,0
최항,SSG,34,1,1,0,100,0,0
한유섬,SSG,135,1,1,0,100,4,0
고명준,SSG,3,0,0,0,-,0,0
김규남,SSG,4,0,0,0,-,0,0
김상수,SSG,3,0,0,0,-,0,0
김찬형,SSG,88,0,0,0,-,0,0
김태훈,SSG,1,0,0,0,-,0,0
김택형,SSG,3,0,0,0,-,0,0
남태혁,SSG,12,0,0,0,-,0,0
박민호,SSG,1,0,0,0,-,0,0
서동민,SSG,1,0,0,0,-,0,0
서진용,SSG,5,0,0,0,-,0,0
신재영,SSG,1,0,0,0,-,0,0
오준혁,SSG,26,0,0,0,-,0,0
유서준,SSG,6,0,0,0,-,0,0
이재원,SSG,107,2,0,2,0.0,2,0
이정범,SSG,19,0,0,0,-,0,0
이현석,SSG,39,0,0,0,-,2,0
이흥련,SSG,90,0,0,0,-,0,0
장지훈,SSG,2,0,0,0,-,0,0
정상호,SSG,3,0,0,0,-,0,0
정수민,SSG,1,0,0,0,-,0,0
정의윤,SSG,62,0,0,0,-,0,0
조요한,SSG,1,0,0,0,-,0,0
하재훈,SSG,2,0,0,0,-,0,0
조수행,두산,115,25,21,4,84.0,2,1
박건우,두산,126,13,13,0,100,6,0
정수빈,두산,104,19,12,7,63.2,1,3
강승호,두산,113,10,8,2,80.0,3,0
허경민,두산,136,12,5,7,41.7,2,0
박계범,두산,118,7,4,3,57.1,4,0
박세혁,두산,96,6,4,2,66.7,1,0
박지훈,두산,34,4,3,1,75.0,1,0
안권수,두산,87,3,3,0,100,0,0
김재환,두산,137,5,2,3,40.0,4,1
양석환,두산,133,5,2,3,40.0,6,0
오재원,두산,45,2,2,0,100,0,2
김재호,두산,89,2,1,1,50.0,2,0
안재석,두산,96,1,1,0,100,1,2
국해성,두산,4,0,0,0,-,0,0
권민석,두산,33,0,0,0,-,0,0
권휘,두산,2,0,0,0,-,0,0
김강률,두산,8,0,0,0,-,0,0
김명신,두산,4,0,0,0,-,0,0
김민규,두산,2,0,0,0,-,0,0
김민혁,두산,6,0,0,0,-,0,0
김인태,두산,133,2,0,2,0.0,4,1
남호,두산,1,0,0,0,-,0,0
문원,두산,1,0,0,0,-,0,0
박성재,두산,1,0,0,0,-,0,0
박소준,두산,1,0,0,0,-,0,0
박치국,두산,1,0,0,0,-,0,0
백동훈,두산,5,0,0,0,-,0,0
서예일,두산,5,0,0,0,-,0,0
신성현,두산,11,0,0,0,-,1,0
오명진,두산,2,0,0,0,-,0,0
윤명준,두산,4,0,0,0,-,0,0
이교훈,두산,2,0,0,0,-,0,0
이승진,두산,1,0,0,0,-,0,0
이영하,두산,1,0,0,0,-,0,0
장승현,두산,92,0,0,0,-,4,0
전민재,두산,9,0,0,0,-,0,0
최용제,두산,79,0,0,0,-,0,0
페르난데스,두산,141,2,0,2,0.0,4,0
홍건희,두산,1,0,0,0,-,0,0
황경태,두산,1,0,0,0,-,0,0
손아섭,롯데,139,17,11,6,64.7,7,0
마차도,롯데,134,13,8,5,61.5,8,1
정훈,롯데,135,9,8,1,88.9,13,2
김재유,롯데,87,7,7,0,100,0,1
