선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율,년도
페르난데스,두산,0.344,144,645,572,87,197,34,0,15,276,88,0,6,61,4,6,54,16,0.483,0.409,0.892,63,0.313,0.5,2019
박건우,두산,0.319,127,537,458,83,146,27,5,10,213,64,1,11,60,0,7,57,23,0.465,0.397,0.862,45,0.284,0.333,2019
이흥련,두산,0.310,27,44,42,3,13,2,1,0,17,5,0,0,2,0,0,12,1,0.405,0.341,0.746,2,0.222,0.222,2019
오재일,두산,0.293,130,529,467,76,137,29,1,21,231,102,0,4,55,1,3,99,5,0.495,0.369,0.864,39,0.344,0.0,2019
허경민,두산,0.288,133,540,475,71,137,25,1,4,176,60,3,11,34,2,17,36,16,0.371,0.350,0.721,37,0.324,1.0,2019
김재환,두산,0.283,136,574,495,76,140,20,5,15,215,91,0,11,63,5,5,113,7,0.434,0.362,0.796,34,0.3,0.25,2019
박세혁,두산,0.279,137,505,441,58,123,19,9,4,172,63,10,6,41,1,7,68,5,0.390,0.345,0.735,29,0.291,0.0,2019
최주환,두산,0.277,87,325,285,27,79,13,0,4,104,47,0,11,28,0,1,35,10,0.365,0.332,0.697,23,0.281,0.25,2019
김재호,두산,0.268,130,470,377,51,101,22,0,4,135,48,8,11,67,3,7,58,10,0.358,0.379,0.737,22,0.257,0.5,2019
정수빈,두산,0.265,123,513,441,75,117,19,5,0,146,41,4,5,57,0,6,60,6,0.331,0.354,0.685,30,0.245,0.5,2019
류지혁,두산,0.250,118,316,276,36,69,6,2,0,79,34,6,3,24,0,7,40,6,0.286,0.323,0.609,19,0.263,0.25,2019
김인태,두산,0.233,26,70,60,6,14,2,1,2,24,7,1,1,8,0,0,12,2,0.400,0.319,0.719,1,0.1,0.5,2019
이유찬,두산,0.231,25,13,13,6,3,0,0,0,3,1,0,0,0,0,0,3,0,0.231,0.231,0.462,0,0.286,0.0,2019
정진호,두산,0.208,66,110,96,13,20,0,0,1,23,3,3,0,11,0,0,24,2,0.240,0.290,0.530,4,0.2,0.2,2019
신성현,두산,0.195,35,54,41,9,8,0,0,1,11,6,0,2,10,0,1,14,0,0.268,0.352,0.620,1,0.188,0.333,2019
김경호,두산,0.192,32,27,26,4,5,1,0,0,6,2,1,0,0,0,0,7,0,0.231,0.192,0.423,0,0.125,0.25,2019
정병곤,두산,0.185,20,31,27,6,5,1,0,0,6,4,0,0,2,0,2,4,2,0.222,0.290,0.512,0,0.333,0.0,2019
국해성,두산,0.171,21,41,35,2,6,3,0,0,9,2,0,0,5,0,1,13,3,0.257,0.293,0.550,1,0.111,0.167,2019
장승현,두산,0.171,35,46,41,3,7,2,0,0,9,3,0,1,3,0,1,13,0,0.220,0.239,0.459,1,0.0,0.0,2019
백동훈,두산,0.170,41,52,47,8,8,2,0,0,10,2,0,0,4,0,1,16,0,0.213,0.250,0.463,2,0.083,0.0,2019
오재원,두산,0.164,98,204,177,30,29,8,1,3,48,18,2,0,25,0,0,50,3,0.271,0.267,0.538,3,0.212,0.091,2019
권혁,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2019
김대한,두산,0.000,19,18,15,4,0,0,0,0,0,0,0,0,3,0,0,9,0,0.000,0.167,0.167,0,0.0,0.0,2019
김승회,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2019
김태근,두산,-,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2019
박유연,두산,0.000,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0,2019
배영수,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2019
서예일,두산,0.000,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0,2019
송승환,두산,0.000,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0,2019
이영하,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2019
전민재,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2019
함덕주,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2019
이정후,키움,0.336,140,630,574,91,193,31,10,6,262,68,3,4,45,0,4,40,15,0.456,0.386,0.842,67,0.307,0.4,2019
김하성,키움,0.307,139,625,540,112,166,38,2,19,265,104,1,7,70,4,7,80,12,0.491,0.389,0.880,48,0.364,1.0,2019
샌즈,키움,0.305,139,613,525,100,160,39,1,28,285,113,0,5,77,1,6,101,17,0.543,0.396,0.939,47,0.302,0.0,2019
서건창,키움,0.300,113,486,426,67,128,23,3,2,163,41,3,5,49,1,3,50,5,0.383,0.373,0.756,35,0.344,0.333,2019
박동원,키움,0.297,112,361,317,50,94,15,1,10,141,55,7,1,34,0,2,56,10,0.445,0.367,0.812,23,0.337,0.364,2019
이지영,키움,0.282,106,331,308,40,87,5,1,1,97,39,6,1,15,1,1,28,14,0.315,0.317,0.632,23,0.308,0.313,2019
박병호,키움,0.280,122,532,432,92,121,22,0,33,242,98,0,9,78,5,13,117,7,0.560,0.398,0.958,31,0.291,0.5,2019
김혜성,키움,0.276,122,387,348,57,96,16,7,0,126,32,4,4,29,1,2,85,4,0.362,0.332,0.694,22,0.271,0.0,2019
김웅빈,키움,0.273,4,11,11,1,3,1,0,0,4,3,0,0,0,0,0,2,2,0.364,0.273,0.637,1,0.4,0.0,2019
김지수,키움,0.267,69,32,30,3,8,2,0,0,10,3,0,0,2,0,0,7,1,0.333,0.313,0.646,0,0.5,0.0,2019
김규민,키움,0.248,94,250,222,33,55,8,1,3,74,24,0,2,22,0,4,68,4,0.333,0.324,0.657,13,0.212,0.5,2019
장영석,키움,0.247,119,413,372,41,92,15,0,7,128,62,0,5,27,0,9,77,14,0.344,0.310,0.654,22,0.287,0.143,2019
임병욱,키움,0.243,117,419,379,39,92,17,5,0,119,41,6,0,23,0,11,110,6,0.314,0.305,0.619,21,0.267,0.0,2019
