,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4,년도
0,채은성,LG,0.315,31,130,133,0.98,9,0.36,3.64,0.119,71.8,0.27,2019
1,이천웅,LG,0.308,29,186,111,1.68,6,0.70,3.81,0.066,75.4,0.264,2019
2,김현수,LG,0.304,48,165,158,1.04,9,1.04,3.67,0.133,84.2,0.276,2019
3,페게로,LG,0.286,19,32,48,0.67,6,0.19,3.86,0.186,30.3,0.267,2019
4,이형종,LG,0.286,38,103,128,0.80,4,0.54,3.67,0.155,68.0,0.272,2019
5,박용택,LG,0.282,10,48,64,0.75,0,0.60,3.62,0.062,23.5,0.239,2019
6,조셉,LG,0.274,12,44,55,0.80,3,0.30,3.60,0.152,28.3,0.256,2019
7,유강남,LG,0.270,38,115,114,1.01,8,0.37,3.86,0.167,56.8,0.26,2019
8,김민성,LG,0.260,24,86,107,0.80,8,0.40,3.91,0.111,41.1,0.238,2019
9,오지환,LG,0.252,37,122,122,1.00,8,0.50,4.11,0.127,66.7,0.247,2019
10,홍창기,LG,0.250,2,4,2,2.00,0,0.08,4.42,0.083,2.6,0.222,2019
11,전민수,LG,0.240,7,26,29,0.90,1,0.50,4.02,0.073,8.0,0.216,2019
12,서상우,LG,0.238,1,6,2,3.00,0,0.38,4.04,0.048,1.9,0.221,2019
13,신민재,LG,0.235,3,35,11,3.18,1,0.47,4.31,0.037,7.8,0.213,2019
14,정주현,LG,0.231,23,105,94,1.12,3,0.34,3.83,0.077,32.9,0.208,2019
15,김용의,LG,0.218,8,58,45,1.29,3,0.63,3.88,0.061,18.7,0.212,2019
16,김재성,LG,0.200,0,2,0,-,0,1.00,4.29,0.000,0.8,0.243,2019
17,류형우,LG,0.182,0,6,0,-,0,0.33,3.33,0.000,0.1,0.158,2019
18,구본혁,LG,0.176,2,24,30,0.80,2,0.35,3.64,0.047,5.4,0.166,2019
19,백승현,LG,0.167,1,10,5,2.00,0,0.00,3.30,0.033,0.2,0.125,2019
20,이성우,LG,0.156,3,30,13,2.31,2,0.36,3.55,0.047,2.5,0.158,2019
21,양종민,LG,0.136,2,16,8,2.00,0,0.13,3.78,0.045,-0.1,0.122,2019
22,김재율,LG,0.111,0,4,4,1.00,0,-,4.33,0.000,-0.2,0.078,2019
23,윤진호,LG,0.102,3,19,21,0.90,0,0.08,3.37,0.085,-0.2,0.099,2019
24,박지규,LG,0.091,0,2,1,2.00,0,0.57,4.39,0.000,1.6,0.208,2019
25,정상호,LG,0.083,1,6,5,1.20,0,0.00,3.50,0.042,-2.0,0.069,2019
26,고우석,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2019
27,문광은,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2019
28,양원혁,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2019
29,여건욱,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2019
30,이상영,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2019
31,장원삼,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2019
32,전준호,LG,0.000,0,3,1,3.00,0,0.00,4.40,0.000,-0.5,0.0,2019
33,정우영,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2019
34,정찬헌,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2019
35,최동환,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2019
36,최승민,NC,0.444,1,1,2,0.50,0,0.50,3.80,0.111,2.5,0.364,2019
37,나성범,NC,0.366,17,13,20,0.65,3,0.46,3.95,0.280,22.1,0.361,2019
38,양의지,NC,0.354,46,86,129,0.67,4,1.12,3.74,0.221,88.7,0.341,2019
39,박민우,NC,0.344,32,129,144,0.90,5,1.03,3.74,0.090,79.4,0.29,2019
40,모창민,NC,0.305,33,75,111,0.68,8,0.50,3.57,0.161,57.8,0.278,2019
41,이명기,NC,0.293,22,169,111,1.52,4,0.73,3.83,0.060,63.0,0.25,2019
42,이상호,NC,0.278,7,102,48,2.13,3,0.41,3.07,0.030,20.3,0.215,2019
43,김찬형,NC,0.277,7,50,32,1.56,3,0.29,3.30,0.078,15.8,0.234,2019
44,김태진,NC,0.275,24,102,105,0.97,4,0.24,3.56,0.104,43.9,0.232,2019
45,박석민,NC,0.267,37,108,90,1.20,5,0.94,4.19,0.211,66.3,0.296,2019
46,손시헌,NC,0.267,7,34,42,0.81,1,0.22,3.68,0.089,14.6,0.232,2019
47,노진혁,NC,0.264,38,83,96,0.86,4,0.39,3.90,0.190,50.2,0.26,2019
48,이원재,NC,0.258,19,78,68,1.15,4,0.43,3.74,0.137,31.6,0.239,2019
49,권희동,NC,0.256,23,90,112,0.80,6,0.83,4.16,0.101,47.5,0.25,2019
50,김준완,NC,0.250,0,5,6,0.83,0,1.00,4.42,0.000,2.0,0.205,2019
51,윤수강,NC,0.250,0,2,0,-,0,0.00,3.75,0.000,-0.1,0.175,2019
