,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사,년도
0,오지환,LG,134,32,27,5,84.4,5,2,2019
1,이천웅,LG,138,31,21,10,67.7,3,0,2019
2,정주현,LG,129,21,15,6,71.4,4,1,2019
3,신민재,LG,81,18,10,8,55.6,2,1,2019
4,김용의,LG,114,11,8,3,72.7,1,0,2019
5,이형종,LG,120,11,6,5,54.5,4,0,2019
6,김현수,LG,140,4,3,1,75.0,4,0,2019
7,박용택,LG,64,4,3,1,75.0,0,0,2019
8,홍창기,LG,23,3,3,0,100,0,0,2019
9,구본혁,LG,57,3,2,1,66.7,0,0,2019
10,김민성,LG,107,3,2,1,66.7,2,0,2019
11,전민수,LG,75,3,2,1,66.7,0,0,2019
12,채은성,LG,128,4,2,2,50.0,1,1,2019
13,페게로,LG,52,3,2,1,66.7,0,1,2019
14,백승현,LG,14,1,1,0,100,0,0,2019
15,윤진호,LG,106,2,1,1,50.0,1,0,2019
16,고우석,LG,1,0,0,0,-,0,0,2019
17,김재성,LG,3,0,0,0,-,0,0,2019
18,김재율,LG,4,0,0,0,-,0,0,2019
19,류형우,LG,10,0,0,0,-,0,0,2019
20,문광은,LG,2,0,0,0,-,0,0,2019
21,박지규,LG,10,0,0,0,-,0,0,2019
22,서상우,LG,13,0,0,0,-,1,0,2019
23,양원혁,LG,1,0,0,0,-,0,0,2019
24,양종민,LG,18,0,0,0,-,1,0,2019
25,여건욱,LG,3,0,0,0,-,0,0,2019
26,유강남,LG,132,0,0,0,-,8,0,2019
27,이상영,LG,1,0,0,0,-,0,0,2019
28,이성우,LG,55,0,0,0,-,1,0,2019
29,장원삼,LG,1,0,0,0,-,0,0,2019
30,전준호,LG,8,0,0,0,-,0,0,2019
31,정상호,LG,22,0,0,0,-,0,0,2019
32,정우영,LG,1,0,0,0,-,0,0,2019
33,정찬헌,LG,1,0,0,0,-,0,0,2019
34,조셉,LG,55,1,0,1,0.0,0,0,2019
35,최동환,LG,2,0,0,0,-,0,0,2019
36,박민우,NC,125,25,18,7,72.0,5,0,2019
37,이명기,NC,139,18,14,4,77.8,5,1,2019
38,김태진,NC,123,16,12,4,75.0,6,2,2019
39,이상호,NC,102,15,10,5,66.7,4,1,2019
40,김성욱,NC,116,10,6,4,60.0,2,0,2019
41,최승민,NC,24,8,6,2,75.0,0,0,2019
42,양의지,NC,118,7,4,3,57.1,2,1,2019
43,권희동,NC,116,3,3,0,100,2,0,2019
44,김찬형,NC,76,7,3,4,42.9,3,0,2019
45,모창민,NC,101,5,3,2,60.0,1,0,2019
46,스몰린스키,NC,55,4,3,1,75.0,2,0,2019
47,강진성,NC,41,3,2,1,66.7,0,0,2019
48,나성범,NC,23,3,2,1,66.7,4,0,2019
49,박석민,NC,112,3,1,2,33.3,4,1,2019
50,베탄코트,NC,53,2,1,1,50.0,1,0,2019
51,손시헌,NC,68,3,1,2,33.3,1,1,2019
52,이원재,NC,94,3,1,2,33.3,4,0,2019
53,정범모,NC,25,2,1,1,50.0,0,0,2019
54,강윤구,NC,1,0,0,0,-,0,0,2019
55,김건태,NC,1,0,0,0,-,0,0,2019
56,김영규,NC,1,0,0,0,-,0,0,2019
