선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율,년도
강백호,KT,0.347,142,627,516,76,179,40,1,16,269,102,0,8,103,10,0,85,7,0.521,0.450,0.971,53,0.34,0.0,2021
박승욱,KT,0.333,8,6,6,5,2,1,0,0,3,0,0,0,0,0,0,1,0,0.500,0.333,0.833,0,0.333,0.0,2021
김민혁,KT,0.320,75,199,172,22,55,6,2,1,68,13,5,0,20,0,2,26,3,0.395,0.397,0.792,13,0.22,0.381,2021
유한준,KT,0.309,104,337,282,30,87,16,0,5,118,42,0,4,44,5,7,34,12,0.418,0.409,0.827,25,0.263,0.333,2021
황재균,KT,0.291,117,507,453,74,132,16,2,10,182,56,1,4,46,1,3,92,11,0.402,0.358,0.760,37,0.289,0.0,2021
김병희,KT,0.288,34,70,52,16,15,3,0,5,33,13,2,0,13,0,3,15,0,0.635,0.456,1.091,2,0.455,0.2,2021
천성호,KT,0.286,41,47,42,13,12,1,0,0,13,4,0,0,3,0,2,9,0,0.310,0.362,0.672,2,0.25,0.111,2021
허도환,KT,0.276,62,125,105,8,29,6,0,2,41,21,10,0,8,0,2,28,3,0.390,0.339,0.729,6,0.393,0.0,2021
알몬테,KT,0.271,60,250,225,18,61,9,0,7,91,36,0,2,22,0,1,50,9,0.404,0.336,0.740,15,0.323,0.0,2021
심우준,KT,0.268,139,460,407,61,109,20,2,6,151,48,10,6,32,0,4,65,2,0.371,0.323,0.694,26,0.271,0.5,2021
배정대,KT,0.259,144,595,510,85,132,23,1,12,193,68,3,5,65,2,12,132,9,0.378,0.353,0.731,35,0.22,0.0,2021
권동진,KT,0.254,86,86,67,21,17,5,0,1,25,6,1,0,18,0,0,30,0,0.373,0.412,0.785,2,0.125,0.25,2021
강민국,KT,0.244,18,50,45,2,11,2,0,0,13,4,2,0,3,0,0,6,1,0.289,0.292,0.581,2,0.235,0.5,2021
오윤석,KT,0.244,97,198,164,23,40,11,0,4,63,16,5,0,27,1,2,47,4,0.384,0.358,0.742,5,0.16,0.308,2021
호잉,KT,0.239,68,294,259,32,62,11,1,11,108,52,0,5,26,2,4,52,2,0.417,0.313,0.730,17,0.238,0.0,2021
조용호,KT,0.236,138,515,428,71,101,14,1,0,117,48,5,5,74,0,3,85,8,0.273,0.349,0.622,27,0.33,0.143,2021
신본기,KT,0.236,96,206,174,25,41,8,0,1,52,19,5,1,22,0,4,45,6,0.299,0.333,0.632,9,0.306,0.2,2021
장성우,KT,0.231,127,460,385,46,89,13,0,14,144,63,9,3,60,3,3,69,16,0.374,0.337,0.711,15,0.239,0.2,2021
김태훈,KT,0.230,44,91,87,6,20,4,1,1,29,6,1,0,2,0,1,19,1,0.333,0.256,0.589,3,0.2,0.316,2021
송민섭,KT,0.229,122,65,48,39,11,0,0,0,11,7,5,0,12,0,0,22,0,0.229,0.383,0.612,1,0.462,0.0,2021
문상철,KT,0.219,53,106,96,14,21,6,0,2,33,16,0,0,8,0,2,33,1,0.344,0.292,0.636,1,0.25,0.364,2021
김건형,KT,0.212,11,39,33,4,7,1,0,0,8,0,0,0,6,1,0,6,0,0.242,0.333,0.575,1,0.0,0.0,2021
김준태,KT,0.195,58,149,128,17,25,5,0,4,42,15,0,2,18,0,1,40,3,0.328,0.295,0.623,3,0.154,0.182,2021
박경수,KT,0.192,118,280,239,24,46,10,0,9,83,33,4,0,34,2,3,76,7,0.347,0.301,0.648,8,0.19,0.074,2021
