선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4,년도
로하스,KT,0.349,87,94,140,0.67,16,0.49,4.06,0.331,137.9,0.358,2020
강백호,KT,0.330,60,124,121,1.02,8,0.71,3.81,0.214,104.2,0.321,2020
황재균,KT,0.312,61,112,166,0.67,9,0.48,3.82,0.200,95.3,0.295,2020
조용호,KT,0.296,15,119,88,1.35,6,0.77,4.46,0.037,59.5,0.26,2020
배정대,KT,0.289,41,117,124,0.94,7,0.48,3.99,0.131,84.1,0.272,2020
박경수,KT,0.281,30,64,80,0.80,3,0.50,4.31,0.173,55.8,0.285,2020
유한준,KT,0.280,28,113,115,0.98,8,0.78,3.91,0.130,53.2,0.258,2020
장성우,KT,0.278,28,106,125,0.85,6,0.59,3.79,0.135,54.8,0.255,2020
허도환,KT,0.264,1,11,13,0.85,3,0.40,3.77,0.019,5.6,0.233,2020
박승욱,KT,0.264,6,17,28,0.61,1,0.30,3.77,0.091,15.4,0.246,2020
문상철,KT,0.260,13,33,40,0.83,2,0.26,3.55,0.201,22.1,0.257,2020
김민혁,KT,0.239,12,82,46,1.78,2,0.52,3.81,0.108,25.1,0.227,2020
심우준,KT,0.235,22,138,132,1.05,5,0.38,4.08,0.065,46.0,0.206,2020
강민국,KT,0.224,3,34,29,1.17,0,0.35,3.81,0.028,7.3,0.185,2020
천성호,KT,0.203,3,18,22,0.82,0,0.47,3.68,0.043,5.2,0.19,2020
강현우,KT,0.200,3,7,6,1.17,0,0.18,4.22,0.167,2.4,0.204,2020
송민섭,KT,0.195,3,3,18,0.17,0,0.38,3.82,0.146,4.9,0.217,2020
이홍구,KT,0.190,5,19,24,0.79,1,0.23,3.84,0.131,7.3,0.2,2020
김병희,KT,0.143,1,2,10,0.20,0,0.00,4.14,0.143,1.1,0.133,2020
김민,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
김민수,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
김성훈,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
김재윤,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
김태훈,KT,0.000,0,1,1,1.00,0,0.00,5.00,0.000,-0.3,0.0,2020
류희운,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
문상인,KT,0.000,0,0,1,0.00,0,0.00,3.00,0.000,-0.2,0.0,2020
박준혁,KT,0.000,0,1,0,-,0,0.00,4.00,0.000,-0.2,0.0,2020
안현준,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
유원상,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
이대은,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
이보근,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
이상화,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
이창재,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
전유수,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
정주후,KT,0.000,0,1,0,-,0,-,5.00,0.000,-0.1,0.225,2020
조병욱,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
주권,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
홍현빈,KT,0.000,0,8,5,1.60,0,1.00,4.21,0.000,-0.3,0.098,2020
손호영,LG,0.367,2,5,8,0.63,0,0.17,3.29,0.067,4.7,0.282,2020
김현수,LG,0.331,59,153,167,0.92,16,1.19,3.80,0.192,106.7,0.309,2020
신민재,LG,0.308,1,13,1,13.00,1,1.00,3.69,0.038,4.4,0.267,2020
오지환,LG,0.300,58,123,135,0.91,3,0.39,4.10,0.161,86.9,0.278,2020
박용택,LG,0.300,17,57,65,0.88,3,0.44,3.67,0.097,28.0,0.252,2020
이형종,LG,0.296,36,54,89,0.61,3,0.44,3.83,0.251,54.4,0.302,2020
채은성,LG,0.293,34,114,118,0.97,9,0.46,3.73,0.159,63.9,0.271,2020
홍창기,LG,0.279,40,113,97,1.16,7,0.95,4.37,0.137,74.3,0.289,2020
라모스,LG,0.278,57,71,108,0.66,6,0.40,4.05,0.313,90.3,0.311,2020
김용의,LG,0.271,3,18,19,0.95,0,0.20,3.64,0.086,7.5,0.223,2020
박재욱,LG,0.267,0,6,1,6.00,0,0.00,3.06,0.000,0.6,0.208,2020
김민성,LG,0.266,25,59,97,0.61,5,0.36,3.96,0.118,36.5,0.242,2020
유강남,LG,0.261,34,117,118,0.99,9,0.38,3.60,0.154,55.0,0.252,2020
이천웅,LG,0.256,16,103,91,1.13,2,0.80,3.93,0.077,37.9,0.233,2020
백승현,LG,0.250,1,9,4,2.25,0,0.50,3.36,0.036,3.7,0.235,2020
정주현,LG,0.247,18,89,97,0.92,2,0.46,3.84,0.091,34.8,0.225,2020
양석환,LG,0.246,8,21,43,0.49,1,0.40,4.32,0.119,14.0,0.233,2020
김호은,LG,0.243,7,29,35,0.83,2,0.50,3.68,0.107,10.7,0.224,2020
정근우,LG,0.240,5,48,47,1.02,3,0.74,3.49,0.045,15.6,0.216,2020
이성우,LG,0.234,4,28,17,1.65,2,0.43,3.88,0.130,7.7,0.221,2020
장준원,LG,0.217,4,23,18,1.28,1,0.86,3.74,0.100,5.5,0.207,2020
전민수,LG,0.200,0,0,2,0.00,0,0.50,5.33,0.000,0.5,0.2,2020
구본혁,LG,0.163,2,28,26,1.08,0,0.39,3.56,0.058,4.3,0.164,2020
이재원,LG,0.050,0,4,4,1.00,0,0.18,3.50,0.000,-0.6,0.074,2020
김대현,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
남호,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
류원석,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
박지규,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
백청훈,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
송은범,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
이우찬,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
이정용,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
이찬혁,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
정우영,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
진해수,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
최동환,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
최성훈,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
최재원,LG,0.000,0,2,0,-,0,0.00,5.17,0.000,-0.9,0.0,2020
한석현,LG,0.000,0,1,0,-,0,1.00,5.33,0.000,0.3,0.15,2020
김기환,NC,0.500,1,1,0,-,0,-,2.50,0.500,0.6,0.475,2020
이재율,NC,0.444,1,4,0,-,0,1.00,2.90,0.111,2.1,0.364,2020
박민우,NC,0.345,40,123,145,0.85,8,0.75,3.91,0.131,85.7,0.3,2020
양의지,NC,0.328,60,98,171,0.57,13,0.98,3.58,0.275,102.7,0.331,2020
나성범,NC,0.324,73,102,106,0.96,20,0.33,3.82,0.272,111.0,0.325,2020
강진성,NC,0.309,37,111,122,0.91,6,0.43,3.72,0.154,62.2,0.274,2020
박석민,NC,0.306,29,95,94,1.01,8,1.21,4.24,0.160,74.1,0.313,2020
이명기,NC,0.306,23,144,113,1.27,3,0.64,3.94,0.063,67.8,0.261,2020
김형준,NC,0.306,4,12,17,0.71,1,0.48,3.95,0.139,12.4,0.287,2020
모창민,NC,0.301,14,29,46,0.63,1,0.36,3.68,0.147,18.9,0.265,2020
김찬형,NC,0.297,6,20,15,1.33,1,0.36,3.71,0.094,9.1,0.252,2020
김태군,NC,0.292,7,31,36,0.86,0,0.43,3.46,0.080,14.4,0.249,2020
알테어,NC,0.278,58,83,122,0.68,9,0.31,3.79,0.263,92.8,0.294,2020
최정원,NC,0.275,4,12,4,3.00,0,0.54,4.06,0.125,6.8,0.272,2020
노진혁,NC,0.274,45,93,111,0.84,4,0.46,3.90,0.206,69.0,0.28,2020
권희동,NC,0.260,28,74,115,0.64,5,0.81,4.50,0.150,60.1,0.273,2020
이원재,NC,0.258,11,40,33,1.21,0,0.42,4.11,0.159,17.1,0.245,2020
윤수강,NC,0.250,0,1,0,-,0,0.00,3.25,0.000,0.2,0.175,2020
김성욱,NC,0.221,13,38,76,0.50,1,0.43,3.84,0.154,25.2,0.226,2020
김준완,NC,0.215,2,27,15,1.80,0,1.11,4.11,0.062,5.8,0.213,2020
지석훈,NC,0.207,9,25,40,0.63,0,0.45,3.94,0.091,11.6,0.21,2020
도태훈,NC,0.182,0,1,5,0.20,0,0.67,3.46,0.000,0.8,0.184,2020
박준영,NC,0.152,4,13,9,1.44,0,0.12,4.04,0.087,1.9,0.165,2020
이상호,NC,0.131,1,25,23,1.09,0,0.60,3.35,0.016,-0.5,0.114,2020
강동연,NC,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
김건태,NC,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
김진성,NC,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
박시원,NC,0.000,0,1,0,-,0,-,5.00,0.000,-0.1,0.0,2020
배민서,NC,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
배재환,NC,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
서호철,NC,0.000,0,5,1,5.00,0,0.00,3.25,0.000,-0.7,0.0,2020
손정욱,NC,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
송명기,NC,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
원종현,NC,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
유영준,NC,0.000,0,2,1,2.00,0,-,2.33,0.000,-0.3,0.0,2020
홍성무,NC,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
페르난데스,두산,0.340,50,206,150,1.37,9,1.38,3.66,0.157,108.6,0.306,2020
허경민,두산,0.332,33,128,143,0.90,3,1.25,3.45,0.110,71.6,0.282,2020
오재일,두산,0.312,48,106,128,0.83,17,0.66,3.77,0.170,82.7,0.296,2020
최주환,두산,0.306,49,103,194,0.53,7,0.71,4.20,0.167,88.1,0.283,2020
박건우,두산,0.304,54,114,167,0.68,11,0.65,3.72,0.168,83.3,0.284,2020
정수빈,두산,0.298,30,164,129,1.27,3,0.98,3.84,0.098,72.7,0.265,2020
최용제,두산,0.295,1,13,10,1.30,1,0.50,3.20,0.045,4.8,0.245,2020
김재호,두산,0.289,18,120,126,0.95,4,1.00,3.97,0.057,50.3,0.249,2020
안권수,두산,0.270,0,11,12,0.92,0,0.40,3.51,0.000,3.3,0.203,2020
박세혁,두산,0.269,24,105,120,0.88,6,0.78,3.73,0.094,49.6,0.248,2020
김재환,두산,0.266,57,127,104,1.22,12,0.59,3.91,0.229,96.7,0.291,2020
조수행,두산,0.263,0,13,9,1.44,0,0.33,4.03,0.000,3.0,0.201,2020
권민석,두산,0.260,2,14,10,1.40,0,0.20,3.86,0.040,5.5,0.206,2020
이유찬,두산,0.258,3,15,27,0.56,0,0.56,4.37,0.045,12.6,0.241,2020
신성현,두산,0.250,1,0,0,-,0,1.00,5.71,0.250,1.4,0.382,2020
장승현,두산,0.250,3,4,5,0.80,0,0.17,3.18,0.150,1.7,0.243,2020
서예일,두산,0.240,2,5,8,0.63,0,0.43,3.90,0.080,3.1,0.22,2020
국해성,두산,0.233,4,20,26,0.77,1,0.29,3.62,0.116,8.6,0.216,2020
오재원,두산,0.232,13,32,40,0.80,1,0.33,4.18,0.155,19.0,0.232,2020
양찬열,두산,0.227,0,9,6,1.50,0,1.50,4.08,0.000,2.3,0.212,2020
김인태,두산,0.202,6,25,30,0.83,1,1.62,4.05,0.095,11.6,0.241,2020
백동훈,두산,0.188,1,5,4,1.25,0,0.25,3.16,0.063,1.5,0.205,2020
정상호,두산,0.163,6,19,25,0.76,0,0.07,3.38,0.070,1.3,0.139,2020
권휘,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
김강률,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
김민규,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
박지훈,두산,0.000,0,0,0,-,0,0.00,6.00,0.000,-0.2,0.0,2020
오명진,두산,0.000,0,2,1,2.00,0,0.00,4.25,0.000,-0.4,0.0,2020
윤명준,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
이승민,두산,0.000,0,0,0,-,0,0.00,3.00,0.000,-0.1,0.0,2020
이영하,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
이형범,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
조제영,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
함덕주,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
홍건희,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
임지열,키움,1.000,0,0,0,-,0,-,4.00,0.000,0.5,0.7,2020
김은성,키움,0.500,0,1,0,-,0,1.00,4.83,0.000,1.1,0.425,2020
이정후,키움,0.333,69,124,200,0.62,13,1.26,3.74,0.191,104.6,0.31,2020
이지영,키움,0.309,12,98,56,1.75,4,0.68,3.39,0.053,32.4,0.255,2020
김하성,키움,0.306,55,104,201,0.52,14,1.10,3.71,0.218,109.9,0.309,2020
김혜성,키움,0.285,37,140,127,1.10,5,0.49,3.96,0.114,70.8,0.255,2020
서건창,키움,0.277,38,142,160,0.89,6,1.57,3.97,0.110,83.2,0.272,2020
김웅빈,키움,0.275,21,41,47,0.87,0,0.26,4.06,0.179,30.8,0.264,2020
변상권,키움,0.274,6,17,9,1.89,3,0.05,4.00,0.129,6.3,0.227,2020
임병욱,키움,0.270,4,13,4,3.25,0,0.40,4.02,0.108,4.8,0.248,2020
허정협,키움,0.268,22,83,75,1.11,9,0.55,4.15,0.134,44.9,0.259,2020
러셀,키움,0.254,16,73,75,0.97,2,0.59,3.67,0.082,26.6,0.227,2020
박동원,키움,0.250,33,88,89,0.99,5,0.56,3.97,0.176,46.1,0.259,2020
박주홍,키움,0.250,2,4,4,1.00,0,0.10,4.68,0.083,1.8,0.209,2020
박준태,키움,0.245,19,74,71,1.04,1,0.54,4.07,0.086,55.2,0.258,2020
전병우,키움,0.237,24,69,107,0.64,4,0.37,3.81,0.120,41.8,0.229,2020
김주형,키움,0.233,4,6,17,0.35,0,0.40,3.80,0.140,5.3,0.24,2020
박병호,키움,0.223,28,53,81,0.65,7,0.50,4.38,0.227,55.5,0.271,2020
김규민,키움,0.208,4,34,23,1.48,0,0.21,3.87,0.069,6.6,0.182,2020
이택근,키움,0.193,5,16,9,1.78,0,0.33,4.06,0.088,4.3,0.197,2020
주효상,키움,0.190,4,21,22,0.95,2,0.50,3.99,0.048,7.5,0.193,2020
