선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4,연도
김민혁,KT,0.297,26,136,100,1.36,8,0.75,3.63,0.088,57.0,0.256,2023
황재균,KT,0.295,34,96,128,0.75,7,0.70,3.86,0.118,56.2,0.268,2023
정준영,KT,0.292,2,15,8,1.88,0,0.27,3.82,0.042,5.1,0.233,2023
안치영,KT,0.290,4,40,14,2.86,2,0.17,3.74,0.040,14.8,0.232,2023
알포드,KT,0.289,49,77,135,0.57,11,0.34,4.02,0.167,79.6,0.274,2023
장성우,KT,0.288,33,91,138,0.66,4,0.60,3.85,0.134,60.3,0.263,2023
박병호,KT,0.283,33,96,107,0.90,14,0.40,3.85,0.160,70.7,0.271,2023
이호연,KT,0.278,9,62,51,1.22,4,0.39,3.71,0.075,24.9,0.241,2023
배정대,KT,0.277,18,67,87,0.77,1,0.50,3.98,0.071,44.0,0.247,2023
김상수,KT,0.271,23,128,130,0.98,6,0.81,4.20,0.068,54.7,0.244,2023
강백호,KT,0.265,19,60,62,0.97,6,0.56,4.17,0.151,36.7,0.26,2023
문상철,KT,0.260,29,61,89,0.69,6,0.20,3.87,0.155,38.8,0.238,2023
오윤석,KT,0.251,18,56,49,1.14,1,0.30,3.80,0.136,22.3,0.238,2023
박민석,KT,0.250,0,0,0,-,0,0.00,5.75,0.000,0.2,0.175,2023
조용호,KT,0.248,2,46,50,0.92,0,0.92,4.26,0.012,16.8,0.219,2023
홍현빈,KT,0.233,2,14,21,0.67,0,0.62,4.55,0.027,7.8,0.222,2023
김준태,KT,0.209,7,29,30,0.97,0,0.59,4.10,0.113,13.2,0.227,2023
신본기,KT,0.204,3,22,17,1.29,0,1.75,4.29,0.093,8.5,0.238,2023
문상준,KT,0.200,0,0,0,-,0,0.00,4.80,0.000,0.1,0.14,2023
박경수,KT,0.200,14,40,62,0.65,1,0.65,4.40,0.086,18.5,0.213,2023
강현우,KT,0.194,7,39,27,1.44,1,0.35,3.98,0.087,5.6,0.181,2023
강민성,KT,0.182,1,2,6,0.33,0,0.40,3.93,0.045,1.9,0.195,2023
장준원,KT,0.172,4,25,23,1.09,1,0.48,4.20,0.080,7.8,0.188,2023
이상호,KT,0.148,1,20,17,1.18,1,0.22,3.43,0.019,0.5,0.122,2023
이시원,KT,0.138,0,13,6,2.17,0,0.33,4.25,0.000,0.1,0.122,2023
류현인,KT,0.130,0,10,6,1.67,0,0.25,3.83,0.000,0.0,0.108,2023
송민섭,KT,0.130,0,6,6,1.00,0,0.13,4.12,0.000,0.5,0.123,2023
손민석,KT,0.100,0,5,1,5.00,0,0.33,3.92,0.000,0.3,0.138,2023
김민,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
김병준,KT,0.000,0,0,0,-,0,0.00,3.50,0.000,-0.2,0.0,2023
김병희,KT,0.000,0,2,2,1.00,0,0.25,3.89,0.000,-0.4,0.05,2023
김영현,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
김재윤,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
문상인,KT,-,0,0,0,-,0,-,4.00,-,0.3,0.45,2023
박영현,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
이상동,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
이선우,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
이채호,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
하준호,KT,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
이천웅,LG,1.000,0,0,0,-,1,-,2.33,0.000,1.5,0.7,2023
홍창기,LG,0.332,38,158,115,1.37,5,1.06,4.14,0.080,98.6,0.303,2023
안익훈,LG,0.318,1,9,4,2.25,0,0.00,3.09,0.045,2.7,0.248,2023
오스틴,LG,0.313,56,107,182,0.59,15,0.71,3.78,0.204,96.6,0.298,2023
문보경,LG,0.301,44,125,124,1.01,11,0.70,3.87,0.147,78.1,0.282,2023
문성주,LG,0.294,27,168,119,1.41,5,1.97,3.79,0.078,69.2,0.269,2023
김현수,LG,0.293,30,148,152,0.97,10,1.09,3.85,0.090,70.6,0.26,2023
박해민,LG,0.285,22,124,150,0.83,3,0.61,3.90,0.074,62.9,0.246,2023
신민재,LG,0.277,7,116,56,2.07,2,0.85,3.87,0.032,33.5,0.232,2023
정주현,LG,0.273,3,25,24,1.04,2,0.56,3.90,0.057,9.2,0.234,2023
오지환,LG,0.268,35,108,123,0.88,11,0.78,4.03,0.128,67.7,0.266,2023
박동원,LG,0.249,38,118,107,1.10,8,0.54,3.83,0.193,64.9,0.261,2023
김민성,LG,0.249,19,72,77,0.94,5,0.43,3.99,0.128,34.5,0.241,2023
이재원,LG,0.214,9,20,31,0.65,1,0.30,3.88,0.152,14.0,0.224,2023
손호영,LG,0.205,1,14,9,1.56,1,0.08,3.98,0.068,0.7,0.168,2023
김주성,LG,0.200,0,1,1,1.00,0,0.50,3.57,0.000,0.8,0.243,2023
서건창,LG,0.200,7,36,41,0.88,0,0.71,3.77,0.082,7.5,0.188,2023
허도환,LG,0.141,5,18,18,1.00,2,0.15,3.78,0.141,4.5,0.18,2023
