선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
오지환,LG,134,32,27,5,84.4,5,2
이천웅,LG,138,31,21,10,67.7,3,0
정주현,LG,129,21,15,6,71.4,4,1
신민재,LG,81,18,10,8,55.6,2,1
김용의,LG,114,11,8,3,72.7,1,0
이형종,LG,120,11,6,5,54.5,4,0
김현수,LG,140,4,3,1,75.0,4,0
박용택,LG,64,4,3,1,75.0,0,0
홍창기,LG,23,3,3,0,100,0,0
구본혁,LG,57,3,2,1,66.7,0,0
김민성,LG,107,3,2,1,66.7,2,0
전민수,LG,75,3,2,1,66.7,0,0
채은성,LG,128,4,2,2,50.0,1,1
페게로,LG,52,3,2,1,66.7,0,1
백승현,LG,14,1,1,0,100,0,0
윤진호,LG,106,2,1,1,50.0,1,0
고우석,LG,1,0,0,0,-,0,0
김재성,LG,3,0,0,0,-,0,0
김재율,LG,4,0,0,0,-,0,0
류형우,LG,10,0,0,0,-,0,0
문광은,LG,2,0,0,0,-,0,0
박지규,LG,10,0,0,0,-,0,0
서상우,LG,13,0,0,0,-,1,0
양원혁,LG,1,0,0,0,-,0,0
양종민,LG,18,0,0,0,-,1,0
여건욱,LG,3,0,0,0,-,0,0
유강남,LG,132,0,0,0,-,8,0
이상영,LG,1,0,0,0,-,0,0
이성우,LG,55,0,0,0,-,1,0
장원삼,LG,1,0,0,0,-,0,0
전준호,LG,8,0,0,0,-,0,0
정상호,LG,22,0,0,0,-,0,0
정우영,LG,1,0,0,0,-,0,0
정찬헌,LG,1,0,0,0,-,0,0
조셉,LG,55,1,0,1,0.0,0,0
최동환,LG,2,0,0,0,-,0,0
박민우,NC,125,25,18,7,72.0,5,0
이명기,NC,139,18,14,4,77.8,5,1
김태진,NC,123,16,12,4,75.0,6,2
이상호,NC,102,15,10,5,66.7,4,1
김성욱,NC,116,10,6,4,60.0,2,0
최승민,NC,24,8,6,2,75.0,0,0
양의지,NC,118,7,4,3,57.1,2,1
권희동,NC,116,3,3,0,100,2,0
김찬형,NC,76,7,3,4,42.9,3,0
모창민,NC,101,5,3,2,60.0,1,0
스몰린스키,NC,55,4,3,1,75.0,2,0
강진성,NC,41,3,2,1,66.7,0,0
나성범,NC,23,3,2,1,66.7,4,0
박석민,NC,112,3,1,2,33.3,4,1
베탄코트,NC,53,2,1,1,50.0,1,0
손시헌,NC,68,3,1,2,33.3,1,1
이원재,NC,94,3,1,2,33.3,4,0
정범모,NC,25,2,1,1,50.0,0,0
강윤구,NC,1,0,0,0,-,0,0
김건태,NC,1,0,0,0,-,0,0
김영규,NC,1,0,0,0,-,0,0
김준완,NC,8,0,0,0,-,0,1
김진성,NC,3,0,0,0,-,0,0
김진형,NC,11,0,0,0,-,0,0
김철호,NC,2,0,0,0,-,0,0
김태군,NC,18,0,0,0,-,0,0
김형준,NC,55,0,0,0,-,3,0
노진혁,NC,110,1,0,1,0.0,2,0
민태호,NC,1,0,0,0,-,0,0
박헌욱,NC,6,0,0,0,-,0,0
배재환,NC,2,0,0,0,-,0,0
오영수,NC,3,0,0,0,-,0,0
원종현,NC,6,0,0,0,-,0,0
유영준,NC,3,0,0,0,-,0,0
유원상,NC,3,0,0,0,-,0,0
윤수강,NC,2,0,0,0,-,0,0
윤지웅,NC,1,0,0,0,-,0,0
이우석,NC,1,0,0,0,-,0,0
이인혁,NC,6,0,0,0,-,0,0
전사민,NC,1,0,0,0,-,0,0
지석훈,NC,76,1,0,1,0.0,5,0
최성영,NC,1,0,0,0,-,0,0
홍성무,NC,2,0,0,0,-,0,0
고종욱,SK,137,41,31,10,75.6,8,1
노수광,SK,117,37,27,10,73.0,7,1
김강민,SK,127,23,15,8,65.2,3,1
김재현,SK,83,19,13,6,68.4,2,2
안상현,SK,65,10,7,3,70.0,2,0
김성현,SK,144,8,6,2,75.0,5,0
로맥,SK,137,9,6,3,66.7,3,0
채현우,SK,9,4,3,1,75.0,0,0
최정,SK,141,5,3,2,60.0,3,1
배영섭,SK,30,2,2,0,100,0,0
최항,SK,52,2,2,0,100,0,1
나주환,SK,94,3,1,2,33.3,2,2
이재원,SK,139,1,1,0,100,3,1
정현,SK,27,2,1,1,50.0,0,0
강승호,SK,15,0,0,0,-,0,0
김성민,SK,2,0,0,0,-,0,1
김창평,SK,18,0,0,0,-,1,0
김태훈,SK,1,0,0,0,-,0,0
남태혁,SK,12,0,0,0,-,0,0
박정권,SK,18,0,0,0,-,0,0
신재웅,SK,1,0,0,0,-,0,0
오준혁,SK,2,0,0,0,-,0,0
이승진,SK,1,0,0,0,-,0,0
이현석,SK,2,0,0,0,-,0,0
임재현,SK,6,0,0,0,-,0,0
정의윤,SK,110,0,0,0,-,3,1
정진기,SK,13,0,0,0,-,0,0
최경모,SK,17,0,0,0,-,0,0
최민재,SK,1,0,0,0,-,0,0
최승준,SK,10,0,0,0,-,0,0
최준우,SK,15,0,0,0,-,0,0
한유섬,SK,125,1,0,1,0.0,8,0
허도환,SK,56,1,0,1,0.0,1,0
정수빈,두산,123,34,26,8,76.5,10,2
류지혁,두산,118,23,18,5,78.3,3,1
박건우,두산,127,15,12,3,80.0,9,1
허경민,두산,133,16,11,5,68.8,7,2
박세혁,두산,137,10,8,2,80.0,6,0
오재원,두산,98,8,6,2,75.0,1,1
이유찬,두산,25,5,5,0,100,0,0
정진호,두산,66,7,5,2,71.4,1,0
김재호,두산,130,6,3,3,50.0,5,0
김재환,두산,136,4,3,1,75.0,2,0
오재일,두산,130,3,2,1,66.7,2,0
김인태,두산,26,2,1,1,50.0,1,0
김태근,두산,9,3,1,2,33.3,0,0
페르난데스,두산,144,3,1,2,33.3,3,0
국해성,두산,21,0,0,0,-,0,0
권혁,두산,1,0,0,0,-,0,0
김경호,두산,32,0,0,0,-,0,0
김대한,두산,19,0,0,0,-,0,0
김승회,두산,1,0,0,0,-,0,0
박유연,두산,2,0,0,0,-,0,0
배영수,두산,2,0,0,0,-,0,0
백동훈,두산,41,1,0,1,0.0,0,0
서예일,두산,7,0,0,0,-,0,0
송승환,두산,2,0,0,0,-,0,0
신성현,두산,35,0,0,0,-,0,0
이영하,두산,1,0,0,0,-,0,0
이흥련,두산,27,0,0,0,-,1,0
장승현,두산,35,0,0,0,-,0,0
전민재,두산,2,0,0,0,-,0,0
정병곤,두산,20,0,0,0,-,0,0
최주환,두산,87,0,0,0,-,8,0
함덕주,두산,1,0,0,0,-,0,0
김하성,키움,139,37,33,4,89.2,3,1
김혜성,키움,122,23,20,3,87.0,2,0
서건창,키움,113,20,17,3,85.0,6,3
이정후,키움,140,20,13,7,65.0,4,0
임병욱,키움,117,12,10,2,83.3,3,1
