선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사,년도
심우준,KT,144,46,35,11,76.1,3,1,2020
배정대,KT,144,35,22,13,62.9,4,2,2020
조용호,KT,132,15,12,3,80.0,4,1,2020
황재균,KT,134,17,11,6,64.7,3,1,2020
김민혁,KT,108,12,8,4,66.7,2,0,2020
강백호,KT,129,9,7,2,77.8,10,0,2020
박승욱,KT,97,6,5,1,83.3,2,1,2020
송민섭,KT,114,7,4,3,57.1,2,0,2020
천성호,KT,66,2,1,1,50.0,1,0,2020
강민국,KT,81,1,0,1,0.0,1,0,2020
강현우,KT,26,0,0,0,-,0,0,2020
김민,KT,2,0,0,0,-,0,0,2020
김민수,KT,1,0,0,0,-,0,0,2020
김병희,KT,29,0,0,0,-,0,0,2020
김성훈,KT,1,0,0,0,-,0,0,2020
김재윤,KT,2,0,0,0,-,0,0,2020
김태훈,KT,2,0,0,0,-,0,0,2020
로하스,KT,142,1,0,1,0.0,7,0,2020
류희운,KT,1,0,0,0,-,0,0,2020
문상인,KT,3,0,0,0,-,0,0,2020
문상철,KT,74,1,0,1,0.0,1,0,2020
박경수,KT,119,1,0,1,0.0,5,0,2020
박준혁,KT,12,0,0,0,-,0,0,2020
안현준,KT,1,0,0,0,-,0,0,2020
유원상,KT,1,0,0,0,-,0,0,2020
유한준,KT,119,0,0,0,-,2,0,2020
이대은,KT,2,0,0,0,-,0,0,2020
이보근,KT,1,0,0,0,-,0,0,2020
이상화,KT,1,0,0,0,-,0,0,2020
이창재,KT,1,0,0,0,-,0,0,2020
이홍구,KT,49,0,0,0,-,2,0,2020
장성우,KT,130,0,0,0,-,1,0,2020
전유수,KT,2,0,0,0,-,0,0,2020
정주후,KT,10,1,0,1,0.0,0,0,2020
조병욱,KT,1,0,0,0,-,0,0,2020
주권,KT,2,0,0,0,-,0,0,2020
허도환,KT,52,0,0,0,-,0,0,2020
홍현빈,KT,40,1,0,1,0.0,0,0,2020
오지환,LG,141,28,20,8,71.4,9,1,2020
홍창기,LG,135,16,11,5,68.8,4,1,2020
신민재,LG,68,10,8,2,80.0,1,0,2020
이천웅,LG,89,13,8,5,61.5,7,0,2020
정주현,LG,134,15,8,7,53.3,7,1,2020
김용의,LG,101,10,7,3,70.0,1,0,2020
정근우,LG,72,9,7,2,77.8,2,0,2020
손호영,LG,23,5,5,0,100,1,0,2020
김민성,LG,87,3,2,1,66.7,2,0,2020
라모스,LG,117,2,2,0,100,4,0,2020
박용택,LG,97,2,2,0,100,1,0,2020
유강남,LG,137,2,1,1,50.0,3,0,2020
이형종,LG,81,1,1,0,100,4,0,2020
한석현,LG,9,1,1,0,100,0,0,2020
구본혁,LG,125,0,0,0,-,1,1,2020
김대현,LG,1,0,0,0,-,0,0,2020
김현수,LG,142,2,0,2,0.0,4,0,2020
김호은,LG,69,0,0,0,-,1,0,2020
남호,LG,1,0,0,0,-,0,0,2020
류원석,LG,1,0,0,0,-,0,0,2020
박재욱,LG,15,0,0,0,-,0,0,2020
박지규,LG,4,0,0,0,-,0,0,2020
백승현,LG,27,0,0,0,-,1,0,2020
백청훈,LG,1,0,0,0,-,0,0,2020
송은범,LG,4,0,0,0,-,0,0,2020
양석환,LG,40,0,0,0,-,1,0,2020
이성우,LG,72,0,0,0,-,3,0,2020
이우찬,LG,1,0,0,0,-,0,0,2020
이재원,LG,16,0,0,0,-,0,0,2020
이정용,LG,1,0,0,0,-,0,0,2020
이찬혁,LG,1,0,0,0,-,0,0,2020
장준원,LG,46,0,0,0,-,0,1,2020
전민수,LG,4,0,0,0,-,0,0,2020
정우영,LG,2,0,0,0,-,0,0,2020
진해수,LG,1,0,0,0,-,0,0,2020
채은성,LG,109,3,0,3,0.0,4,0,2020
최동환,LG,3,0,0,0,-,0,0,2020
최성훈,LG,3,0,0,0,-,0,0,2020
최재원,LG,6,0,0,0,-,0,0,2020
알테어,NC,136,25,22,3,88.0,4,2,2020
박민우,NC,126,19,13,6,68.4,5,1,2020
김성욱,NC,104,17,12,5,70.6,2,0,2020
이명기,NC,136,19,12,7,63.2,5,1,2020
강진성,NC,121,10,9,1,90.0,3,1,2020
이상호,NC,82,10,6,4,60.0,0,1,2020
양의지,NC,130,7,5,2,71.4,4,0,2020
이재율,NC,25,5,4,1,80.0,0,0,2020
최정원,NC,49,4,4,0,100,1,1,2020
권희동,NC,123,3,3,0,100,0,0,2020
김찬형,NC,56,4,3,1,75.0,2,0,2020
나성범,NC,130,4,3,1,75.0,2,0,2020
박준영,NC,32,1,1,0,100,0,0,2020
이원재,NC,73,1,1,0,100,2,0,2020
지석훈,NC,87,1,1,0,100,1,0,2020
강동연,NC,3,0,0,0,-,0,0,2020
김건태,NC,5,0,0,0,-,0,0,2020
김기환,NC,4,0,0,0,-,0,0,2020
김준완,NC,45,0,0,0,-,1,0,2020
김진성,NC,2,0,0,0,-,0,0,2020
김태군,NC,80,0,0,0,-,1,0,2020
김형준,NC,44,0,0,0,-,2,0,2020
노진혁,NC,132,4,0,4,0.0,1,0,2020
도태훈,NC,11,0,0,0,-,0,0,2020
모창민,NC,62,0,0,0,-,1,0,2020
박석민,NC,123,1,0,1,0.0,5,0,2020
박시원,NC,1,0,0,0,-,0,0,2020
배민서,NC,1,0,0,0,-,0,0,2020
배재환,NC,1,0,0,0,-,0,0,2020
서호철,NC,2,0,0,0,-,0,0,2020
손정욱,NC,1,0,0,0,-,0,0,2020
송명기,NC,1,0,0,0,-,0,0,2020
원종현,NC,4,0,0,0,-,0,0,2020
유영준,NC,4,0,0,0,-,0,0,2020
윤수강,NC,4,0,0,0,-,0,0,2020
홍성무,NC,1,0,0,0,-,0,0,2020
정수빈,두산,141,21,15,6,71.4,6,0,2020
허경민,두산,117,20,14,6,70.0,4,1,2020
이유찬,두산,101,17,13,4,76.5,2,0,2020
오재원,두산,85,15,10,5,66.7,3,1,2020
박건우,두산,129,10,8,2,80.0,4,1,2020
김재호,두산,120,8,6,2,75.0,6,0,2020
김재환,두산,140,6,6,0,100,2,0,2020
박세혁,두산,124,8,5,3,62.5,6,0,2020
조수행,두산,44,5,3,2,60.0,0,0,2020
안권수,두산,68,3,2,1,66.7,4,0,2020
오재일,두산,127,3,2,1,66.7,7,0,2020
최주환,두산,140,4,2,2,50.0,5,0,2020
국해성,두산,46,2,1,1,50.0,0,0,2020
권민석,두산,55,1,1,0,100,0,0,2020
권휘,두산,1,0,0,0,-,0,0,2020
김강률,두산,2,0,0,0,-,0,0,2020
김민규,두산,3,0,0,0,-,0,0,2020
김인태,두산,77,0,0,0,-,0,0,2020
박지훈,두산,10,0,0,0,-,0,0,2020
백동훈,두산,27,0,0,0,-,0,0,2020
서예일,두산,40,0,0,0,-,0,0,2020
신성현,두산,9,0,0,0,-,0,0,2020
양찬열,두산,17,0,0,0,-,0,0,2020
오명진,두산,5,0,0,0,-,0,0,2020
윤명준,두산,1,0,0,0,-,0,0,2020
이승민,두산,3,0,0,0,-,0,0,2020
이영하,두산,1,0,0,0,-,0,0,2020
이형범,두산,1,0,0,0,-,0,0,2020
장승현,두산,23,0,0,0,-,0,0,2020
정상호,두산,42,0,0,0,-,0,1,2020
조제영,두산,1,0,0,0,-,0,0,2020
최용제,두산,28,0,0,0,-,0,0,2020
페르난데스,두산,144,1,0,1,0.0,9,0,2020
함덕주,두산,2,0,0,0,-,0,0,2020
홍건희,두산,1,0,0,0,-,0,0,2020
김혜성,키움,142,33,25,8,75.8,3,2,2020
서건창,키움,135,34,24,10,70.6,9,1,2020
김하성,키움,138,25,23,2,92.0,6,0,2020
이정후,키움,140,14,12,2,85.7,3,1,2020
박정음,키움,86,10,9,1,90.0,0,1,2020
전병우,키움,119,7,7,0,100,3,0,2020
박준태,키움,128,6,5,1,83.3,4,3,2020
임병욱,키움,12,3,3,0,100,0,0,2020
러셀,키움,65,2,2,0,100,3,1,2020
김규민,키움,54,1,1,0,100,1,0,2020
김웅빈,키움,73,1,1,0,100,1,1,2020
이지영,키움,101,2,1,1,50.0,2,0,2020
김동혁,키움,1,0,0,0,-,0,0,2020
김병휘,키움,1,0,0,0,-,0,0,2020
김상수,키움,1,0,0,0,-,0,0,2020
김성민,키움,3,0,0,0,-,0,0,2020
김수환,키움,9,0,0,0,-,1,0,2020
김은성,키움,16,0,0,0,-,0,0,2020
김재웅,키움,2,0,0,0,-,0,0,2020
김재현,키움,4,0,0,0,-,0,0,2020
김주형,키움,39,1,0,1,0.0,0,0,2020
모터,키움,10,0,0,0,-,0,0,2020
문찬종,키움,5,0,0,0,-,0,0,2020
박동원,키움,112,0,0,0,-,0,0,2020
박병호,키움,93,0,0,0,-,1,1,2020
박주홍,키움,13,1,0,1,0.0,1,0,2020
변상권,키움,35,0,0,0,-,0,0,2020
송우현,키움,14,0,0,0,-,0,0,2020
신재영,키움,1,0,0,0,-,0,0,2020
안우진,키움,1,0,0,0,-,0,0,2020
양지율,키움,1,0,0,0,-,0,0,2020
양현,키움,1,0,0,0,-,0,0,2020
윤정현,키움,2,0,0,0,-,0,0,2020
이택근,키움,20,0,0,0,-,0,0,2020
임규빈,키움,2,0,0,0,-,0,0,2020
임지열,키움,1,0,0,0,-,0,0,2020
조상우,키움,6,0,0,0,-,0,0,2020
조성운,키움,4,0,0,0,-,0,0,2020
조영건,키움,3,0,0,0,-,0,0,2020
주효상,키움,63,0,0,0,-,0,0,2020
허정협,키움,111,0,0,0,-,2,0,2020
