선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사,연도
알포드,KT,133,21,17,4,81.0,12,1,2023
배정대,KT,97,16,13,3,81.3,3,0,2023
김민혁,KT,113,15,11,4,73.3,5,0,2023
안치영,KT,76,8,7,1,87.5,0,0,2023
김상수,KT,129,11,5,6,45.5,4,2,2023
이호연,KT,85,6,4,2,66.7,3,0,2023
조용호,KT,63,4,4,0,100,3,0,2023
강백호,KT,71,3,3,0,100,4,0,2023
문상철,KT,112,4,3,1,75.0,3,0,2023
송민섭,KT,69,4,3,1,75.0,1,0,2023
오윤석,KT,82,4,3,1,75.0,0,1,2023
장준원,KT,69,3,3,0,100,0,0,2023
황재균,KT,109,6,3,3,50.0,2,1,2023
박병호,KT,132,2,2,0,100,4,0,2023
이상호,KT,63,2,2,0,100,1,0,2023
홍현빈,KT,44,2,2,0,100,0,0,2023
김준태,KT,69,1,1,0,100,1,0,2023
장성우,KT,131,2,1,1,50.0,2,0,2023
강민성,KT,12,0,0,0,-,0,0,2023
강현우,KT,53,1,0,1,0.0,0,0,2023
김민,KT,1,0,0,0,-,0,0,2023
김병준,KT,3,0,0,0,-,0,0,2023
김병희,KT,5,0,0,0,-,0,0,2023
김영현,KT,1,0,0,0,-,0,0,2023
김재윤,KT,5,0,0,0,-,0,0,2023
류현인,KT,17,0,0,0,-,0,0,2023
문상인,KT,1,0,0,0,-,0,0,2023
문상준,KT,2,0,0,0,-,0,0,2023
박경수,KT,107,0,0,0,-,4,0,2023
박민석,KT,4,0,0,0,-,0,0,2023
박영현,KT,3,0,0,0,-,0,0,2023
손민석,KT,9,0,0,0,-,0,0,2023
신본기,KT,40,1,0,1,0.0,1,0,2023
이상동,KT,1,0,0,0,-,0,0,2023
이선우,KT,1,0,0,0,-,0,0,2023
이시원,KT,29,1,0,1,0.0,1,0,2023
이채호,KT,1,0,0,0,-,0,0,2023
정준영,KT,34,0,0,0,-,0,0,2023
하준호,KT,1,0,0,0,-,0,0,2023
신민재,LG,122,54,37,17,68.5,6,1,2023
박해민,LG,144,38,26,12,68.4,11,2,2023
문성주,LG,136,38,24,14,63.2,6,2,2023
홍창기,LG,141,46,23,23,50.0,10,3,2023
오지환,LG,126,23,16,7,69.6,7,2,2023
문보경,LG,131,17,9,8,52.9,8,2,2023
최승민,LG,38,11,8,3,72.7,1,1,2023
오스틴,LG,139,10,7,3,70.0,5,2,2023
이재원,LG,57,6,4,2,66.7,0,0,2023
서건창,LG,44,6,3,3,50.0,3,0,2023
김민성,LG,112,3,2,1,66.7,2,0,2023
김현수,LG,133,3,2,1,66.7,5,0,2023
손호영,LG,27,3,2,1,66.7,0,0,2023
김기연,LG,28,1,1,0,100,1,0,2023
송찬의,LG,19,1,1,0,100,1,0,2023
정주현,LG,89,6,1,5,16.7,1,0,2023
고우석,LG,1,0,0,0,-,0,0,2023
김대현,LG,2,0,0,0,-,0,0,2023
김범석,LG,10,0,0,0,-,0,0,2023
김주성,LG,11,0,0,0,-,1,0,2023
박동원,LG,130,1,0,1,0.0,7,0,2023
박명근,LG,2,0,0,0,-,0,0,2023
송대현,LG,4,0,0,0,-,0,0,2023
안익훈,LG,11,0,0,0,-,3,0,2023
오석주,LG,1,0,0,0,-,0,0,2023
이정용,LG,1,0,0,0,-,0,0,2023
이천웅,LG,4,0,0,0,-,0,0,2023
전준호,LG,2,0,0,0,-,0,0,2023
최동환,LG,3,0,0,0,-,0,0,2023
허도환,LG,47,0,0,0,-,0,0,2023
박민우,NC,124,33,26,7,78.8,4,1,2023
김주원,NC,127,18,15,3,83.3,6,1,2023
마틴,NC,118,18,15,3,83.3,9,1,2023
손아섭,NC,140,17,14,3,82.4,4,1,2023
박건우,NC,130,12,7,5,58.3,5,0,2023
김성욱,NC,93,7,6,1,85.7,0,1,2023
박영빈,NC,41,6,4,2,66.7,2,0,2023
서호철,NC,114,9,4,5,44.4,3,1,2023
최정원,NC,39,5,4,1,80.0,1,0,2023
오영수,NC,70,6,3,3,50.0,3,1,2023
오태양,NC,21,6,3,3,50.0,1,0,2023
권희동,NC,96,2,2,0,100,5,0,2023
도태훈,NC,117,3,2,1,66.7,2,0,2023
천재환,NC,78,5,2,3,40.0,1,0,2023
한석현,NC,27,3,2,1,66.7,1,1,2023
박세혁,NC,88,2,1,1,50.0,1,0,2023
윤형준,NC,82,2,1,1,50.0,1,0,2023
김수윤,NC,16,0,0,0,-,0,0,2023
김시훈,NC,1,0,0,0,-,0,0,2023
김한별,NC,79,3,0,3,0.0,1,0,2023
김형준,NC,26,0,0,0,-,0,0,2023
류진욱,NC,2,0,0,0,-,0,0,2023
박대온,NC,25,0,0,0,-,0,0,2023
박석민,NC,30,0,0,0,-,1,0,2023
박주찬,NC,5,0,0,0,-,0,0,2023
박한결,NC,12,0,0,0,-,0,0,2023
안중열,NC,77,0,0,0,-,2,0,2023
오장한,NC,3,0,0,0,-,0,0,2023
이용찬,NC,2,0,0,0,-,0,0,2023
전사민,NC,1,0,0,0,-,0,0,2023
조현진,NC,10,0,0,0,-,0,0,2023
채원후,NC,1,0,0,0,-,0,0,2023
최보성,NC,12,0,0,0,-,0,0,2023
한재승,NC,1,0,0,0,-,0,0,2023
최지훈,SSG,117,23,21,2,91.3,4,3,2023
오태곤,SSG,123,21,20,1,95.2,2,0,2023
에레디아,SSG,122,20,12,8,60.0,5,1,2023
하재훈,SSG,77,11,11,0,100,0,1,2023
최정,SSG,128,10,7,3,70.0,6,0,2023
추신수,SSG,112,10,6,4,60.0,4,0,2023
김성현,SSG,112,5,4,1,80.0,2,0,2023
박성한,SSG,128,5,4,1,80.0,4,3,2023
안상현,SSG,58,4,3,1,75.0,0,0,2023
김강민,SSG,70,3,2,1,66.7,2,0,2023
최경모,SSG,28,2,2,0,100,0,0,2023
최상민,SSG,51,4,2,2,50.0,1,0,2023
한유섬,SSG,109,3,2,1,66.7,1,1,2023
강진성,SSG,58,0,0,0,-,0,0,2023
고명준,SSG,2,0,0,0,-,0,0,2023
고효준,SSG,2,0,0,0,-,0,0,2023
김건웅,SSG,1,0,0,0,-,0,0,2023
김민식,SSG,122,0,0,0,-,5,1,2023
김정민,SSG,8,0,0,0,-,0,0,2023
김찬형,SSG,36,0,0,0,-,0,0,2023
노경은,SSG,1,0,0,0,-,0,0,2023
류효승,SSG,3,0,0,0,-,0,0,2023
