선수명,포지션,수비 승리 기여도_x,년도_x,수비 승리 기여도_y,년도_y,팀명,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
김선빈,유격수,0.855,2019,0.855,2019,KIA,110,100,835 2/3,9,0,143,266,63,0.978,0,0,0,-
한승택,포수,0.822,2019,0.822,2019,KIA,103,83,702,5,0,553,43,4,0.992,3,61,18,22.8
박찬호,유격수,0.807,2019,0.807,2019,KIA,63,41,379 1/3,5,0,85,136,31,0.978,0,0,0,-
백용환,포수,0.342,2019,0.342,2019,KIA,20,11,104 1/3,2,0,84,10,1,0.979,1,9,5,35.7
이창진,2루수,0.163,2019,0.163,2019,KIA,8,5,45,0,0,9,14,5,1.000,0,0,0,-
해즐베이커,좌익수,0.156,2019,0.156,2019,KIA,2,1,10,0,0,3,1,1,1.000,0,0,0,-
한준수,포수,0.140,2019,0.14,2019,KIA,7,5,39,0,0,29,5,0,1.000,0,6,2,25.0
홍재호,2루수,0.137,2019,0.137,2019,KIA,7,4,42,1,0,6,18,3,0.960,0,0,0,-
황윤호,3루수,0.125,2019,0.125,2019,KIA,23,11,110,2,0,15,21,0,0.947,0,0,0,-
류승현,1루수,0.102,2019,0.102,2019,KIA,34,25,197 2/3,0,0,191,18,15,1.000,0,0,0,-
최형우,좌익수,0.080,2019,0.08,2019,KIA,45,44,350,0,0,88,1,0,1.000,0,0,0,-
박찬호,2루수,0.074,2019,0.074,2019,KIA,11,7,69 2/3,1,0,25,23,8,0.980,0,0,0,-
최정용,2루수,0.062,2019,0.062,2019,KIA,6,2,27,0,0,1,7,1,1.000,0,0,0,-
이우성,중견수,0.056,2019,0.056,2019,KIA,3,3,22,0,0,8,0,0,1.000,0,0,0,-
황윤호,2루수,0.056,2019,0.056,2019,KIA,32,16,152 2/3,4,0,33,49,12,0.953,0,0,0,-
이진영,우익수,0.055,2019,0.055,2019,KIA,4,3,25,0,0,8,0,0,1.000,0,0,0,-
최정민,중견수,0.043,2019,0.043,2019,KIA,1,1,6,0,0,2,0,0,1.000,0,0,0,-
신범수,포수,0.038,2019,0.038,2019,KIA,31,12,126 2/3,1,0,101,16,0,0.992,1,10,6,37.5
유재신,우익수,0.032,2019,0.032,2019,KIA,6,1,16,0,0,7,0,0,1.000,0,0,0,-
유재신,중견수,0.032,2019,0.032,2019,KIA,7,1,18,0,0,3,0,0,1.000,0,0,0,-
이범호,3루수,0.031,2019,0.031,2019,KIA,1,1,5,0,0,0,1,0,1.000,0,0,0,-
박준태,좌익수,0.029,2019,0.029,2019,KIA,3,0,3 2/3,0,0,2,0,0,1.000,0,0,0,-
박준태,중견수,0.025,2019,0.025,2019,KIA,7,2,18 2/3,0,0,5,0,0,1.000,0,0,0,-
이진영,중견수,0.014,2019,0.014,2019,KIA,1,1,8,0,0,2,0,0,1.000,0,0,0,-
홍재호,유격수,0.012,2019,0.012,2019,KIA,3,0,7,0,0,1,0,0,1.000,0,0,0,-
황대인,3루수,0.006,2019,0.006,2019,KIA,1,0,2,0,0,0,1,0,1.000,0,0,0,-
오선우,1루수,0.005,2019,0.005,2019,KIA,1,0,5,0,0,5,0,0,1.000,0,0,0,-
이인행,우익수,0.003,2019,0.003,2019,KIA,8,6,37,0,0,7,0,0,1.000,0,0,0,-
최정민,2루수,0.002,2019,0.002,2019,KIA,1,0,3,0,0,0,0,0,-,0,0,0,-
윤해진,3루수,0.000,2019,0.0,2019,KIA,1,0,3,0,0,0,0,0,-,0,0,0,-
류승현,우익수,-0.001,2019,-0.001,2019,KIA,1,0,1,0,0,0,0,0,-,0,0,0,-
오정환,1루수,-0.002,2019,-0.002,2019,KIA,2,0,4,0,0,5,0,1,1.000,0,0,0,-
유재신,1루수,-0.004,2019,-0.004,2019,KIA,2,0,7,0,0,9,0,0,1.000,0,0,0,-
최정민,좌익수,-0.005,2019,-0.005,2019,KIA,1,1,3,0,0,1,0,0,1.000,0,0,0,-
문선재,우익수,-0.005,2019,-0.005,2019,KIA,2,2,13 1/3,0,0,2,0,0,1.000,0,0,0,-
최원준,유격수,-0.007,2019,-0.007,2019,KIA,3,0,6,0,0,2,0,0,1.000,0,0,0,-
문선재,좌익수,-0.008,2019,-0.008,2019,KIA,13,8,75,0,0,14,0,0,1.000,0,0,0,-
박찬호,3루수,-0.016,2019,-0.016,2019,KIA,92,82,692,10,0,76,137,9,0.955,0,0,0,-
최정용,1루수,-0.031,2019,-0.031,2019,KIA,1,1,7,1,0,10,0,0,0.909,0,0,0,-
고장혁,1루수,-0.037,2019,-0.037,2019,KIA,3,2,17,0,0,15,4,0,1.000,0,0,0,-
류승현,좌익수,-0.047,2019,-0.047,2019,KIA,2,1,9,0,0,0,0,0,-,0,0,0,-
이범호,1루수,-0.059,2019,-0.059,2019,KIA,3,1,10,0,0,5,1,0,1.000,0,0,0,-
이진영,좌익수,-0.059,2019,-0.059,2019,KIA,4,0,7,0,0,1,0,0,1.000,0,0,0,-
최원준,1루수,-0.066,2019,-0.066,2019,KIA,8,1,25 2/3,0,0,25,0,0,1.000,0,0,0,-
황윤호,유격수,-0.100,2019,-0.1,2019,KIA,10,3,35,0,0,1,11,2,1.000,0,0,0,-
오정환,3루수,-0.121,2019,-0.121,2019,KIA,7,2,24 2/3,0,0,1,2,0,1.000,0,0,0,-
황대인,1루수,-0.131,2019,-0.131,2019,KIA,8,5,46,0,0,40,3,6,1.000,0,0,0,-
