선수명,포지션,수비 승리 기여도,년도,팀명,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
한승택,포수,0.825,2020,KIA,103,83,702,5,0,553,43,4,0.992,3,61,18,22.8
박찬호,유격수,0.761,2020,KIA,63,41,379 1/3,5,0,85,136,31,0.978,0,0,0,-
김민식,포수,0.731,2020,KIA,49,29,260,3,1,204,14,3,0.986,4,22,6,21.4
황윤호,3루수,0.573,2020,KIA,23,11,110,2,0,15,21,0,0.947,0,0,0,-
김선빈,2루수,0.132,2020,KIA,13,10,77,1,0,9,25,5,0.971,0,0,0,-
최원준,우익수,0.101,2020,KIA,18,7,82 1/3,0,0,24,1,0,1.000,0,0,0,-
이우성,좌익수,0.076,2020,KIA,38,29,242 1/3,1,0,53,1,0,0.982,0,0,0,-
터커,좌익수,0.075,2020,KIA,48,40,335,2,0,68,2,1,0.972,0,0,0,-
황윤호,2루수,0.056,2020,KIA,32,16,152 2/3,4,0,33,49,12,0.953,0,0,0,-
황대인,1루수,0.047,2020,KIA,8,5,46,0,0,40,3,6,1.000,0,0,0,-
문선재,좌익수,0.041,2020,KIA,13,8,75,0,0,14,0,0,1.000,0,0,0,-
황윤호,유격수,0.021,2020,KIA,10,3,35,0,0,1,11,2,1.000,0,0,0,-
문선재,우익수,0.012,2020,KIA,2,2,13 1/3,0,0,2,0,0,1.000,0,0,0,-
이우성,중견수,-0.007,2020,KIA,3,3,22,0,0,8,0,0,1.000,0,0,0,-
고장혁,3루수,-0.011,2020,KIA,16,9,77 1/3,4,0,1,9,0,0.714,0,0,0,-
이정훈,포수,-0.013,2020,KIA,6,4,32,0,0,29,1,0,1.000,0,8,1,11.1
최형우,좌익수,-0.058,2020,KIA,45,44,350,0,0,88,1,0,1.000,0,0,0,-
이진영,우익수,-0.066,2020,KIA,4,3,25,0,0,8,0,0,1.000,0,0,0,-
김주찬,1루수,-0.067,2020,KIA,76,65,538 2/3,6,0,481,39,48,0.989,0,0,0,-
이진영,좌익수,-0.080,2020,KIA,4,0,7,0,0,1,0,0,1.000,0,0,0,-
오선우,우익수,-0.108,2020,KIA,21,11,114 2/3,0,0,29,3,0,1.000,0,0,0,-
최원준,3루수,-0.114,2020,KIA,40,35,309,6,0,22,55,4,0.928,0,0,0,-
백용환,포수,-0.124,2020,KIA,20,11,104 1/3,2,0,84,10,1,0.979,1,9,5,35.7
최정용,2루수,-0.131,2020,KIA,6,2,27,0,0,1,7,1,1.000,0,0,0,-
이우성,우익수,-0.190,2020,KIA,2,0,4,0,0,0,0,0,-,0,0,0,-
이창진,중견수,-0.366,2020,KIA,126,110,963 1/3,4,0,278,6,1,0.986,0,0,0,-
유민상,1루수,-1.521,2020,KIA,38,31,285,3,0,283,18,28,0.990,0,0,0,-
최원준,중견수,-2.081,2020,KIA,19,8,78,0,0,16,0,0,1.000,0,0,0,-
나지완,좌익수,-2.208,2020,KIA,13,7,62,0,0,13,0,0,1.000,0,0,0,-
터커,우익수,-2.831,2020,KIA,56,53,433,2,0,96,1,0,0.980,0,0,0,-
