순위,선수명,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
1,김도영,KIA,3루수,74,73,627,17,0,44,130,14,0.911,0,0,0,-
2,박찬호,KIA,유격수,68,66,580 1/3,9,0,107,165,40,0.968,0,0,0,-
3,소크라테스,KIA,좌익수,64,49,439 2/3,2,0,94,4,1,0.98,0,0,0,-
4,이우성,KIA,1루수,61,55,482,4,0,449,27,48,0.992,0,0,0,-
5,김선빈,KIA,2루수,58,55,453,6,0,111,144,37,0.977,0,0,0,-
6,한준수,KIA,포수,56,35,340 1/3,1,1,297,20,6,0.997,4,31,6,16.2
7,최원준,KIA,중견수,54,48,371 1/3,2,0,102,1,1,0.981,0,0,0,-
8,김태군,KIA,포수,53,41,333 2/3,3,0,294,27,3,0.991,3,32,9,22.0
9,최원준,KIA,우익수,47,13,194 2/3,0,0,35,0,0,1.0,0,0,0,-
10,장현식,KIA,투수,42,0,36 2/3,0,1,3,10,0,1.0,0,0,0,-
11,최지민,KIA,투수,40,0,31 2/3,1,0,2,2,0,0.8,0,0,0,-
12,김호령,KIA,중견수,38,4,103 2/3,2,0,38,0,0,0.95,0,0,0,-
13,곽도규,KIA,투수,37,0,29,1,0,1,1,0,0.667,0,0,0,-
13,전상현,KIA,투수,37,0,33 2/3,0,0,0,4,0,1.0,0,0,0,-
15,정해영,KIA,투수,32,0,32,0,0,2,2,1,1.0,0,0,0,-
16,이준영,KIA,투수,29,0,17 1/3,0,0,1,2,0,1.0,0,0,0,-
16,이창진,KIA,우익수,29,20,147,1,0,29,0,0,0.967,0,0,0,-
18,서건창,KIA,2루수,28,15,132 2/3,1,0,26,39,9,0.985,0,0,0,-
19,나성범,KIA,우익수,27,27,215 1/3,1,0,35,3,1,0.974,0,0,0,-
20,이창진,KIA,좌익수,26,13,132 2/3,0,0,31,0,0,1.0,0,0,0,-
21,서건창,KIA,1루수,24,12,128,3,0,108,11,10,0.975,0,0,0,-
21,소크라테스,KIA,중견수,24,22,175 1/3,1,0,46,1,0,0.979,0,0,0,-
21,홍종표,KIA,2루수,24,3,71 1/3,0,0,19,29,9,1.0,0,0,0,-
24,김도현,KIA,투수,20,0,22 2/3,1,1,0,5,0,0.833,0,0,0,-
25,김건국,KIA,투수,18,3,32 2/3,0,1,0,2,0,1.0,0,0,0,-
26,이우성,KIA,우익수,16,14,105,2,0,23,0,0,0.92,0,0,0,-
27,네일,KIA,투수,15,15,91 2/3,2,0,6,22,3,0.933,0,0,0,-
27,양현종,KIA,투수,15,15,91 2/3,0,0,4,10,0,1.0,0,0,0,-
29,김사윤,KIA,투수,14,2,23 1/3,1,0,0,5,1,0.833,0,0,0,-
29,윤영철,KIA,투수,14,14,69 2/3,1,0,2,15,2,0.944,0,0,0,-
31,황동하,KIA,투수,13,10,52,0,1,1,10,1,1.000,0,0,0,-
32,변우혁,KIA,1루수,12,7,62,1,0,53,2,8,0.982,0,0,0,-
33,박정우,KIA,중견수,11,1,26 2/3,0,0,8,0,0,1.000,0,0,0,-
33,최형우,KIA,좌익수,11,11,82 1/3,1,0,9,0,0,0.900,0,0,0,-
35,김대유,KIA,투수,10,0,7 1/3,0,0,0,0,0,-,0,0,0,-
35,박민,KIA,유격수,10,4,40,3,0,9,13,4,0.880,0,0,0,-
35,윤중현,KIA,투수,10,0,9 1/3,0,0,1,1,1,1.000,0,0,0,-
35,홍종표,KIA,3루수,10,3,43,1,0,2,5,0,0.875,0,0,0,-
39,임기영,KIA,투수,8,2,17 1/3,0,0,0,4,0,1.000,0,0,0,-
39,크로우,KIA,투수,8,8,40 1/3,1,0,2,9,0,0.917,0,0,0,-
39,홍종표,KIA,유격수,8,6,47,1,0,9,14,4,0.958,0,0,0,-
42,고종욱,KIA,좌익수,7,2,19,0,0,3,0,0,1.000,0,0,0,-
43,이형범,KIA,투수,6,0,5,0,0,2,0,1,1.000,0,0,0,-
44,김규성,KIA,유격수,5,0,11 2/3,1,0,4,3,0,0.875,0,0,0,-
45,김현수,KIA,투수,4,0,4 1/3,0,0,0,0,0,-,0,0,0,-
45,박준표,KIA,투수,4,0,2,0,0,0,0,0,-,0,0,0,-
45,소크라테스,KIA,우익수,4,1,11,1,0,4,0,0,0.800,0,0,0,-
45,이의리,KIA,투수,4,4,13 1/3,1,0,1,2,1,0.750,0,0,0,-
49,박민,KIA,2루수,3,3,25,1,0,0,10,2,0.909,0,0,0,-
49,박정우,KIA,좌익수,3,0,2 1/3,0,0,0,0,0,-,0,0,0,-
49,알드레드,KIA,투수,3,3,14,0,0,2,2,0,1.000,0,0,0,-
