순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,김규성,KIA,0.500,6,4,2,1,1,1,0,0,2,2,0,0,2,0,0,1,0,1.000,0.750,1.750,0,0.5,0.0
2,김도영,KIA,0.341,74,334,296,71,101,11,4,20,180,56,1,4,30,2,3,59,1,0.608,0.402,1.010,32,0.352,0.0
3,이우성,KIA,0.316,72,300,266,46,84,11,1,8,121,45,0,1,31,0,2,56,10,0.455,0.390,0.845,22,0.316,1.0
4,김선빈,KIA,0.313,59,230,198,27,62,7,0,5,84,26,2,0,25,0,4,22,9,0.424,0.401,0.825,19,0.372,0.5
5,최형우,KIA,0.299,70,307,271,46,81,18,1,15,146,69,0,2,31,3,3,46,1,0.539,0.375,0.914,24,0.381,1.0
6,한준수,KIA,0.297,59,167,148,17,44,9,0,3,62,21,0,4,13,0,2,29,2,0.419,0.353,0.772,7,0.256,0.333
7,박찬호,KIA,0.297,68,302,276,42,82,12,0,2,100,27,4,3,18,1,1,26,4,0.362,0.339,0.701,26,0.324,0.0
8,서건창,KIA,0.293,55,150,123,22,36,7,1,1,48,12,1,1,24,0,1,17,2,0.390,0.409,0.799,6,0.27,0.25
9,고종욱,KIA,0.292,22,27,24,3,7,2,0,1,12,4,0,0,3,0,0,4,2,0.500,0.370,0.870,0,0.222,0.4
10,박민,KIA,0.286,14,28,28,4,8,4,0,0,12,2,0,0,0,0,0,7,0,0.429,0.286,0.715,2,0.3,1.0
10,황대인,KIA,0.286,3,7,7,1,2,1,0,0,3,3,0,0,0,0,0,1,0,0.429,0.286,0.715,1,0.333,0.0
12,소크라테스,KIA,0.285,76,321,291,44,83,12,1,14,139,50,0,2,25,2,3,49,4,0.478,0.346,0.824,23,0.368,0.0
13,최원준,KIA,0.278,73,267,241,36,67,13,2,4,96,30,2,0,22,0,2,40,5,0.398,0.343,0.741,19,0.323,0.167
14,홍종표,KIA,0.276,44,65,58,12,16,3,2,0,23,5,1,0,5,0,1,19,0,0.397,0.344,0.741,4,0.25,0.0
15,김태군,KIA,0.269,55,137,119,16,32,4,0,3,45,21,2,0,9,0,7,12,8,0.378,0.356,0.734,8,0.229,0.5
16,나성범,KIA,0.260,45,197,173,20,45,7,1,9,81,32,0,0,23,1,0,45,5,0.468,0.347,0.815,13,0.24,0.0
17,이창진,KIA,0.238,60,139,101,21,24,6,0,0,30,8,5,2,30,0,1,25,3,0.297,0.410,0.707,5,0.167,0.333
18,변우혁,KIA,0.226,15,32,31,2,7,1,2,0,12,1,0,0,1,0,0,13,3,0.387,0.250,0.637,2,0.2,0.25
19,박정우,KIA,0.182,13,12,11,1,2,0,0,0,2,0,0,0,1,0,0,2,2,0.182,0.250,0.432,1,0.0,0.0
20,김호령,KIA,0.152,41,38,33,6,5,0,0,1,8,3,0,0,5,0,0,17,0,0.242,0.263,0.505,0,0.25,0.25
21,곽도규,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
21,전상현,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
21,정해영,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
21,최지민,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
21,한승택,KIA,0.000,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.500,0.500,0,0.0,0.0
