순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,김규성,KIA,0.500,1,0,0,-,0,2.00,5.00,0.500,1.3,0.588
2,김도영,KIA,0.341,35,56,84,0.67,7,0.51,3.78,0.267,71.4,0.333
3,이우성,KIA,0.316,20,78,49,1.59,5,0.55,3.99,0.139,44.3,0.289
4,김선빈,KIA,0.313,12,63,51,1.24,3,1.14,4.16,0.111,32.0,0.286
5,최형우,KIA,0.299,34,68,78,0.87,6,0.67,4.12,0.240,53.0,0.304
6,한준수,KIA,0.297,12,35,44,0.80,0,0.45,3.93,0.122,23.0,0.264
7,박찬호,KIA,0.297,14,90,81,1.11,1,0.69,3.70,0.065,33.8,0.243
8,서건창,KIA,0.293,9,33,38,0.87,1,1.41,4.13,0.098,21.4,0.282
9,고종욱,KIA,0.292,3,10,3,3.33,1,0.75,3.59,0.208,3.6,0.292
10,박민,KIA,0.286,4,4,9,0.44,0,0.00,3.32,0.143,2.7,0.236
10,황대인,KIA,0.286,1,3,1,3.00,0,0.00,3.14,0.143,0.8,0.236
12,소크라테스,KIA,0.285,27,74,87,0.85,2,0.51,3.66,0.192,47.7,0.275
13,최원준,KIA,0.278,19,80,54,1.48,6,0.55,3.97,0.120,32.2,0.254
14,홍종표,KIA,0.276,5,16,7,2.29,0,0.26,3.82,0.121,7.4,0.254
15,김태군,KIA,0.269,7,41,34,1.21,2,0.75,3.64,0.109,14.3,0.255
16,나성범,KIA,0.260,17,46,37,1.24,7,0.51,3.93,0.208,27.0,0.273
17,이창진,KIA,0.238,6,22,32,0.69,1,1.20,4.18,0.059,16.6,0.259
18,변우혁,KIA,0.226,3,6,5,1.20,0,0.08,3.59,0.161,1.8,0.209
19,박정우,KIA,0.182,0,6,1,6.00,0,0.50,3.92,0.000,-0.2,0.158
20,김호령,KIA,0.152,1,6,5,1.20,0,0.29,4.61,0.091,2.5,0.179
21,곽도규,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
21,전상현,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
21,정해영,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
21,최지민,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0
21,한승택,KIA,0.000,0,0,1,0.00,0,-,5.00,0.000,0.3,0.225
