선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
박찬호,KIA,130,50,42,8,84.0,7,0
김도영,KIA,103,16,13,3,81.3,7,0
김선빈,KIA,140,15,13,2,86.7,10,0
소크라테스,KIA,127,19,12,7,63.2,5,1
류지혁,KIA,127,12,8,4,66.7,4,0
나성범,KIA,144,7,6,1,85.7,5,0
이창진,KIA,111,8,3,5,37.5,4,0
김호령,KIA,54,3,2,1,66.7,1,0
고종욱,KIA,62,1,1,0,100,1,0
박동원,KIA,123,1,1,0,100,5,1
이우성,KIA,80,4,1,3,25.0,1,1
최형우,KIA,132,1,1,0,100,3,1
권혁경,KIA,2,0,0,0,-,0,0
김규성,KIA,70,0,0,0,-,1,0
김석환,KIA,51,0,0,0,-,0,0
김선우,KIA,3,0,0,0,-,0,0
김재열,KIA,1,0,0,0,-,0,0
나지완,KIA,2,0,0,0,-,0,0
류승현,KIA,3,0,0,0,-,0,0
박민,KIA,6,0,0,0,-,0,0
박정우,KIA,16,0,0,0,-,1,1
신범수,KIA,2,0,0,0,-,0,0
이정훈,KIA,6,0,0,0,-,0,0
임석진,KIA,10,0,0,0,-,0,0
최정용,KIA,30,0,0,0,-,0,0
한승택,KIA,66,0,0,0,-,0,0
황대인,KIA,129,0,0,0,-,3,0
