순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,김도영,KIA,74,24,22,2,91.7,4,0
2,최원준,KIA,73,20,14,6,70.0,1,1
3,박찬호,KIA,68,21,13,8,61.9,2,1
4,이우성,KIA,72,7,6,1,85.7,5,0
5,소크라테스,KIA,76,5,4,1,80.0,5,1
6,김선빈,KIA,59,3,3,0,100,1,0
6,서건창,KIA,55,4,3,1,75.0,0,0
8,김호령,KIA,41,3,2,1,66.7,1,0
8,이창진,KIA,60,3,2,1,66.7,0,0
10,홍종표,KIA,44,3,1,2,33.3,0,0
11,고종욱,KIA,22,0,0,0,-,0,0
11,곽도규,KIA,1,0,0,0,-,0,0
11,김규성,KIA,6,0,0,0,-,0,0
11,김태군,KIA,55,0,0,0,-,1,0
11,나성범,KIA,45,0,0,0,-,0,0
11,박민,KIA,14,1,0,1,0.0,0,0
11,박정우,KIA,13,0,0,0,-,1,0
11,변우혁,KIA,15,0,0,0,-,0,0
11,전상현,KIA,1,0,0,0,-,0,0
11,정해영,KIA,1,0,0,0,-,0,0
11,최지민,KIA,1,0,0,0,-,0,0
11,최형우,KIA,70,1,0,1,0.0,1,0
11,한승택,KIA,4,0,0,0,-,0,0
11,한준수,KIA,59,0,0,0,-,1,0
11,황대인,KIA,3,0,0,0,-,0,0
