Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼
1,박찬호,23 SS,2.093,128,121,1042.2,523,206,303,14,97.3,4.39,10.28,,1.97,-0.75,,,,,11.50,12.74,10.12,21.62,1.113,2.093
2,김호령,23 CF,1.152,68,22,288.1,98,97,0,1,99.0,3.03,12.23,-0.22,-0.11,,,,,,11.90,22.55,0.00,11.90,1.152,1.152
3,김도영,23 3B,1.120,81,81,695.1,219,68,140,11,95.0,2.69,10.19,,0.30,0.89,0.19,,,,11.56,19.82,0.00,11.56,1.120,1.120
4,소크라테스,23 CF,0.697,113,106,827.1,253,249,2,2,99.2,2.73,7.14,-0.07,0.13,,,,,,7.20,7.30,0.00,7.20,0.697,0.697
5,김태군,23 C,0.686,63,52,438.0,374,334,36,4,98.9,7.60,0.09,,-0.81,,0.07,1.16,-2.38,4.34,2.48,3.13,4.61,7.09,0.240,0.686
6,김규성,23 SS,0.578,33,20,187.1,110,45,63,2,98.2,5.19,3.77,,-0.37,1.22,,,,,4.63,6.73,1.34,5.97,0.448,0.578
7,한준수,23 C,0.526,45,22,208.2,166,151,15,0,100.0,7.16,-0.10,,0.56,,-0.19,0.71,1.69,0.67,3.32,9.97,2.11,5.44,0.322,0.526
8,신범수,23 C,0.198,35,26,238.0,201,191,10,0,100.0,7.60,0.58,,0.63,,0.41,-1.02,-0.37,-0.52,-0.29,-1.14,2.33,2.04,-0.028,0.198
9,이우성,23 RF,0.181,69,54,429.2,106,102,4,0,100.0,2.22,3.03,0.02,0.84,,,,,,3.90,4.46,-2.03,1.87,0.377,0.181
10,김선우,23 C,0.143,5,1,21.0,19,18,1,0,100.0,8.14,0.00,,0.06,,,0.19,1.03,0.04,1.31,37.64,0.17,1.47,0.127,0.143
Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼
11,최정용,23 3B,0.124,9,3,38.0,22,8,14,0,100.0,5.21,1.17,,0.12,-0.44,0.42,,,,1.28,3.28,0.00,1.28,0.124,0.124
12,이창진,23 RF,0.115,16,13,96.1,21,18,3,0,100.0,1.96,0.92,0.60,0.19,,,,,,1.71,2.36,-0.52,1.19,0.165,0.115
13,박정우,23 RF,0.114,13,1,28.1,6,6,0,0,100.0,1.91,0.57,0.61,0.06,,,,,,1.24,8.47,-0.06,1.18,0.120,0.114
14,최원준,23 RF,0.065,7,5,43.0,8,8,0,0,100.0,1.67,0.81,0.00,0.08,,,,,,0.90,1.93,-0.23,0.67,0.087,0.065
15,주효상,23 C,0.063,18,11,90.0,95,88,7,0,100.0,9.50,0.18,,0.24,,0.21,-0.20,-0.76,0.17,-0.16,-1.24,0.82,0.65,-0.016,0.063
16,최정용,23 2B,0.061,37,4,85.1,48,13,34,1,97.9,4.96,0.37,,-0.19,0.22,,,,,0.40,1.03,0.23,0.63,0.039,0.061
17,홍종표,23 2B,0.058,13,1,25.0,9,2,7,0,100.0,3.24,0.43,,0.09,,,,,,0.52,1.85,0.08,0.60,0.050,0.058
18,이창진,23 3B,0.033,1,0,3.0,1,0,1,0,100.0,3.00,0.33,,0.01,,,,,,0.34,0.47,0.00,0.34,0.033,0.033
19,최원준,23 CF,0.031,21,13,125.0,47,46,0,1,97.9,3.31,1.34,-0.69,-0.33,,,,,,0.32,0.69,0.00,0.32,0.031,0.031
20,김규성,23 1B,0.023,17,5,61.2,65,62,3,0,100.0,9.49,0.49,,0.14,,0.05,,,,0.68,0.99,-0.44,0.24,0.066,0.023
Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼
21,김선빈,23 2B,0.013,114,111,895.1,457,180,270,7,98.5,4.52,-5.42,,1.23,-0.33,,,,,-4.52,-5.47,4.65,0.13,-0.438,0.013
22,한승택,23 C,0.004,48,32,273.1,243,223,18,2,99.2,7.94,-1.00,,0.23,,0.08,-0.83,0.79,-1.68,-2.41,-7.07,2.45,0.04,-0.233,0.004
23,황대인,23 1B,0.001,54,50,389.1,391,355,33,3,99.2,8.97,4.11,,-0.10,,-0.37,,,,3.63,8.72,-3.62,0.01,0.352,0.001
24,최원준,23 LF,-0.005,3,3,22.0,6,6,0,0,100.0,2.45,-0.36,0.40,0.04,,,,,,0.09,0.18,-0.14,-0.05,0.008,-0.005
25,김석환,23 LF,-0.024,5,1,17.1,2,2,0,0,100.0,1.04,-0.06,-0.17,0.03,,,,,,-0.20,-2.38,-0.05,-0.25,-0.019,-0.024
26,류지혁,23 1B,-0.039,5,2,18.0,13,13,0,0,100.0,6.50,-0.22,,0.04,,,,,,-0.18,-0.19,-0.22,-0.40,-0.017,-0.039
