순위,선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
1,문상철,KT,1.0,1,1,0,0,0,0,0,0,0,0,1번
1,안치영,KT,1.0,1,1,0,0,0,0,0,0,0,0,1번
1,조용호,KT,1.0,1,1,0,0,0,1,1,0,0,0,1번
4,신본기,KT,0.5,2,1,0,0,0,0,0,0,1,0,1번
5,로하스,KT,0.343,134,46,9,0,9,32,13,3,26,1,1번
6,오윤석,KT,0.333,3,1,0,0,0,1,1,0,2,0,1번
7,김민혁,KT,0.3,10,3,0,0,0,2,2,0,1,0,1번
8,배정대,KT,0.273,66,18,3,0,1,9,4,0,21,0,1번
9,천성호,KT,0.272,114,31,5,3,1,12,8,0,17,4,1번
10,김병준,KT,0.0,1,0,0,0,0,0,0,0,0,0,1번
10,송민섭,KT,0.0,1,0,0,0,0,0,0,0,0,0,1번
10,이호연,KT,0.0,3,0,0,0,0,0,1,0,2,0,1번
1,안현민,KT,1.0,1,1,0,0,1,1,0,0,0,0,2번
1,장성우,KT,1.0,2,2,1,0,0,1,0,0,0,0,2번
3,문상철,KT,0.5,2,1,0,0,0,0,0,0,0,0,2번
3,오윤석,KT,0.5,4,2,1,0,0,2,0,0,1,0,2번
3,정준영,KT,0.5,6,3,0,0,0,0,0,0,2,0,2번
6,배정대,KT,0.37,27,10,1,1,1,2,4,0,3,0,2번
7,강백호,KT,0.352,88,31,6,0,5,19,7,0,11,1,2번
8,천성호,KT,0.317,63,20,2,0,0,2,4,1,12,0,2번
9,황재균,KT,0.303,33,10,1,0,1,4,6,0,6,0,2번
10,로하스,KT,0.28,25,7,1,0,1,5,7,1,8,1,2번
11,김민혁,KT,0.175,57,10,1,0,0,5,5,1,6,4,2번
12,김상수,KT,0.0,4,0,0,0,0,0,1,0,1,0,2번
12,박경수,KT,0.0,1,0,0,0,0,0,0,0,1,0,2번
12,오재일,KT,0.0,1,0,0,0,0,0,0,0,0,0,2번
12,조용호,KT,0.0,7,0,0,0,0,0,0,0,2,0,2번
12,홍현빈,KT,0.0,1,0,0,0,0,0,0,0,0,0,2번
1,박경수,KT,1.000,1,1,0,0,0,0,0,0,0,0,3번
1,안치영,KT,1.000,1,1,0,0,0,1,0,0,0,0,3번
3,김민혁,KT,0.667,3,2,0,0,0,0,0,0,0,0,3번
4,강백호,KT,0.299,147,44,9,0,10,26,18,0,32,2,3번
5,로하스,KT,0.294,126,37,11,0,8,23,25,1,28,3,3번
6,문상철,KT,0.200,20,4,0,0,2,2,2,0,5,2,3번
7,강현우,KT,0.000,3,0,0,0,0,0,0,0,2,0,3번
7,김준태,KT,0.000,2,0,0,0,0,0,0,0,1,0,3번
7,장성우,KT,0.000,1,0,0,0,0,0,1,0,0,0,3번
7,정준영,KT,0.000,1,0,0,0,0,0,0,0,1,0,3번
7,조대현,KT,-,0,0,0,0,0,1,1,0,0,0,3번
1,김민혁,KT,1.000,2,2,1,0,0,5,0,0,0,0,4번
1,박경수,KT,1.000,1,1,1,0,0,1,0,0,0,0,4번
3,문상철,KT,0.280,118,33,2,0,5,17,15,4,35,1,4번
4,강백호,KT,0.273,33,9,1,0,2,8,1,1,10,0,4번
5,장성우,KT,0.270,63,17,4,0,3,15,14,0,14,2,4번
6,로하스,KT,0.267,15,4,0,0,2,3,4,0,7,0,4번
7,안현민,KT,0.250,4,1,0,0,0,0,0,0,2,0,4번
7,오재일,KT,0.250,24,6,2,0,0,4,1,0,8,3,4번
9,김준태,KT,0.000,1,0,0,0,0,0,1,0,0,0,4번
9,오윤석,KT,0.000,2,0,0,0,0,1,0,0,0,0,4번
9,이호연,KT,0.000,1,0,0,0,0,0,0,0,0,0,4번
9,장준원,KT,0.000,1,0,0,0,0,0,0,0,0,0,4번
9,조대현,KT,-,0,0,0,0,0,0,2,0,0,0,4번
9,홍현빈,KT,-,0,0,0,0,0,0,0,0,0,0,4번
1,신본기,KT,0.5,2,1,0,0,0,0,1,0,1,0,5번
1,조대현,KT,0.5,2,1,0,0,0,0,0,0,1,0,5번
3,장성우,KT,0.37,92,34,4,0,3,15,16,0,14,1,5번
4,김민혁,KT,0.367,30,11,2,0,0,5,7,0,5,1,5번
5,강현우,KT,0.333,3,1,0,0,0,0,1,0,1,0,5번
6,강백호,KT,0.286,35,10,1,0,1,6,2,0,8,0,5번
7,김준태,KT,0.25,4,1,0,0,0,1,2,0,0,0,5번
8,문상철,KT,0.243,37,9,1,0,3,8,6,0,9,1,5번
9,황재균,KT,0.214,14,3,0,0,0,2,0,0,2,1,5번
10,오재일,KT,0.176,34,6,2,0,1,3,7,0,7,0,5번
11,배정대,KT,0.167,6,1,0,0,0,0,2,1,2,0,5번
12,안치영,KT,0.0,1,0,0,0,0,0,1,0,0,0,5번
12,안현민,KT,0.0,4,0,0,0,0,0,0,0,3,0,5번
12,이호연,KT,0.0,1,0,0,0,0,0,0,0,0,0,5번
12,조용호,KT,0.0,4,0,0,0,0,0,0,0,1,1,5번
12,천성호,KT,0.0,3,0,0,0,0,0,2,0,2,0,5번
1,김상수,KT,1.0,1,1,0,0,0,0,2,0,0,0,6번
2,배정대,KT,0.5,14,7,1,0,1,5,3,0,5,0,6번
3,안현민,KT,0.4,5,2,0,1,0,1,1,0,0,0,6번
4,김민혁,KT,0.346,26,9,0,0,0,2,3,0,2,1,6번
5,문상철,KT,0.333,6,2,0,0,0,1,1,1,1,1,6번
6,황재균,KT,0.24,146,35,3,0,2,11,14,1,33,3,6번
7,조용호,KT,0.231,13,3,0,0,0,1,0,0,1,1,6번
8,오재일,KT,0.176,34,6,3,1,1,4,4,0,11,1,6번
9,천성호,KT,0.154,13,2,1,0,0,0,0,0,2,1,6번
10,장성우,KT,0.125,8,1,0,0,1,5,1,0,2,0,6번
11,이호연,KT,0.083,12,1,1,0,0,0,0,0,3,0,6번
12,김준태,KT,0.0,1,0,0,0,0,0,0,0,0,0,6번
12,안치영,KT,0.0,1,0,0,0,0,0,0,0,1,0,6번
12,오윤석,KT,0.0,7,0,0,0,0,0,0,0,3,0,6번
12,윤준혁,KT,0.0,2,0,0,0,0,0,0,0,1,0,6번
12,홍현빈,KT,0.0,2,0,0,0,0,0,0,0,0,0,6번
1,김준태,KT,0.75,4,3,1,0,0,2,1,0,0,0,7번
2,문상철,KT,0.4,10,4,0,0,1,3,1,0,2,0,7번
3,이호연,KT,0.364,11,4,0,0,0,0,0,0,3,2,7번
4,강현우,KT,0.333,3,1,1,0,0,1,2,0,1,0,7번
4,김민혁,KT,0.333,15,5,1,0,0,0,0,0,5,0,7번
6,조용호,KT,0.318,44,14,1,0,0,3,4,0,10,1,7번
7,안치영,KT,0.3,10,3,0,0,0,1,0,0,3,0,7번
8,김상수,KT,0.286,7,2,1,0,0,1,0,0,3,0,7번
8,오재일,KT,0.286,14,4,1,0,1,2,0,0,6,2,7번
10,황재균,KT,0.267,60,16,6,0,1,5,2,0,9,1,7번
11,오윤석,KT,0.25,40,10,2,1,2,6,5,1,11,3,7번
12,배정대,KT,0.2,30,6,4,0,0,1,3,0,6,1,7번
13,신본기,KT,0.167,6,1,0,0,0,0,0,0,2,1,7번
14,장성우,KT,0.135,37,5,1,0,1,5,4,0,8,0,7번
15,강백호,KT,0.0,1,0,0,0,0,0,0,0,1,0,7번
15,김건형,KT,0.0,5,0,0,0,0,0,0,0,1,0,7번
15,김병준,KT,0.0,1,0,0,0,0,0,0,0,0,0,7번
15,정준영,KT,0.0,4,0,0,0,0,0,0,0,2,0,7번
1,천성호,KT,0.615,13,8,0,0,0,3,1,0,3,0,8번
2,오재일,KT,0.4,10,4,1,0,2,3,2,0,4,0,8번
3,김민혁,KT,0.385,13,5,0,0,0,2,2,0,1,0,8번
4,배정대,KT,0.333,24,8,3,0,0,5,3,0,4,1,8번
5,신본기,KT,0.261,23,6,0,0,1,4,3,1,4,1,8번
6,문상철,KT,0.25,8,2,1,0,0,1,2,0,3,1,8번
6,안현민,KT,0.25,4,1,0,0,0,0,0,1,1,0,8번
8,조용호,KT,0.217,60,13,3,0,0,5,6,0,10,1,8번
9,오윤석,KT,0.211,19,4,0,0,0,2,5,0,5,2,8번
10,김병준,KT,0.2,5,1,0,0,0,0,2,0,1,0,8번
11,김건형,KT,0.188,16,3,1,0,0,1,1,0,7,0,8번
12,김상수,KT,0.182,11,2,0,0,0,0,2,1,0,0,8번
13,안치영,KT,0.174,23,4,0,0,0,1,1,0,6,0,8번
14,김준태,KT,0.167,12,2,1,0,0,0,1,0,5,0,8번
14,장준원,KT,0.167,6,1,0,0,0,0,1,0,3,0,8번
16,윤준혁,KT,0.0,2,0,0,0,0,0,0,0,2,0,8번
16,이호연,KT,0.0,3,0,0,0,0,0,0,0,0,0,8번
16,장성우,KT,0.0,5,0,0,0,0,0,1,0,2,0,8번
16,정준영,KT,0.0,8,0,0,0,0,0,3,0,1,0,8번
16,홍현빈,KT,0.0,2,0,0,0,0,0,1,0,2,0,8번
16,황재균,KT,0.0,1,0,0,0,0,0,0,0,0,0,8번
1,강백호,KT,1.0,1,1,0,0,0,1,0,0,0,0,9번
2,배정대,KT,0.667,3,2,0,0,0,1,1,0,0,0,9번
3,김병준,KT,0.5,4,2,0,0,0,0,0,0,1,0,9번
3,조대현,KT,0.5,4,2,0,0,0,0,0,0,1,0,9번
5,천성호,KT,0.333,3,1,0,0,0,0,1,0,1,0,9번
6,신본기,KT,0.313,48,15,3,0,2,11,11,2,10,1,9번
7,안치영,KT,0.286,7,2,0,0,0,0,0,0,2,0,9번
7,조용호,KT,0.286,7,2,0,0,0,1,0,0,0,1,9번
9,홍현빈,KT,0.25,4,1,0,0,0,0,0,0,1,0,9번
10,김상수,KT,0.248,157,39,8,1,3,21,12,2,21,7,9번
11,김민혁,KT,0.167,6,1,0,0,0,0,0,0,2,0,9번
