순위,선수명,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
1,황재균,KT,3루수,72,66,564 1/3,5,0,45,107,11,0.968,0,0,0,-
2,장성우,KT,포수,61,57,449 1/3,1,0,406,34,3,0.998,1,44,13,22.8
3,김상수,KT,유격수,58,55,440,7,0,101,116,25,0.969,0,0,0,-
4,천성호,KT,2루수,55,49,403 1/3,4,0,73,116,27,0.979,0,0,0,-
5,로하스,KT,좌익수,48,41,358,0,0,96,0,0,1.0,0,0,0,-
6,배정대,KT,중견수,45,43,374,3,0,111,1,1,0.974,0,0,0,-
6,조용호,KT,우익수,45,29,271,1,0,52,0,0,0.981,0,0,0,-
8,문상철,KT,1루수,44,42,333 2/3,3,0,301,29,32,0.991,0,0,0,-
9,신본기,KT,유격수,41,19,190 1/3,4,0,32,65,18,0.96,0,0,0,-
10,김민수,KT,투수,38,0,42 1/3,0,0,4,10,0,1.0,0,0,0,-
11,김민,KT,투수,31,1,35 2/3,0,0,2,3,0,1.0,0,0,0,-
11,박영현,KT,투수,31,0,36,0,0,2,2,0,1.0,0,0,0,-
13,로하스,KT,우익수,30,28,210 2/3,2,0,44,0,0,0.957,0,0,0,-
13,오윤석,KT,2루수,30,21,187,1,0,40,63,14,0.99,0,0,0,-
13,주권,KT,투수,30,1,39,1,0,3,11,2,0.933,0,0,0,-
16,손동현,KT,투수,29,0,32 1/3,2,0,2,3,0,0.714,0,0,0,-
17,김민혁,KT,좌익수,28,25,195 2/3,2,0,40,0,0,0.952,0,0,0,-
18,오재일,KT,1루수,25,22,188,1,0,162,14,17,0.994,0,0,0,-
19,박시영,KT,투수,20,0,19 1/3,0,0,1,3,0,1.0,0,0,0,-
19,우규민,KT,투수,20,0,19 2/3,1,0,1,2,0,0.75,0,0,0,-
21,강백호,KT,포수,18,14,113 2/3,2,1,98,14,0,0.982,3,26,7,21.2
21,김준태,KT,포수,18,3,57 1/3,0,1,39,2,1,1.0,0,6,0,0.0
21,신본기,KT,2루수,18,6,63 2/3,1,0,12,19,3,0.969,0,0,0,-
24,이상동,KT,투수,17,0,19,0,0,0,1,0,1.0,0,0,0,-
25,김병준,KT,중견수,16,3,41,0,0,13,2,0,1.0,0,0,0,-
25,성재헌,KT,투수,16,1,18 2/3,1,0,1,4,0,0.833,0,0,0,-
25,엄상백,KT,투수,16,16,86,3,0,2,5,0,0.7,0,0,0,-
25,쿠에바스,KT,투수,16,16,95 1/3,2,3,4,8,0,0.857,0,0,0,-
29,김민혁,KT,중견수,14,13,105 1/3,1,0,28,0,0,0.966,0,0,0,-
29,안치영,KT,중견수,14,12,91,0,0,22,0,0,1.0,0,0,0,-
31,안치영,KT,우익수,13,1,30,0,0,3,0,0,1.000,0,0,0,-
32,벤자민,KT,투수,12,12,65 2/3,1,0,2,7,0,0.900,0,0,0,-
32,육청명,KT,투수,12,9,41 2/3,3,1,1,7,0,0.727,0,0,0,-
34,원상현,KT,투수,11,10,43 2/3,1,0,2,5,0,0.875,0,0,0,-
34,조용호,KT,좌익수,11,5,52 2/3,0,0,8,1,0,1.000,0,0,0,-
36,이호연,KT,3루수,10,5,42,0,0,2,4,1,1.000,0,0,0,-
36,장준원,KT,유격수,10,2,32,0,0,7,6,0,1.000,0,0,0,-
38,김건형,KT,우익수,9,8,57,0,0,18,0,0,1.000,0,0,0,-
38,정준영,KT,우익수,9,5,43 1/3,0,0,11,0,0,1.000,0,0,0,-
38,한차현,KT,투수,9,5,18 2/3,0,0,1,1,0,1.000,0,0,0,-
41,문용익,KT,투수,8,0,9 2/3,0,0,0,2,1,1.000,0,0,0,-
41,안현민,KT,좌익수,8,5,40,0,0,8,1,0,1.000,0,0,0,-
41,조대현,KT,포수,8,1,24,0,0,22,0,0,1.000,0,0,0,-
44,오윤석,KT,3루수,7,1,22,0,0,0,2,0,1.000,0,0,0,-
44,이호연,KT,2루수,7,0,14,0,0,3,4,1,1.000,0,0,0,-
46,강현우,KT,포수,6,1,27,0,0,22,2,0,1.000,1,0,1,100
46,로하스,KT,중견수,6,2,27,0,0,11,1,0,1.000,0,0,0,-
46,이선우,KT,투수,6,1,10,0,0,2,0,0,1.000,0,0,0,-
46,이채호,KT,투수,6,0,3 2/3,0,0,0,0,0,-,0,0,0,-
46,조이현,KT,투수,6,0,6 1/3,0,0,1,0,0,1.000,0,0,0,-
46,홍현빈,KT,중견수,6,2,21,0,0,3,0,0,1.000,0,0,0,-
52,강백호,KT,우익수,5,3,24,2,0,2,0,0,0.500,0,0,0,-
52,김민혁,KT,우익수,5,2,16 1/3,0,0,0,0,0,-,0,0,0,-
54,강건,KT,투수,4,1,4,0,0,0,0,0,-,0,0,0,-
54,김병준,KT,우익수,4,0,8,0,0,3,0,0,1.000,0,0,0,-
54,김영현,KT,투수,4,0,4 1/3,1,0,0,1,0,0.500,0,0,0,-
54,전용주,KT,투수,4,0,1 2/3,0,0,0,0,0,-,0,0,0,-
54,정준영,KT,좌익수,4,0,6,0,0,0,0,0,-,0,0,0,-
54,홍현빈,KT,우익수,4,0,7,0,0,2,0,0,1.000,0,0,0,-
54,홍현빈,KT,좌익수,4,0,11,0,0,5,0,0,1.000,0,0,0,-
54,황재균,KT,유격수,4,0,5,0,0,1,2,1,1.000,0,0,0,-
62,고영표,KT,투수,3,3,15,0,0,1,1,0,1.000,0,0,0,-
62,김병준,KT,좌익수,3,0,4,0,0,1,0,0,1.000,0,0,0,-
62,박경수,KT,2루수,3,0,3 1/3,0,0,1,1,1,1.000,0,0,0,-
62,박세진,KT,투수,3,0,2 2/3,0,0,0,0,0,-,0,0,0,-
62,송민섭,KT,우익수,3,0,4,0,0,0,0,0,-,0,0,0,-
62,신본기,KT,3루수,3,0,5,0,0,0,1,0,1.000,0,0,0,-
62,안치영,KT,좌익수,3,0,4,0,0,1,0,0,1.000,0,0,0,-
62,오윤석,KT,1루수,3,0,4,0,0,5,0,2,1.000,0,0,0,-
62,장준원,KT,3루수,3,2,20,0,0,2,0,0,1.000,0,0,0,-
62,천성호,KT,3루수,3,0,11,0,0,1,4,0,1.000,0,0,0,-
72,박민석,KT,유격수,2,0,4,0,0,1,2,1,1.000,0,0,0,-
72,송민섭,KT,중견수,2,0,5,0,0,2,0,0,1.000,0,0,0,-
72,윤준혁,KT,3루수,2,1,7,0,0,1,0,0,1.000,0,0,0,-
72,정준영,KT,중견수,2,1,7,0,0,3,0,0,1.000,0,0,0,-
76,이호연,KT,1루수,1,0,2,0,0,4,0,1,1.000,0,0,0,-
76,하준호,KT,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
76,황재균,KT,1루수,1,0,1,0,0,2,0,0,1.000,0,0,0,-
