순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,박경수,KT,0.667,5,3,3,2,2,1,0,0,3,1,0,0,0,0,0,1,0,1.000,0.667,1.667,0,1.0,0.5
2,조대현,KT,0.500,8,10,6,0,3,0,0,0,3,1,1,0,3,0,0,2,0,0.500,0.667,1.167,1,0.0,0.0
3,로하스,KT,0.313,76,355,300,58,94,21,0,20,175,63,0,1,49,3,5,69,5,0.583,0.417,1.000,26,0.31,0.0
4,강백호,KT,0.311,76,336,305,55,95,17,0,18,166,60,0,2,28,3,1,62,3,0.544,0.369,0.913,30,0.273,0.5
5,배정대,KT,0.306,45,195,170,22,52,12,1,3,75,23,0,4,20,1,1,41,2,0.441,0.374,0.815,16,0.282,1.0
6,천성호,KT,0.297,59,228,209,38,62,8,3,1,79,17,1,1,16,0,1,37,5,0.378,0.348,0.726,17,0.367,0.0
7,김민혁,KT,0.296,58,184,162,12,48,5,0,0,53,21,1,1,19,1,1,22,6,0.327,0.372,0.699,14,0.348,0.308
7,신본기,KT,0.296,54,107,81,13,24,3,0,3,36,15,6,2,15,0,3,18,3,0.444,0.416,0.860,3,0.269,1.0
9,장성우,KT,0.281,70,249,210,24,59,10,0,8,93,41,0,2,37,0,0,41,3,0.443,0.386,0.829,17,0.323,0.25
10,안현민,KT,0.278,9,21,18,4,5,0,1,1,10,2,0,1,1,0,1,6,0,0.556,0.333,0.889,1,0.0,0.0
11,문상철,KT,0.275,67,238,204,30,56,4,0,11,93,32,0,2,27,1,5,56,6,0.456,0.370,0.826,14,0.25,0.333
12,김병준,KT,0.273,25,13,11,7,3,0,0,0,3,0,0,0,2,0,0,2,0,0.273,0.385,0.658,1,0.0,0.0
13,안치영,KT,0.250,31,48,44,12,11,0,0,0,11,3,2,0,2,0,0,12,0,0.250,0.283,0.533,2,0.182,0.0
13,황재균,KT,0.250,74,283,256,32,64,10,0,4,86,22,3,1,22,0,1,50,5,0.336,0.311,0.647,17,0.209,0.333
15,김상수,KT,0.244,58,207,180,30,44,9,1,3,64,22,6,1,17,0,3,25,7,0.356,0.318,0.674,9,0.292,0.0
16,조용호,KT,0.243,54,150,136,15,33,4,0,0,37,11,3,0,11,0,0,24,5,0.272,0.299,0.571,6,0.289,0.286
17,김준태,KT,0.240,23,30,25,6,6,2,0,0,8,3,0,0,5,0,0,6,0,0.320,0.367,0.687,0,0.333,0.0
18,강현우,KT,0.222,6,12,9,1,2,1,0,0,3,1,0,0,3,0,0,4,0,0.333,0.417,0.750,0,0.0,0.0
19,오윤석,KT,0.221,37,91,77,13,17,3,1,2,28,12,0,2,11,0,1,22,5,0.364,0.319,0.683,4,0.158,0.333
20,오재일,KT,0.218,45,136,119,12,26,9,1,5,52,16,0,3,14,0,0,38,6,0.437,0.294,0.731,5,0.167,0.308
21,이호연,KT,0.152,23,35,33,2,5,1,0,0,6,0,1,0,1,0,0,8,2,0.182,0.176,0.358,1,0.0,0.125
22,정준영,KT,0.150,14,24,20,3,3,0,0,0,3,0,1,0,3,0,0,7,0,0.150,0.261,0.411,1,0.0,0.0
23,김건형,KT,0.143,9,22,21,1,3,1,0,0,4,1,0,0,1,0,0,8,0,0.190,0.182,0.372,1,0.0,0.0
24,홍현빈,KT,0.111,13,11,9,1,1,0,0,0,1,0,1,0,1,0,0,3,0,0.111,0.200,0.311,0,0.0,0.0
25,장준원,KT,0.083,15,16,12,1,1,0,0,0,1,0,0,0,4,0,0,4,0,0.083,0.313,0.396,0,0.0,0.0
26,강건,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,김민,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,박민석,KT,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,박시영,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,박영현,KT,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,성재헌,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,손동현,KT,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,송민섭,KT,0.000,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
26,우규민,KT,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,윤준혁,KT,0.000,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.000,0.000,0.000,0,0.0,0.0
26,이선우,KT,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,주권,KT,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
