순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,박경수,KT,0.667,1,0,0,-,0,0.00,3.67,0.333,1.1,0.55
2,조대현,KT,0.500,0,0,1,0.00,0,1.50,4.00,0.000,2.3,0.425
3,로하스,KT,0.313,41,59,79,0.75,6,0.71,4.01,0.270,67.6,0.333
4,강백호,KT,0.311,35,78,72,1.08,4,0.45,3.96,0.233,58.1,0.302
5,배정대,KT,0.306,16,33,48,0.69,0,0.49,3.91,0.135,28.1,0.279
6,천성호,KT,0.297,12,73,38,1.92,2,0.43,3.60,0.081,27.4,0.251
7,김민혁,KT,0.296,5,63,30,2.10,1,0.86,3.62,0.031,19.9,0.249
7,신본기,KT,0.296,6,21,20,1.05,0,0.83,3.79,0.148,16.6,0.298
9,장성우,KT,0.281,18,48,64,0.75,6,0.90,4.16,0.162,38.2,0.284
10,안현민,KT,0.278,2,6,2,3.00,0,0.17,3.62,0.278,3.8,0.289
11,문상철,KT,0.275,15,39,55,0.71,1,0.48,4.07,0.181,35.0,0.281
12,김병준,KT,0.273,0,3,3,1.00,0,1.00,3.92,0.000,1.4,0.242
13,안치영,KT,0.250,0,10,11,0.91,0,0.17,4.13,0.000,2.9,0.19
13,황재균,KT,0.250,14,61,82,0.74,1,0.44,3.89,0.086,26.5,0.224
15,김상수,KT,0.244,13,46,66,0.70,1,0.68,3.81,0.111,19.8,0.232
16,조용호,KT,0.243,4,43,36,1.19,1,0.46,3.79,0.029,10.5,0.203
17,김준태,KT,0.240,2,6,7,0.86,0,0.83,3.80,0.080,3.4,0.245
18,강현우,KT,0.222,1,1,2,0.50,1,0.75,3.50,0.111,1.6,0.271
19,오윤석,KT,0.221,6,23,17,1.35,2,0.50,3.93,0.143,9.0,0.235
20,오재일,KT,0.218,15,21,37,0.57,1,0.37,3.78,0.218,15.2,0.242
21,이호연,KT,0.152,1,7,13,0.54,0,0.13,3.86,0.030,-0.2,0.125
22,정준영,KT,0.150,0,6,4,1.50,0,0.43,4.08,0.000,1.0,0.155
23,김건형,KT,0.143,1,6,4,1.50,0,0.13,4.14,0.048,0.4,0.129
24,홍현빈,KT,0.111,0,2,3,0.67,0,0.33,3.82,0.000,0.1,0.118
25,장준원,KT,0.083,0,3,4,0.75,0,1.00,4.63,0.000,0.8,0.162
26,강건,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
26,김민,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
26,박민석,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
26,박시영,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
26,박영현,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
26,성재헌,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
26,손동현,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
26,송민섭,KT,0.000,0,0,1,0.00,0,-,4.00,0.000,-0.4,0.0
26,우규민,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
26,윤준혁,KT,0.000,0,0,1,0.00,0,0.00,3.50,0.000,-0.4,0.0
26,이선우,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
26,주권,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
