순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,천성호,KT,59,7,7,0,100,2,1
2,배정대,KT,45,10,5,5,50.0,2,0
2,조용호,KT,54,6,5,1,83.3,1,1
4,강백호,KT,76,6,4,2,66.7,2,0
4,장성우,KT,70,4,4,0,100,2,0
4,황재균,KT,74,7,4,3,57.1,1,0
7,문상철,KT,67,4,3,1,75.0,0,1
8,김민혁,KT,58,2,2,0,100,1,0
8,김상수,KT,58,3,2,1,66.7,1,0
8,신본기,KT,54,2,2,0,100,0,0
11,강건,KT,1,0,0,0,-,0,0
11,강현우,KT,6,0,0,0,-,0,0
11,김건형,KT,9,0,0,0,-,0,0
11,김민,KT,1,0,0,0,-,0,0
11,김병준,KT,25,0,0,0,-,1,0
11,김준태,KT,23,0,0,0,-,0,0
11,로하스,KT,76,1,0,1,0.0,2,0
11,박경수,KT,5,0,0,0,-,0,0
11,박민석,KT,2,0,0,0,-,0,0
11,박시영,KT,1,0,0,0,-,0,0
11,박영현,KT,4,0,0,0,-,0,0
11,성재헌,KT,1,0,0,0,-,0,0
11,손동현,KT,2,0,0,0,-,0,0
11,송민섭,KT,5,1,0,1,0.0,0,0
11,안치영,KT,31,1,0,1,0.0,0,0
11,안현민,KT,9,0,0,0,-,0,0
11,오윤석,KT,37,0,0,0,-,0,0
11,오재일,KT,45,0,0,0,-,1,0
11,우규민,KT,2,0,0,0,-,0,0
11,윤준혁,KT,2,0,0,0,-,0,0
11,이선우,KT,3,0,0,0,-,0,0
11,이호연,KT,23,0,0,0,-,0,0
11,장준원,KT,15,0,0,0,-,0,0
11,정준영,KT,14,0,0,0,-,0,0
11,조대현,KT,8,0,0,0,-,0,0
11,주권,KT,2,0,0,0,-,0,0
11,홍현빈,KT,13,0,0,0,-,0,0
