순위,선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
1,박경수,KT,0.471,17,8,0,0,1,3,2,0,3,2,1번
2,오태곤,KT,0.308,13,4,1,0,1,3,1,0,2,0,1번
3,김민혁,KT,0.275,451,124,10,1,0,28,31,11,59,8,1번
4,조용호,KT,0.188,32,6,2,0,0,1,0,0,6,0,1번
5,배정대,KT,0.185,27,5,1,0,0,2,3,0,10,1,1번
6,김진곤,KT,0.182,22,4,1,0,0,2,1,0,7,1,1번
7,황재균,KT,0.174,23,4,0,0,1,1,2,0,5,0,1번
8,송민섭,KT,0.154,13,2,0,0,0,0,1,1,3,0,1번
8,심우준,KT,0.154,13,2,0,0,0,1,0,0,4,0,1번
10,고명성,KT,0.0,1,0,0,0,0,0,0,0,0,0,1번
10,문상철,KT,0.0,2,0,0,0,0,0,0,0,1,0,1번
10,윤석민,KT,0.0,2,0,0,0,0,0,1,0,0,0,1번
10,이대형,KT,0.0,2,0,0,0,0,0,0,0,1,0,1번
10,이해창,KT,0.0,1,0,0,0,0,0,0,0,0,0,1번
1,윤석민,KT,0.6,5,3,0,0,0,0,1,0,0,0,2번
2,강민국,KT,0.5,4,2,0,0,0,1,0,0,1,0,2번
3,고명성,KT,0.333,3,1,0,0,0,0,1,0,1,0,2번
4,조용호,KT,0.321,28,9,0,0,0,1,3,0,4,0,2번
5,황재균,KT,0.309,97,30,4,1,4,12,15,1,17,3,2번
6,오태곤,KT,0.277,260,72,15,1,5,27,21,2,54,3,2번
7,유한준,KT,0.275,40,11,2,0,0,5,6,1,8,0,2번
8,문상철,KT,0.269,26,7,1,0,2,5,0,1,7,1,2번
9,송민섭,KT,0.25,8,2,0,1,0,0,2,0,2,0,2번
10,박승욱,KT,0.216,74,16,1,2,1,7,5,0,20,3,2번
11,강백호,KT,0.2,5,1,0,0,0,0,0,0,1,0,2번
12,심우준,KT,0.167,6,1,0,0,0,0,0,0,1,0,2번
13,박경수,KT,0.125,24,3,0,0,1,2,3,0,9,0,2번
14,로하스,KT,0.111,9,1,0,0,1,3,0,0,5,0,2번
15,김영환,KT,0.0,2,0,0,0,0,0,0,0,0,0,2번
15,안치영,KT,0.0,1,0,0,0,0,0,0,0,0,0,2번
15,이대형,KT,0.0,3,0,0,0,0,2,2,0,1,0,2번
1,송민섭,KT,0.417,12,5,0,0,0,2,0,2,5,0,3번
2,강백호,KT,0.338,426,144,28,1,13,65,59,2,85,11,3번
3,황재균,KT,0.333,3,1,0,0,0,1,0,0,0,0,3번
4,조용호,KT,0.317,101,32,4,2,0,9,13,0,17,0,3번
5,유한준,KT,0.143,7,1,0,0,0,0,1,0,2,0,3번
6,로하스,KT,0.125,8,1,0,0,0,1,0,0,2,0,3번
7,문상철,KT,0.0,3,0,0,0,0,0,0,0,2,0,3번
7,박승욱,KT,0.0,2,0,0,0,0,0,0,0,0,0,3번
7,배정대,KT,0.0,3,0,0,0,0,0,1,0,2,0,3번
1,강민국,KT,1.0,1,1,0,0,0,0,1,0,0,0,4번
2,송민섭,KT,0.429,7,3,0,0,0,1,1,0,1,0,4번
3,황재균,KT,0.364,11,4,1,0,1,2,1,0,3,0,4번
4,김진곤,KT,0.333,3,1,0,0,0,1,0,0,1,0,4번
5,유한준,KT,0.328,293,96,7,1,12,54,34,3,31,12,4번
6,로하스,KT,0.303,218,66,12,0,8,35,23,1,54,3,4번
7,강백호,KT,0.286,7,2,1,0,0,0,2,0,1,0,4번
8,이대형,KT,0.167,6,1,1,0,0,1,1,0,2,0,4번
9,김병희,KT,0.0,1,0,0,0,0,0,0,0,1,0,4번
9,김영환,KT,0.0,1,0,0,0,0,0,0,0,1,0,4번
9,문상철,KT,0.0,7,0,0,0,0,0,1,0,5,0,4번
9,박경수,KT,0.0,1,0,0,0,0,0,2,0,0,0,4번
9,배정대,KT,0.0,1,0,0,0,0,0,0,1,1,0,4번
9,윤석민,KT,0.0,6,0,0,0,0,1,0,0,1,0,4번
9,조용호,KT,0.0,1,0,0,0,0,0,0,0,1,0,4번
1,김진곤,KT,1.0,1,1,1,0,0,2,0,0,0,0,5번
2,조용호,KT,0.667,3,2,0,0,0,1,0,0,0,0,5번
3,박승욱,KT,0.5,2,1,0,0,0,0,0,0,0,0,5번
4,배정대,KT,0.444,9,4,2,0,0,3,0,0,2,0,5번
5,윤석민,KT,0.357,28,10,1,0,0,4,2,0,4,0,5번
6,송민섭,KT,0.333,6,2,0,0,0,1,0,0,1,0,5번
6,오태곤,KT,0.333,3,1,0,0,0,1,1,0,1,0,5번
8,로하스,KT,0.332,259,86,17,3,12,54,19,1,56,1,5번
9,유한준,KT,0.302,126,38,5,0,1,20,9,0,15,7,5번
10,황재균,KT,0.292,24,7,0,0,1,4,3,0,2,2,5번
11,박경수,KT,0.23,87,20,5,0,1,16,14,0,25,5,5번
12,강민국,KT,0.0,1,0,0,0,0,0,2,0,0,0,5번
12,고명성,KT,0.0,2,0,0,0,0,0,0,0,1,0,5번
12,김영환,KT,0.0,3,0,0,0,0,0,0,0,1,0,5번
12,문상철,KT,0.0,5,0,0,0,0,1,0,0,4,0,5번
12,심우준,KT,0.0,1,0,0,0,0,0,0,0,0,0,5번
12,장성우,KT,0.0,1,0,0,0,0,0,0,0,0,0,5번
1,로하스,KT,0.520,25,13,1,0,3,11,7,1,3,0,6번
2,강민국,KT,0.333,3,1,0,0,0,0,1,0,0,0,6번
2,문상철,KT,0.333,3,1,0,0,0,1,0,0,0,0,6번
2,심우준,KT,0.333,3,1,0,0,1,2,0,0,1,0,6번
2,조용호,KT,0.333,3,1,0,0,0,2,1,0,0,0,6번
6,황재균,KT,0.293,191,56,9,1,8,30,22,1,31,4,6번
7,박경수,KT,0.238,202,48,11,0,6,30,26,4,46,3,6번
8,장성우,KT,0.214,14,3,0,0,1,2,1,0,3,0,6번
9,박승욱,KT,0.211,19,4,1,1,0,0,1,0,4,0,6번
