순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,강백호,KT,0.336,116,505,438,72,147,29,1,13,217,65,0,4,61,4,2,87,11,0.495,0.416,0.911,42,0.284,1.0
2,로하스,KT,0.322,142,578,521,68,168,30,3,24,276,104,0,5,49,5,3,120,4,0.530,0.381,0.911,51,0.297,0.375
3,유한준,KT,0.317,139,562,501,61,159,19,1,14,222,86,0,5,52,1,4,61,20,0.443,0.383,0.826,44,0.373,0.25
4,송민섭,KT,0.302,105,64,53,24,16,0,1,0,18,4,1,1,6,0,3,13,0,0.340,0.397,0.737,2,0.308,0.0
5,조용호,KT,0.293,87,211,188,15,55,6,3,0,67,19,2,0,21,0,0,28,0,0.356,0.364,0.720,10,0.306,0.393
6,황재균,KT,0.283,124,507,448,78,127,16,3,20,209,67,0,5,52,2,2,71,10,0.467,0.357,0.824,32,0.262,0.0
7,김민혁,KT,0.281,127,521,466,68,131,10,1,0,143,32,5,5,32,0,13,61,8,0.307,0.341,0.648,36,0.257,0.4
8,심우준,KT,0.279,138,433,391,54,109,13,1,3,133,28,12,1,23,0,6,68,7,0.340,0.328,0.668,24,0.253,0.5
9,강민국,KT,0.273,58,94,88,12,24,0,1,0,26,7,0,0,6,0,0,17,2,0.295,0.319,0.614,5,0.259,0.0
10,김진곤,KT,0.267,19,34,30,4,8,2,0,0,10,6,2,0,2,0,0,8,1,0.333,0.313,0.646,1,0.625,0.286
11,장성우,KT,0.262,127,413,366,25,96,7,0,7,124,41,4,6,35,2,2,86,11,0.339,0.325,0.664,25,0.247,0.143
12,오태곤,KT,0.250,123,392,352,63,88,16,1,6,124,35,3,2,31,0,4,78,8,0.352,0.316,0.668,23,0.22,0.3
13,박경수,KT,0.247,137,490,421,43,104,24,0,10,158,65,4,6,55,1,4,102,14,0.375,0.335,0.710,24,0.281,0.154
14,박승욱,KT,0.233,101,245,223,24,52,3,4,3,72,15,6,0,14,0,2,50,5,0.323,0.285,0.608,8,0.178,0.143
15,윤석민,KT,0.231,63,178,169,4,39,4,0,2,49,17,0,2,7,0,0,24,4,0.290,0.258,0.548,7,0.216,0.167
16,배정대,KT,0.203,66,84,74,15,15,4,0,0,19,6,2,0,7,0,1,23,2,0.257,0.280,0.537,3,0.263,0.0
17,문상철,KT,0.200,33,68,60,8,12,1,0,2,19,7,0,2,4,0,2,26,1,0.317,0.265,0.582,2,0.176,0.111
18,이준수,KT,0.194,32,49,36,3,7,1,0,0,8,3,3,0,9,0,1,11,1,0.222,0.370,0.592,2,0.2,0.0
19,안치영,KT,0.167,5,7,6,1,1,0,0,0,1,0,0,0,0,0,1,2,0,0.167,0.286,0.453,0,0.0,0.0
20,김병희,KT,0.143,4,7,7,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0.143,0.143,0.286,0,0.0,0.0
20,이대형,KT,0.143,18,19,14,2,2,1,0,0,3,4,0,1,4,0,0,5,0,0.214,0.316,0.530,0,0.222,0.083
22,안승한,KT,0.136,36,47,44,4,6,1,0,0,7,5,1,0,1,0,1,13,1,0.159,0.174,0.333,0,0.111,0.0
23,고명성,KT,0.125,30,18,16,4,2,0,0,0,2,0,0,0,2,0,0,7,1,0.125,0.222,0.347,0,0.0,0.0
23,이해창,KT,0.125,30,43,40,0,5,0,0,0,5,0,0,0,2,0,1,11,0,0.125,0.186,0.311,0,0.077,0.167
25,김영환,KT,0.071,13,15,14,1,1,0,0,0,1,0,0,0,1,0,0,3,1,0.071,0.133,0.204,0,0.0,0.0
26,김재윤,KT,0.000,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
26,박민석,KT,0.000,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
26,손동현,KT,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,엄상백,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,이대은,KT,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,정성곤,KT,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,주권,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
26,하준호,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
