순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,문상준,KT,0.333,1,0,0,-,0,0.00,3.67,0.333,0.5,0.317
1,전진영,KT,0.333,0,0,2,0.00,0,-,3.67,0.000,0.3,0.233
3,조용호,KT,0.308,25,134,123,1.09,9,0.66,3.97,0.074,68.9,0.264
4,알포드,KT,0.286,34,45,71,0.63,9,0.37,4.06,0.223,52.4,0.29
5,김민혁,KT,0.284,12,121,87,1.39,5,0.60,3.68,0.038,41.2,0.238
6,박병호,KT,0.275,52,75,111,0.68,11,0.31,3.93,0.284,83.6,0.297
7,김준태,KT,0.273,21,46,48,0.96,0,0.43,4.21,0.130,34.8,0.263
8,배정대,KT,0.266,32,117,134,0.87,9,0.43,4.12,0.091,67.7,0.242
9,황재균,KT,0.262,38,132,154,0.86,4,0.54,3.82,0.118,63.2,0.246
10,장성우,KT,0.260,29,83,109,0.76,10,0.66,4.05,0.180,56.7,0.269
11,라모스,KT,0.250,5,17,20,0.85,1,0.22,3.74,0.167,9.6,0.241
12,장준원,KT,0.246,5,15,11,1.36,0,0.18,3.48,0.193,5.7,0.237
13,강백호,KT,0.245,18,66,71,0.93,4,0.52,4.11,0.127,27.4,0.233
14,심우준,KT,0.240,14,104,120,0.87,4,0.57,4.31,0.062,42.6,0.218
15,홍현빈,KT,0.237,2,24,8,3.00,1,0.38,4.22,0.026,8.0,0.212
16,오윤석,KT,0.234,19,73,83,0.88,7,0.49,3.84,0.108,34.5,0.231
17,문상철,KT,0.224,5,10,11,0.91,0,0.18,4.00,0.184,4.9,0.223
18,유준규,KT,0.214,0,2,3,0.67,0,0.17,3.63,0.000,0.8,0.174
19,김병희,KT,0.203,3,14,20,0.70,0,0.27,3.76,0.068,5.4,0.2
20,신본기,KT,0.182,4,40,32,1.25,1,0.36,3.80,0.050,5.9,0.172
21,송민섭,KT,0.156,3,20,15,1.33,0,0.26,3.75,0.078,2.5,0.156
22,이시원,KT,0.133,0,6,3,2.00,0,0.00,3.81,0.000,0.5,0.118
23,권동진,KT,0.132,2,13,4,3.25,0,0.06,3.83,0.079,1.3,0.122
24,박경수,KT,0.120,6,26,51,0.51,0,0.34,4.63,0.072,7.6,0.154
25,고명성,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
25,김재윤,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
25,김태훈,KT,0.000,0,3,5,0.60,0,0.00,3.90,0.000,-0.9,0.0
25,문상인,KT,0.000,0,1,0,-,0,0.00,3.67,0.000,-0.7,0.0
25,박영현,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
25,배제성,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
25,심재민,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
25,양승혁,KT,0.000,0,3,1,3.00,0,0.00,3.20,0.000,-0.6,0.0
25,이상우,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
25,이정현,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
25,조대현,KT,0.000,0,1,0,-,0,0.00,4.00,0.000,-0.4,0.0
25,주권,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
25,지명성,KT,-,0,0,0,-,0,-,-,-,0.0,0.0
