날짜,항목,팀,선수,비고
2020-10-18,부상자 명단,KT,이보근(투수),10일 / 10.25 1군 엔트리 등록
2020-10-15,부상자 명단,KT,장성우(포수),10일 / 10.17 1군 엔트리 등록
2020-10-13,부상자 명단,KT,이홍구(포수),10일 / 10.15 1군 엔트리 등록
2020-10-09,부상자 명단,KT,유한준(외야수),10일 / 10.11 1군 엔트리 등록
2020-10-08,부상자 명단,KT,박경수(내야수),10일
2020-09-27,부상자 명단,KT,김재윤(투수),10일
2020-09-20,부상자 명단,KT,이홍구(포수),10일
2020-09-16,부상자 명단,KT,이보근(투수),10일 / 9.19 1군 엔트리 등록
2020-09-01,부상자 명단,KT,조현우(투수),10일 / 9.6 1군 엔트리 등록
2020-08-15,부상자 명단,KT,박경수(내야수),10일 / 8.24 1군 엔트리 등록
2020-08-11,부상자 명단,KT,오태곤(내야수),10일 / 8.14 SK 1군 엔트리 등록
2020-08-06,부상자 명단,KT,김민혁(외야수),10일 / 8.11 1군 엔트리 등록
2020-07-25,부상자 명단,KT,김재윤(투수),10일 / 8.1 1군 엔트리 등록
2020-07-18,부상자 명단,KT,장성우(포수),10일 / 7.21 1군 엔트리 등록
2020-07-18,부상자 명단,KT,조용호(외야수),10일 / 7.21 1군 엔트리 등록
2020-07-14,부상자 명단,KT,오태곤(내야수),10일 / 7.18 1군 엔트리 등록
2020-06-24,부상자 명단,KT,박경수(내야수),10일 / 6.27 1군 엔트리 등록
2020-06-18,부상자 명단,KT,송민섭(외야수),10일
2020-06-14,부상자 명단,KT,강현우(포수),10일
2020-06-11,부상자 명단,KT,김민(투수),10일
2021-10-17,부상자 명단,KT,허도환(포수),15일
2021-09-16,부상자 명단,KT,유한준(외야수),10일
2021-09-14,부상자 명단,KT,박경수(내야수),15일 / 9.24 1군 엔트리 등록
2021-09-03,부상자 명단,KT,김병희(내야수),15일
2021-06-20,부상자 명단,KT,문상철(외야수),15일
2021-06-19,부상자 명단,KT,김병희(내야수),15일
2021-06-19,부상자 명단,KT,장성우(포수),10일
2021-06-17,부상자 명단,KT,유한준(외야수),10일
2021-05-27,부상자 명단,KT,김민혁(외야수),10일
2021-04-25,부상자 명단,KT,황재균(내야수),30일
2021-04-21,부상자 명단,KT,박경수(내야수),10일
2022-09-11,부상자 명단,KT,박병호(내야수),15일
2022-08-20,부상자 명단,KT,장성우(포수),10일
2022-08-10,부상자 명단,KT,문상철(외야수),10일
2022-08-09,부상자 명단,KT,소형준(투수),10일
2022-08-06,부상자 명단,KT,오윤석(내야수),10일
2022-08-04,부상자 명단,KT,김태오(투수),15일
2022-07-31,부상자 명단,KT,문상철(외야수),10일
2022-07-27,부상자 명단,KT,오윤석(내야수),10일
2022-07-22,부상자 명단,KT,배제성(투수),10일
2022-07-17,부상자 명단,KT,심우준(내야수),10일
2022-07-12,부상자 명단,KT,배제성(투수),10일
2022-07-02,부상자 명단,KT,강백호(내야수),30일
2022-06-30,부상자 명단,KT,배제성(투수),10일
2022-06-24,부상자 명단,KT,조용호(외야수),10일
2023-10-02,부상자 명단,KT,김민혁(외야수),10일
2023-09-22,부상자 명단,KT,김민혁(외야수),10일
2023-08-24,부상자 명단,KT,엄상백(투수),10일
2023-07-27,부상자 명단,KT,강백호(내야수),10일
2023-07-25,부상자 명단,KT,정준영(외야수),15일
2023-07-11,부상자 명단,KT,배제성(투수),10일
2023-07-11,부상자 명단,KT,이상호(내야수),10일
2023-07-10,부상자 명단,KT,엄상백(투수),10일
2023-06-22,부상자 명단,KT,이호연(내야수),10일
2023-06-19,부상자 명단,KT,강백호(내야수),10일
2023-06-09,부상자 명단,KT,강백호(내야수),10일
2023-06-02,부상자 명단,KT,조용호(외야수),15일
2023-05-24,부상자 명단,KT,김준태(포수),30일
2023-05-24,부상자 명단,KT,조현우(투수),15일
2023-05-18,부상자 명단,KT,조용호(외야수),15일
2023-05-09,부상자 명단,KT,황재균(내야수),10일
2023-05-06,부상자 명단,KT,김민혁(외야수),10일
2023-05-04,부상자 명단,KT,오윤석(내야수),10일
2023-04-30,부상자 명단,KT,박병호(내야수),10일
2023-04-19,부상자 명단,KT,소형준(투수),15일 / 5.3 1군 엔트리 등록
