순위,선수명,팀명,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP,Year,Position,Inning
1,이호연,KT,0.500,12,6,2,0,0,2,2,0,1,0,2023,내야수,1
2,강백호,KT,0.395,43,17,3,0,2,5,2,0,10,0,2023,내야수,1
3,김상수,KT,0.357,56,20,3,0,0,5,11,0,7,0,2023,내야수,1
4,박병호,KT,0.257,70,18,2,0,4,24,5,3,23,2,2023,내야수,1
5,박경수,KT,0.250,4,1,1,0,0,0,0,0,0,0,2023,내야수,1
5,오윤석,KT,0.250,4,1,1,0,0,2,0,0,0,0,2023,내야수,1
7,황재균,KT,0.230,61,14,3,0,0,4,4,0,11,1,2023,내야수,1
8,류현인,KT,0.000,1,0,0,0,0,0,0,0,0,0,2023,내야수,1
8,이상호,KT,0.000,2,0,0,0,0,0,0,0,0,0,2023,내야수,1
1,황재균,KT,0.343,35,12,3,0,1,5,3,1,9,1,2023,내야수,2
2,오윤석,KT,0.316,38,12,4,0,0,2,3,1,5,2,2023,내야수,2
3,이호연,KT,0.262,42,11,1,0,1,3,2,0,5,1,2023,내야수,2
4,박병호,KT,0.250,32,8,1,0,1,2,5,0,10,0,2023,내야수,2
4,이상호,KT,0.250,4,1,0,0,0,1,0,0,1,0,2023,내야수,2
6,강백호,KT,0.222,18,4,1,0,2,7,2,0,8,0,2023,내야수,2
6,박경수,KT,0.222,27,6,2,0,0,1,5,1,8,0,2023,내야수,2
8,장준원,KT,0.214,14,3,0,0,0,3,1,0,3,0,2023,내야수,2
9,김상수,KT,0.120,50,6,1,0,0,8,5,0,7,4,2023,내야수,2
10,신본기,KT,0.100,10,1,0,0,0,0,2,0,2,1,2023,내야수,2
11,강민성,KT,0.000,4,0,0,0,0,0,0,0,2,0,2023,내야수,2
11,류현인,KT,0.000,2,0,0,0,0,0,0,0,0,0,2023,내야수,2
11,박민석,KT,0.000,1,0,0,0,0,0,0,0,1,0,2023,내야수,2
11,손민석,KT,0.000,1,0,0,0,0,0,0,0,0,0,2023,내야수,2
1,신본기,KT,0.600,5,3,2,0,1,2,2,0,2,0,2023,내야수,3
2,황재균,KT,0.422,45,19,2,0,1,8,4,0,2,0,2023,내야수,3
3,박병호,KT,0.362,58,21,4,0,3,17,6,0,14,1,2023,내야수,3
4,강백호,KT,0.313,32,10,1,1,1,4,3,0,5,0,2023,내야수,3
5,박경수,KT,0.286,21,6,3,0,0,1,5,0,3,0,2023,내야수,3
6,이상호,KT,0.250,4,1,0,0,0,0,0,0,0,0,2023,내야수,3
7,장준원,KT,0.222,9,2,0,0,0,0,1,0,2,0,2023,내야수,3
8,김상수,KT,0.192,52,10,0,0,0,4,5,0,11,1,2023,내야수,3
9,오윤석,KT,0.133,15,2,0,0,0,0,1,0,3,0,2023,내야수,3
10,이호연,KT,0.100,20,2,0,0,0,0,0,1,6,2,2023,내야수,3
11,강민성,KT,0.000,4,0,0,0,0,0,0,0,2,0,2023,내야수,3
11,김병희,KT,0.000,1,0,0,0,0,0,0,0,1,0,2023,내야수,3
11,류현인,KT,0.000,3,0,0,0,0,0,0,0,0,0,2023,내야수,3
11,문상준,KT,0.000,1,0,0,0,0,0,0,0,1,0,2023,내야수,3
11,손민석,KT,0.000,2,0,0,0,0,0,0,0,1,0,2023,내야수,3
1,황재균,KT,0.423,52,22,8,0,0,4,3,0,7,2,2023,내야수,4
2,강백호,KT,0.318,22,7,2,0,1,6,4,0,4,0,2023,내야수,4
3,김상수,KT,0.308,52,16,2,0,1,7,5,0,8,0,2023,내야수,4
4,오윤석,KT,0.300,30,9,3,1,1,3,0,0,8,1,2023,내야수,4
5,박경수,KT,0.263,19,5,0,0,0,0,1,0,2,0,2023,내야수,4
6,이호연,KT,0.250,24,6,0,0,0,0,1,0,7,0,2023,내야수,4
7,박병호,KT,0.220,50,11,1,0,1,8,5,1,15,1,2023,내야수,4
8,신본기,KT,0.167,6,1,0,0,0,2,2,1,1,0,2023,내야수,4
9,장준원,KT,0.083,12,1,0,0,0,0,3,0,4,0,2023,내야수,4
10,김병희,KT,0.000,1,0,0,0,0,0,0,0,1,0,2023,내야수,4
10,류현인,KT,0.000,1,0,0,0,0,0,0,0,1,0,2023,내야수,4
10,박민석,KT,0.000,1,0,0,0,0,0,0,0,1,0,2023,내야수,4
10,손민석,KT,-,0,0,0,0,0,0,0,1,0,0,2023,내야수,4
10,이상호,KT,0.000,5,0,0,0,0,0,0,0,3,0,2023,내야수,4
1,박병호,KT,0.311,45,14,0,0,0,4,5,1,13,1,2023,내야수,5
2,김상수,KT,0.302,53,16,2,0,0,8,9,0,8,2,2023,내야수,5
3,이호연,KT,0.296,27,8,1,1,1,3,2,1,5,1,2023,내야수,5
