순위,선수명,팀명,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP,Year,Position,Situation
1,황재균,KT,0.296,230,68,9,1,9,30,18,0,29,4,2019,내야수,B
2,박경수,KT,0.285,193,55,13,0,4,30,30,1,44,2,2019,내야수,B
3,박승욱,KT,0.282,117,33,1,2,1,5,7,0,25,2,2019,내야수,B
3,심우준,KT,0.282,195,55,2,1,0,10,11,3,31,6,2019,내야수,B
5,윤석민,KT,0.243,70,17,2,0,0,5,2,0,9,2,2019,내야수,B
6,오태곤,KT,0.220,150,33,10,0,1,9,14,0,33,2,2019,내야수,B
7,강민국,KT,0.220,41,9,0,0,0,4,3,0,10,2,2019,내야수,B
8,문상철,KT,0.184,38,7,1,0,1,4,2,1,15,1,2019,내야수,B
9,김병희,KT,0.167,6,1,0,0,0,0,0,0,1,0,2019,내야수,B
10,김영환,KT,0.143,7,1,0,0,0,0,0,0,1,1,2019,내야수,B
11,고명성,KT,0.000,7,0,0,0,0,0,0,0,3,1,2019,내야수,B
11,박민석,KT,-,0,0,0,0,0,0,0,0,0,0,2019,내야수,B
11,안치영,KT,0.000,2,0,0,0,0,0,0,1,2,0,2019,내야수,B
1,강민국,KT,0.319,47,15,0,1,0,3,3,0,7,0,2019,내야수,T
2,심우준,KT,0.276,196,54,11,0,3,18,12,3,37,1,2019,내야수,T
3,오태곤,KT,0.272,202,55,6,1,5,26,17,4,45,6,2019,내야수,T
4,황재균,KT,0.271,218,59,7,2,11,37,34,2,42,6,2019,내야수,T
5,안치영,KT,0.250,4,1,0,0,0,0,0,0,0,0,2019,내야수,T
6,문상철,KT,0.227,22,5,0,0,1,3,2,1,11,0,2019,내야수,T
7,고명성,KT,0.222,9,2,0,0,0,0,2,0,4,0,2019,내야수,T
7,윤석민,KT,0.222,99,22,2,0,2,12,5,0,15,2,2019,내야수,T
9,박경수,KT,0.215,228,49,11,0,6,35,25,3,58,12,2019,내야수,T
10,박승욱,KT,0.179,106,19,2,2,2,10,7,2,25,3,2019,내야수,T
11,김병희,KT,0.000,1,0,0,0,0,0,0,0,1,0,2019,내야수,T
11,김영환,KT,0.000,7,0,0,0,0,0,1,0,2,0,2019,내야수,T
11,박민석,KT,0.000,1,0,0,0,0,0,0,0,0,0,2019,내야수,T
1,김진곤,KT,0.364,11,4,0,0,0,2,1,0,1,0,2019,외야수,B
2,유한준,KT,0.341,229,78,9,1,6,33,24,2,28,8,2019,외야수,B
3,조용호,KT,0.303,89,27,2,1,0,6,13,0,14,0,2019,외야수,B
4,강백호,KT,0.300,213,64,10,1,9,38,26,2,43,6,2019,외야수,B
5,로하스,KT,0.288,250,72,16,0,11,50,24,0,54,1,2019,외야수,B
6,김민혁,KT,0.260,231,60,7,1,0,18,11,7,32,2,2019,외야수,B
7,배정대,KT,0.167,30,5,1,0,0,1,1,1,10,2,2019,외야수,B
8,송민섭,KT,0.148,27,4,0,0,0,2,2,2,10,0,2019,외야수,B
9,이대형,KT,0.100,10,1,1,0,0,2,3,0,5,0,2019,외야수,B
1,송민섭,KT,0.462,26,12,0,1,0,2,4,1,3,0,2019,외야수,T
2,강백호,KT,0.369,225,83,19,0,4,27,35,0,44,5,2019,외야수,T
3,로하스,KT,0.354,271,96,14,3,13,54,25,3,66,3,2019,외야수,T
4,김민혁,KT,0.302,235,71,3,0,0,14,21,6,29,6,2019,외야수,T
5,유한준,KT,0.298,272,81,10,0,8,53,28,2,33,12,2019,외야수,T
6,조용호,KT,0.283,99,28,4,2,0,13,8,0,14,0,2019,외야수,T
7,이대형,KT,0.250,4,1,0,0,0,2,1,0,0,0,2019,외야수,T
8,배정대,KT,0.227,44,10,3,0,0,5,6,0,13,0,2019,외야수,T
9,김진곤,KT,0.211,19,4,2,0,0,4,1,0,7,1,2019,외야수,T
1,장성우,KT,0.285,179,51,3,0,3,26,14,1,44,6,2019,포수,B
2,이해창,KT,0.067,15,1,0,0,0,0,2,1,6,0,2019,포수,B
3,안승한,KT,0.063,16,1,0,0,0,1,0,1,5,0,2019,포수,B
4,이준수,KT,0.050,20,1,0,0,0,1,6,1,7,0,2019,포수,B
1,이준수,KT,0.375,16,6,1,0,0,2,3,0,4,1,2019,포수,T
2,장성우,KT,0.241,187,45,4,0,4,15,21,1,42,5,2019,포수,T
3,안승한,KT,0.179,28,5,1,0,0,4,1,0,8,1,2019,포수,T
4,이해창,KT,0.160,25,4,0,0,0,0,0,0,5,0,2019,포수,T
1,황재균,KT,0.325,271,88,23,2,11,52,23,2,48,9,2020,내야수,B
2,박승욱,KT,0.317,41,13,1,1,0,6,4,1,12,1,2020,내야수,B
3,천성호,KT,0.310,29,9,3,0,0,1,4,0,5,0,2020,내야수,B
4,박경수,KT,0.281,171,48,11,0,6,29,25,2,50,8,2020,내야수,B
5,심우준,KT,0.258,240,62,7,1,3,31,21,1,35,3,2020,내야수,B
6,김병희,KT,0.250,8,2,0,0,1,2,0,0,4,0,2020,내야수,B
7,문상철,KT,0.237,93,22,3,0,2,9,5,1,28,4,2020,내야수,B
8,강민국,KT,0.222,45,10,0,0,0,6,3,0,9,0,2020,내야수,B
9,김태훈,KT,0.000,3,0,0,0,0,0,0,0,1,0,2020,내야수,B
9,정주후,KT,-,0,0,0,0,0,0,0,0,0,0,2020,내야수,B
1,황재균,KT,0.300,270,81,12,3,10,45,24,3,50,3,2020,내야수,T
2,문상철,KT,0.295,61,18,0,2,6,16,6,1,15,0,2020,내야수,T
3,박경수,KT,0.281,153,43,6,0,7,30,23,7,46,6,2020,내야수,T
4,박승욱,KT,0.232,69,16,2,1,1,4,7,3,25,0,2020,내야수,T
5,강민국,KT,0.226,62,14,3,0,0,3,4,0,11,0,2020,내야수,T
6,심우준,KT,0.212,236,50,9,2,0,20,16,1,63,4,2020,내야수,T
7,천성호,KT,0.125,40,5,0,0,0,0,3,1,10,0,2020,내야수,T
8,김병희,KT,0.077,13,1,0,0,0,0,0,0,3,0,2020,내야수,T
9,정주후,KT,0.000,1,0,0,0,0,0,1,0,0,0,2020,내야수,T
1,로하스,KT,0.392,260,102,18,1,26,69,35,2,55,8,2020,외야수,B
2,배정대,KT,0.350,263,92,15,3,9,43,34,1,62,3,2020,외야수,B
3,강백호,KT,0.324,247,80,15,1,11,41,33,2,47,6,2020,외야수,B
4,유한준,KT,0.322,174,56,9,0,4,31,21,0,19,4,2020,외야수,B
5,조용호,KT,0.305,200,61,10,0,0,16,32,1,40,2,2020,외야수,B
6,김민혁,KT,0.232,112,26,4,1,1,16,13,1,18,2,2020,외야수,B
7,송민섭,KT,0.227,22,5,1,0,1,3,0,0,8,0,2020,외야수,B
8,박준혁,KT,0.000,1,0,0,0,0,0,0,0,1,0,2020,외야수,B
8,홍현빈,KT,0.000,5,0,0,0,0,0,2,0,2,0,2020,외야수,B
1,강백호,KT,0.336,253,85,21,0,12,48,33,3,46,1,2020,외야수,T
2,로하스,KT,0.310,290,90,21,0,21,66,30,3,77,3,2020,외야수,T
3,조용호,KT,0.287,209,60,5,0,0,16,32,1,43,4,2020,외야수,T
