순위,선수명,팀명,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG,Year,Situation
1,강백호,KT,0,0,0,0,1,0,0,0,0,0.000,2019,B
2,이선우,KT,1,0,0,1,1,0,2,0,0,0.200,2019,B
2,이종혁,KT,1,0,0,0,0,0,2,0,0,0.111,2019,B
2,조한욱,KT,1,0,0,0,0,0,0,0,0,0.250,2019,B
5,전용주,KT,2,0,0,0,4,0,0,1,0,0.400,2019,B
6,조현우,KT,4,1,0,0,3,1,6,2,0,0.235,2019,B
6,하준호,KT,4,0,0,1,4,0,9,0,0,0.174,2019,B
8,김태오,KT,6,0,0,0,3,0,0,0,1,0.400,2019,B
8,이상동,KT,6,1,0,1,2,1,0,0,0,0.286,2019,B
10,이정현,KT,7,3,0,2,7,0,8,0,0,0.219,2019,B
10,조근종,KT,7,1,0,1,2,2,3,0,0,0.318,2019,B
12,김대유,KT,15,3,0,1,6,1,11,0,0,0.278,2019,B
12,엄상백,KT,15,2,0,1,8,0,5,0,0,0.357,2019,B
14,김재윤,KT,16,2,0,1,5,1,24,1,0,0.178,2019,B
15,손동현,KT,26,3,0,1,20,0,21,0,1,0.234,2019,B
15,정성곤,KT,26,6,0,3,7,1,17,1,0,0.252,2019,B
17,이대은,KT,37,5,0,4,19,1,34,2,0,0.234,2019,B
18,전유수,KT,38,10,0,0,7,1,25,1,0,0.290,2019,B
19,금민철,KT,40,5,1,1,11,7,18,4,0,0.290,2019,B
19,주권,KT,40,8,0,3,7,1,23,0,0,0.263,2019,B
21,김민수,KT,48,7,2,5,13,1,30,2,0,0.271,2019,B
22,배제성,KT,60,6,2,1,24,1,34,4,0,0.296,2019,B
23,김민,KT,64,9,1,2,31,2,43,1,1,0.260,2019,B
24,알칸타라,KT,88,20,2,4,17,4,40,2,1,0.279,2019,B
25,쿠에바스,KT,95,12,1,10,27,6,74,2,0,0.239,2019,B
1,이선우,KT,0,0,0,0,0,0,0,0,0,0.000,2019,T
1,최건,KT,0,0,0,0,2,0,0,0,0,0.000,2019,T
1,하준호,KT,0,0,0,0,0,0,2,1,0,0.000,2019,T
4,김태오,KT,1,0,0,0,0,1,0,0,0,1.000,2019,T
5,조현우,KT,2,1,0,0,2,0,3,0,0,0.167,2019,T
6,조한욱,KT,3,0,0,0,1,0,0,0,0,0.429,2019,T
7,이상동,KT,4,3,0,1,0,0,0,0,0,0.800,2019,T
7,전용주,KT,4,1,0,1,2,0,1,0,0,0.500,2019,T
9,이정현,KT,5,1,0,1,1,0,1,0,0,0.357,2019,T
9,이종혁,KT,5,1,1,0,3,1,2,0,0,0.417,2019,T
11,김대유,KT,6,3,0,0,6,3,12,0,0,0.150,2019,T
12,류희운,KT,8,2,0,0,2,0,1,2,0,0.571,2019,T
12,조근종,KT,8,1,0,0,3,0,3,0,0,0.348,2019,T
14,김재윤,KT,11,1,0,3,7,0,18,0,0,0.157,2019,T
15,주권,KT,24,7,0,4,7,1,24,1,0,0.195,2019,T
16,손동현,KT,25,4,0,1,11,0,8,0,0,0.357,2019,T
