선수명,포지션,수비 승리 기여도,년도,순위,팀명,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
박해민,중견수,2.029,2023,1,LG,142,136,1187 2/3,3,0,338,2,1,0.991,0,0,0,-
오지환,유격수,1.47,2023,4,LG,125,115,1010 2/3,14,0,176,275,64,0.97,0,0,0,-
홍창기,좌익수,0.661,2023,27,LG,27,27,228,0,0,64,0,0,1.000,0,0,0,-
김민성,3루수,0.588,2023,27,LG,27,14,135,1,0,14,27,4,0.976,0,0,0,-
김민성,2루수,0.572,2023,16,LG,45,37,280,1,0,68,79,17,0.993,0,0,0,-
문성주,좌익수,0.478,2023,8,LG,85,63,602 2/3,1,0,162,1,0,0.994,0,0,0,-
홍창기,우익수,0.407,2023,6,LG,104,97,841 2/3,2,0,198,7,3,0.99,0,0,0,-
신민재,2루수,0.341,2023,7,LG,89,76,689 1/3,9,0,162,231,57,0.978,0,0,0,-
문성주,우익수,0.188,2023,14,LG,56,43,386 2/3,2,0,97,4,0,0.981,0,0,0,-
손호영,2루수,0.142,2023,50,LG,7,2,29,0,0,5,10,1,1.000,0,0,0,-
김현수,1루수,0.117,2023,44,LG,10,10,68 1/3,2,0,53,11,5,0.970,0,0,0,-
최승민,중견수,0.074,2023,41,LG,12,1,35,0,0,13,0,0,1.000,0,0,0,-
신민재,중견수,0.069,2023,50,LG,7,0,10,0,0,3,0,0,1.000,0,0,0,-
최승민,우익수,0.059,2023,73,LG,1,0,1,0,0,1,0,0,1.000,0,0,0,-
안익훈,좌익수,0.039,2023,56,LG,5,1,19 2/3,0,0,5,0,0,1.000,0,0,0,-
안익훈,중견수,0.027,2023,73,LG,1,1,6,0,0,1,0,0,1.000,0,0,0,-
신민재,좌익수,0.018,2023,44,LG,10,0,19 2/3,0,0,4,0,0,1.000,0,0,0,-
신민재,3루수,0.001,2023,73,LG,1,0,2,0,0,0,0,0,-,0,0,0,-
김민성,유격수,-0.002,2023,34,LG,21,18,145,4,0,34,40,9,0.949,0,0,0,-
이재원,우익수,-0.002,2023,68,LG,2,1,4 2/3,0,0,0,0,0,-,0,0,0,-
전준호,포수,-0.011,2023,68,LG,2,0,3,0,0,4,0,0,1.000,0,1,0,0.0
송찬의,1루수,-0.013,2023,56,LG,5,3,20,0,0,16,1,1,1.000,0,0,0,-
이천웅,좌익수,-0.017,2023,68,LG,2,0,2,0,0,0,0,0,-,0,0,0,-
이재원,1루수,-0.023,2023,63,LG,4,2,20,1,0,14,2,1,0.941,0,0,0,-
신민재,우익수,-0.042,2023,54,LG,6,0,11,0,0,2,0,0,1.000,0,0,0,-
송대현,유격수,-0.072,2023,66,LG,3,0,6,1,0,1,1,0,0.667,0,0,0,-
손호영,3루수,-0.075,2023,68,LG,2,1,5,1,0,1,2,0,0.750,0,0,0,-
홍창기,중견수,-0.08,2023,41,LG,12,6,53 2/3,0,0,14,0,0,1.000,0,0,0,-
안익훈,우익수,-0.082,2023,47,LG,8,2,30 1/3,0,0,7,0,0,1.000,0,0,0,-
최승민,좌익수,-0.103,2023,47,LG,8,0,16 1/3,0,0,2,0,0,1.000,0,0,0,-
오스틴,우익수,-0.109,2023,68,LG,2,1,9,0,0,2,0,0,1.000,0,0,0,-
송찬의,2루수,-0.121,2023,73,LG,1,0,1,1,0,0,0,0,0.000,0,0,0,-
정주현,유격수,-0.137,2023,43,LG,11,4,47,1,0,10,9,1,0.950,0,0,0,-
손호영,유격수,-0.148,2023,40,LG,13,7,66 2/3,4,0,19,18,8,0.902,0,0,0,-
김주성,유격수,-0.15,2023,50,LG,7,0,18,2,0,2,3,0,0.714,0,0,0,-
이재원,좌익수,-0.212,2023,23,LG,36,25,180 1/3,1,0,50,2,0,0.981,0,0,0,-
김민성,1루수,-0.235,2023,27,LG,27,10,105 2/3,2,0,85,10,9,0.979,0,0,0,-
김범석,1루수,-0.239,2023,56,LG,5,5,43,2,0,38,5,6,0.956,0,0,0,-
정주현,2루수,-0.243,2023,37,LG,18,4,57,4,0,12,16,6,0.875,0,0,0,-
정주현,1루수,-0.281,2023,15,LG,47,1,100,1,0,86,10,12,0.99,0,0,0,-
박동원,포수,-0.296,2023,2,LG,128,112,982,8,4,751,72,9,0.99,8,83,19,18.6
허도환,포수,-0.335,2023,16,LG,45,21,212,0,0,168,8,2,1.0,0,20,3,13.0
서건창,2루수,-0.337,2023,24,LG,35,25,237,9,0,53,61,14,0.927,0,0,0,-
문보경,3루수,-0.42,2023,2,LG,128,126,1090 2/3,20,0,104,183,24,0.935,0,0,0,-
김현수,좌익수,-0.446,2023,27,LG,27,26,204 2/3,0,0,45,1,0,1.0,0,0,0,-
정주현,3루수,-0.46,2023,39,LG,16,3,58 2/3,4,0,5,12,2,0.810,0,0,0,-
오스틴,1루수,-0.577,2023,5,LG,114,113,930 1/3,14,0,832,72,88,0.985,0,0,0,-
김기연,포수,-0.627,2023,27,LG,27,11,96 1/3,4,0,85,7,1,0.958,2,11,3,21.4
손호영,1루수,,2023,56,LG,5,0,6,0,0,4,0,1,1.000,0,0,0,-
김주성,3루수,,2023,73,LG,1,0,2,0,0,0,0,0,-,0,0,0,-
문성주,중견수,,2023,73,LG,1,0,1,0,0,1,0,0,1.000,0,0,0,-
