순위,선수명,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
1,박해민,LG,중견수,78,68,605,1,0,149,1,0,0.993,0,0,0,-
2,신민재,LG,2루수,75,67,582,7,0,143,177,45,0.979,0,0,0,-
3,문보경,LG,3루수,73,71,565,7,0,55,99,12,0.957,0,0,0,-
4,오스틴,LG,1루수,68,68,558,6,0,456,51,55,0.988,0,0,0,-
5,홍창기,LG,우익수,67,61,534,5,0,133,1,0,0.964,0,0,0,-
6,박동원,LG,포수,63,54,471 1/3,4,2,405,44,5,0.991,5,48,14,22.6
7,문성주,LG,좌익수,59,48,428,0,0,112,4,2,1.000,0,0,0,-
8,오지환,LG,유격수,54,46,417,6,0,68,114,22,0.968,0,0,0,-
9,구본혁,LG,유격수,37,31,251,3,0,41,67,16,0.973,0,0,0,-
9,김진성,LG,투수,37,0,37,0,0,2,1,0,1.000,0,0,0,-
11,허도환,LG,포수,36,19,171 1/3,2,0,150,3,0,0.987,2,25,0,0.0
12,김유영,LG,투수,34,2,33 2/3,2,0,0,5,0,0.714,0,0,0,-
12,유영찬,LG,투수,34,0,35 1/3,0,0,3,2,0,1.000,0,0,0,-
14,이우찬,LG,투수,33,1,27 1/3,2,0,1,5,0,0.750,0,0,0,-
15,김대현,LG,투수,31,0,31,0,0,0,1,0,1.000,0,0,0,-
16,구본혁,LG,3루수,29,7,103,0,0,10,25,2,1.000,0,0,0,-
17,김현수,LG,좌익수,28,28,194,0,0,40,0,0,1.000,0,0,0,-
18,문보경,LG,1루수,26,0,55,2,0,43,5,3,0.960,0,0,0,-
18,박명근,LG,투수,26,0,21 1/3,0,0,0,1,0,1.000,0,0,0,-
20,문성주,LG,우익수,24,16,132,1,0,31,1,0,0.970,0,0,0,-
21,구본혁,LG,2루수,19,11,104,1,0,22,34,6,0.982,0,0,0,-
21,최동환,LG,투수,19,0,18,0,0,4,3,0,1.000,0,0,0,-
23,이지강,LG,투수,18,0,22,0,0,2,2,0,1.000,0,0,0,-
24,백승현,LG,투수,17,0,13 1/3,0,0,0,3,0,1.000,0,0,0,-
25,엔스,LG,투수,16,16,85 1/3,3,0,4,7,0,0.786,0,0,0,-
26,손주영,LG,투수,15,15,75,2,0,4,9,0,0.867,0,0,0,-
26,켈리,LG,투수,15,15,87 2/3,2,1,7,9,1,0.889,0,0,0,-
28,우강훈,LG,투수,13,0,10 2/3,0,0,0,0,0,-,0,0,0,-
28,임찬규,LG,투수,13,12,64 2/3,0,0,2,6,1,1.000,0,0,0,-
30,최원태,LG,투수,12,12,66 1/3,2,0,8,6,2,0.875,0,0,0,-
31,김범석,LG,포수,11,5,43 1/3,0,0,42,4,1,1.000,1,3,1,25.0
31,김범석,LG,1루수,11,9,67,0,0,63,4,3,1.000,0,0,0,-
31,홍창기,LG,중견수,11,9,60,0,0,13,0,0,1.000,0,0,0,-
34,이종준,LG,투수,10,0,9 1/3,0,0,0,1,0,1.000,0,0,0,-
34,최승민,LG,좌익수,10,0,18,0,0,9,1,0,1.000,0,0,0,-
36,정지헌,LG,투수,9,0,7 1/3,0,0,0,0,0,-,0,0,0,-
37,정우영,LG,투수,8,0,7 2/3,0,0,0,2,0,1.000,0,0,0,-
38,안익훈,LG,좌익수,7,1,24,0,0,7,0,0,1.000,0,0,0,-
38,윤호솔,LG,투수,7,0,4,0,0,0,0,0,-,0,0,0,-
40,최원영,LG,좌익수,6,0,15,0,0,3,0,0,1.000,0,0,0,-
41,김현수,LG,1루수,5,0,8,0,0,7,0,1,1.000,0,0,0,-
42,김주성,LG,3루수,4,0,7,0,0,0,2,0,1.000,0,0,0,-
42,김주성,LG,유격수,4,1,12,0,0,2,1,0,1.000,0,0,0,-
42,김진수,LG,투수,4,0,8 1/3,0,0,0,1,1,1.000,0,0,0,-
42,김현종,LG,중견수,4,0,9,0,0,3,0,0,1.000,0,0,0,-
42,김현종,LG,좌익수,4,0,5,0,0,0,0,0,-,0,0,0,-
42,최원영,LG,우익수,4,0,9,0,0,1,0,0,1.000,0,0,0,-
48,김민수,LG,유격수,3,0,11,1,0,6,6,5,0.923,0,0,0,-
48,전준호,LG,포수,3,0,5,0,0,4,1,0,1.000,0,0,0,-
48,진우영,LG,투수,3,0,4 2/3,0,0,0,0,0,-,0,0,0,-
48,최원영,LG,중견수,3,0,6,0,0,4,0,0,1.000,0,0,0,-
52,김민수,LG,3루수,2,0,5,0,0,1,4,0,1.000,0,0,0,-
52,김주온,LG,투수,2,0,4 2/3,0,0,1,1,0,1.000,0,0,0,-
52,김태우,LG,2루수,2,0,4,1,0,1,3,2,0.800,0,0,0,-
52,성동현,LG,투수,2,0,2,0,0,0,0,0,-,0,0,0,-
52,안익훈,LG,중견수,2,1,9,0,0,2,0,0,1.000,0,0,0,-
52,안익훈,LG,우익수,2,1,10,0,0,3,0,0,1.000,0,0,0,-
52,이상영,LG,투수,2,2,7 2/3,0,0,0,2,0,1.000,0,0,0,-
59,강효종,LG,투수,1,1,1 1/3,0,0,0,0,0,-,0,0,0,-
59,김대원,LG,2루수,1,0,1,0,0,1,1,1,1.000,0,0,0,-
59,김민수,LG,1루수,1,1,2,0,0,1,0,0,1.000,0,0,0,-
59,김성진,LG,1루수,1,0,1,0,0,0,0,0,-,0,0,0,-
59,김영준,LG,투수,1,0,3,0,0,1,0,0,1.000,0,0,0,-
59,김윤식,LG,투수,1,1,3,0,0,0,0,0,-,0,0,0,-
59,김태우,LG,3루수,1,0,2,0,0,0,0,0,-,0,0,0,-
59,김현종,LG,우익수,1,0,3,0,0,0,0,0,-,0,0,0,-
59,문성주,LG,중견수,1,0,2,0,0,1,0,0,1.000,0,0,0,-
59,이믿음,LG,투수,1,1,4,0,0,1,0,0,1.000,0,0,0,-
59,최명경,LG,3루수,1,0,6,0,0,1,1,0,1.000,0,0,0,-
59,최승민,LG,우익수,1,0,2,0,0,0,0,0,-,0,0,0,-
59,함창건,LG,좌익수,1,1,7,0,0,1,0,0,1.000,0,0,0,-
59,함창건,LG,우익수,1,0,1,0,0,0,0,0,-,0,0,0,-
