순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,이천웅,LG,1.000,0,0,0,-,1,-,2.33,0.000,1.5,0.7
2,홍창기,LG,0.332,38,158,115,1.37,5,1.06,4.14,0.080,98.6,0.303
3,안익훈,LG,0.318,1,9,4,2.25,0,0.00,3.09,0.045,2.7,0.248
4,오스틴,LG,0.313,56,107,182,0.59,15,0.71,3.78,0.204,96.6,0.298
5,문보경,LG,0.301,44,125,124,1.01,11,0.70,3.87,0.147,78.1,0.282
6,문성주,LG,0.294,27,168,119,1.41,5,1.97,3.79,0.078,69.2,0.269
7,김현수,LG,0.293,30,148,152,0.97,10,1.09,3.85,0.090,70.6,0.26
8,박해민,LG,0.285,22,124,150,0.83,3,0.61,3.90,0.074,62.9,0.246
9,신민재,LG,0.277,7,116,56,2.07,2,0.85,3.87,0.032,33.5,0.232
10,정주현,LG,0.273,3,25,24,1.04,2,0.56,3.90,0.057,9.2,0.234
11,오지환,LG,0.268,35,108,123,0.88,11,0.78,4.03,0.128,67.7,0.266
12,박동원,LG,0.249,38,118,107,1.10,8,0.54,3.83,0.193,64.9,0.261
13,김민성,LG,0.249,19,72,77,0.94,5,0.43,3.99,0.128,34.5,0.241
14,이재원,LG,0.214,9,20,31,0.65,1,0.30,3.88,0.152,14.0,0.224
15,손호영,LG,0.205,1,14,9,1.56,1,0.08,3.98,0.068,0.7,0.168
16,김주성,LG,0.200,0,1,1,1.00,0,0.50,3.57,0.000,0.8,0.243
16,서건창,LG,0.200,7,36,41,0.88,0,0.71,3.77,0.082,7.5,0.188
18,허도환,LG,0.141,5,18,18,1.00,2,0.15,3.78,0.141,4.5,0.18
19,김기연,LG,0.118,0,7,13,0.54,0,0.50,3.83,0.000,1.1,0.133
20,김범석,LG,0.111,2,12,8,1.50,0,0.20,4.41,0.148,0.8,0.127
21,최승민,LG,0.071,0,5,4,1.25,0,0.25,3.87,0.000,-0.3,0.078
22,송찬의,LG,0.056,1,5,6,0.83,0,0.67,3.82,0.056,0.7,0.13
23,고우석,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
23,김대현,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
23,박명근,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
23,송대현,LG,0.000,0,0,1,0.00,0,0.00,4.67,0.000,-0.3,0.0
23,오석주,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
23,이정용,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
23,전준호,LG,0.000,0,1,0,-,0,-,5.00,0.000,-0.1,0.0
23,최동환,LG,-,0,0,0,-,0,-,-,-,0.0,0.0
