순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,홍창기,LG,144,31,23,8,74.2,5,3
2,서건창,LG,144,16,12,4,75.0,3,0
2,오지환,LG,134,18,12,6,66.7,6,2
4,김용의,LG,102,6,6,0,100,2,1
4,이영빈,LG,72,9,6,3,66.7,2,0
6,이재원,LG,62,6,5,1,83.3,5,0
7,채은성,LG,110,6,4,2,66.7,2,3
8,김민성,LG,121,6,3,3,50.0,3,1
8,김현수,LG,140,3,3,0,100,5,1
8,문보경,LG,107,4,3,1,75.0,1,0
8,이천웅,LG,68,5,3,2,60.0,0,0
8,이형종,LG,90,4,3,1,75.0,2,0
8,정주현,LG,73,6,3,3,50.0,1,0
14,신민재,LG,32,3,2,1,66.7,1,1
14,유강남,LG,130,2,2,0,100,2,2
14,이상호,LG,45,3,2,1,66.7,0,0
14,이주형,LG,14,3,2,1,66.7,0,0
14,한석현,LG,16,2,2,0,100,1,0
19,김재성,LG,58,1,1,0,100,0,0
19,문성주,LG,31,2,1,1,50.0,1,1
21,고우석,LG,5,0,0,0,-,0,0
21,구본혁,LG,123,0,0,0,-,0,0
21,김주성,LG,3,0,0,0,-,0,0
21,김지용,LG,1,0,0,0,-,0,0
21,김진수,LG,1,0,0,0,-,0,0
21,김호은,LG,7,0,0,0,-,0,0
21,라모스,LG,51,0,0,0,-,2,0
21,류원석,LG,1,0,0,0,-,0,0
21,보어,LG,32,0,0,0,-,0,0
21,손호영,LG,8,0,0,0,-,0,0
21,안익훈,LG,48,0,0,0,-,0,0
21,이상규,LG,3,0,0,0,-,0,0
21,이상영,LG,3,0,0,0,-,0,0
21,이성우,LG,36,0,0,0,-,1,0
21,이우찬,LG,1,0,0,0,-,0,0
21,이정용,LG,1,0,0,0,-,0,0
21,이찬혁,LG,1,0,0,0,-,0,0
21,장준원,LG,5,0,0,0,-,0,0
21,진해수,LG,2,0,0,0,-,0,0
21,채원후,LG,4,0,0,0,-,0,0
21,최민창,LG,3,0,0,0,-,0,0
21,최성훈,LG,5,0,0,0,-,0,0
