¼øÀ§,¼±¼ö¸í,ÆÀ¸í,Å¸À²,Å¸¼ö,¾ÈÅ¸,2·çÅ¸,3·çÅ¸,È¨·±,Å¸Á¡,º¼³Ý,»ç±¸,»ïÁø,º´»ìÅ¸,Å¸¼ø
1,³ëÁøÇõ,·Ôµ¥,1.0,1,1,0,0,0,0,0,0,0,0,1¹ø
2,±è¹Î¼ö,·Ôµ¥,0.5,2,1,0,0,0,0,0,0,0,0,1¹ø
2,ÀåµÎ¼º,·Ôµ¥,0.5,2,1,0,0,0,1,0,0,0,0,1¹ø
4,À±µ¿Èñ,·Ôµ¥,0.274,124,34,8,0,0,11,8,0,18,3,1¹ø
5,¾È±Ç¼ö,·Ôµ¥,0.262,191,50,2,1,2,20,23,1,28,2,1¹ø
6,±è¹Î¼®,·Ôµ¥,0.229,131,30,7,0,1,10,8,1,44,3,1¹ø
7,È²¼ººó,·Ôµ¥,0.2,70,14,1,1,0,3,5,1,14,0,1¹ø
8,°í½Â¹Î,·Ôµ¥,0.196,51,10,2,0,1,3,9,0,13,0,1¹ø
9,Á¤ÈÆ,·Ôµ¥,0.091,11,1,1,0,0,0,2,0,3,0,1¹ø
10,±èµ¿Çõ,·Ôµ¥,0.0,2,0,0,0,0,0,1,0,1,0,1¹ø
10,¹Ú½Â¿í,·Ôµ¥,0.0,1,0,0,0,0,0,0,0,0,0,1¹ø
10,½ÅÀ±ÈÄ,·Ôµ¥,0.0,2,0,0,0,0,0,0,0,2,0,1¹ø
10,ÀüÁØ¿ì,·Ôµ¥,0.0,2,0,0,0,0,1,0,0,0,0,1¹ø
10,Á¤´ë¼±,·Ôµ¥,0.0,8,0,0,0,0,0,0,0,2,0,1¹ø
1,±è¹Î¼ö,·Ôµ¥,1.0,1,1,1,0,0,0,1,0,0,0,2¹ø
1,¼­µ¿¿í,·Ôµ¥,1.0,1,1,0,0,0,0,1,0,0,0,2¹ø
3,³ëÁøÇõ,·Ôµ¥,0.4,5,2,1,0,0,2,1,0,2,0,2¹ø
4,ÀüÁØ¿ì,·Ôµ¥,0.386,44,17,2,0,2,7,4,1,5,0,2¹ø
5,Á¤ÈÆ,·Ôµ¥,0.37,27,10,3,0,0,5,1,0,7,1,2¹ø
6,À±µ¿Èñ,·Ôµ¥,0.346,78,27,2,0,0,7,8,0,14,1,2¹ø
7,¾ÈÄ¡È«,·Ôµ¥,0.322,59,19,4,0,2,8,9,0,5,2,2¹ø
8,ÀÌÁ¤ÈÆ,·Ôµ¥,0.294,34,10,2,0,0,2,5,1,10,0,2¹ø
9,·º½º,·Ôµ¥,0.25,8,2,0,0,0,1,2,0,2,0,2¹ø
9,À¯°­³²,·Ôµ¥,0.25,4,1,0,0,0,1,1,0,0,2,2¹ø
11,È²¼ººó,·Ôµ¥,0.243,37,9,2,1,0,3,1,0,6,0,2¹ø
12,¹Ú½Â¿í,·Ôµ¥,0.225,40,9,1,0,0,4,5,0,14,0,2¹ø
13,ÇÑµ¿Èñ,·Ôµ¥,0.219,32,7,0,0,1,3,4,0,5,0,2¹ø
14,¾È±Ç¼ö,·Ôµ¥,0.214,42,9,2,0,0,4,3,0,6,1,2¹ø
15,±è¹Î¼®,·Ôµ¥,0.212,66,14,3,0,0,5,3,1,15,1,2¹ø
16,¹è¿µºó,·Ôµ¥,0.2,5,1,0,0,0,0,0,0,1,0,2¹ø
17,°í½Â¹Î,·Ôµ¥,0.173,52,9,1,1,0,7,4,1,16,1,2¹ø
18,±¸µå·³,·Ôµ¥,0.159,44,7,3,0,0,2,7,0,14,2,2¹ø
19,±¹ÇØ¼º,·Ôµ¥,0.0,1,0,0,0,0,0,0,0,0,0,2¹ø
19,½ÅÀ±ÈÄ,·Ôµ¥,0.0,3,0,0,0,0,1,0,0,0,0,2¹ø
19,ÀÌÇÐÁÖ,·Ôµ¥,0.0,2,0,0,0,0,1,1,0,0,1,2¹ø
19,Á¤´ë¼±,·Ôµ¥,0.0,2,0,0,0,0,0,0,0,0,0,2¹ø
19,Á¤º¸±Ù,·Ôµ¥,0.0,1,0,0,0,0,0,1,0,0,0,2¹ø
19,Áö½Ã¿Ï,·Ôµ¥,0.0,1,0,0,0,0,0,0,0,1,0,2¹ø
1,±¹ÇØ¼º,·Ôµ¥,1.0,1,1,0,0,0,0,0,0,0,0,3¹ø
1,¼Õ¼ººó,·Ôµ¥,1.0,1,1,0,0,0,2,0,0,0,0,3¹ø
3,¹Ú½Â¿í,·Ôµ¥,0.4,5,2,0,1,0,0,0,0,3,0,3¹ø
4,±¸µå·³,·Ôµ¥,0.367,30,11,2,0,0,9,1,0,6,0,3¹ø
5,Á¤ÈÆ,·Ôµ¥,0.364,55,20,3,0,4,11,7,0,8,3,3¹ø
6,±è¹Î¼®,·Ôµ¥,0.333,3,1,0,0,1,1,2,0,1,0,3¹ø
7,ÀüÁØ¿ì,·Ôµ¥,0.287,87,25,4,2,2,13,11,2,12,2,3¹ø
8,À¯°­³²,·Ôµ¥,0.278,18,5,1,0,0,2,2,0,6,1,3¹ø
9,ÀÌÁ¤ÈÆ,·Ôµ¥,0.271,59,16,1,0,0,9,6,0,9,1,3¹ø
10,¾ÈÄ¡È«,·Ôµ¥,0.252,131,33,5,0,2,15,16,5,21,5,3¹ø
11,°í½Â¹Î,·Ôµ¥,0.25,40,10,4,0,0,2,12,0,11,0,3¹ø
12,·º½º,·Ôµ¥,0.218,87,19,2,2,0,11,13,1,23,2,3¹ø
13,ÇÑµ¿Èñ,·Ôµ¥,0.211,19,4,0,0,1,1,2,0,5,0,3¹ø
14,À±µ¿Èñ,·Ôµ¥,0.063,16,1,0,0,0,0,2,0,4,1,3¹ø
15,±èµ¿Çõ,·Ôµ¥,0.0,1,0,0,0,0,0,0,0,0,0,3¹ø
15,±è¹Î¼ö,·Ôµ¥,0.0,1,0,0,0,0,0,0,0,0,1,3¹ø
15,ÀÌÇÐÁÖ,·Ôµ¥,0.0,2,0,0,0,0,0,1,0,1,0,3¹ø
15,Á¤´ë¼±,·Ôµ¥,0.0,3,0,0,0,0,0,1,0,2,0,3¹ø
15,È²¼ººó,·Ôµ¥,0.0,1,0,0,0,0,0,0,0,0,0,3¹ø
1,¹Ú½Â¿í,·Ôµ¥,1.0,3,3,1,0,0,2,0,0,0,0,4¹ø
2,±¸µå·³,·Ôµ¥,0.5,8,4,0,0,0,4,2,0,1,1,4¹ø
3,¾È±Ç¼ö,·Ôµ¥,0.4,5,2,0,0,0,0,0,0,2,0,4¹ø
4,°í½Â¹Î,·Ôµ¥,0.333,9,3,0,0,0,0,2,0,3,0,4¹ø
5,ÀüÁØ¿ì,·Ôµ¥,0.332,271,90,13,1,11,46,29,4,36,9,4¹ø
6,¾ÈÄ¡È«,·Ôµ¥,0.327,110,36,3,0,0,20,13,3,13,3,4¹ø
7,·º½º,·Ôµ¥,0.273,99,27,2,0,4,16,13,0,28,0,4¹ø
8,À±µ¿Èñ,·Ôµ¥,0.25,12,3,0,0,1,4,0,0,3,0,4¹ø
8,È²¼ººó,·Ôµ¥,0.25,4,1,0,0,0,0,0,0,1,0,4¹ø
10,ÀÌÁ¤ÈÆ,·Ôµ¥,0.125,8,1,0,0,0,0,1,1,4,0,4¹ø
11,ÇÑµ¿Èñ,·Ôµ¥,0.067,15,1,1,0,0,1,0,0,3,0,4¹ø
12,±èµ¿Çõ,·Ôµ¥,0.0,1,0,0,0,0,0,0,0,0,0,4¹ø
12,±è¹Î¼®,·Ôµ¥,0.0,1,0,0,0,0,0,0,0,1,0,4¹ø
12,½ÅÀ±ÈÄ,·Ôµ¥,0.0,1,0,0,0,0,0,0,0,1,0,4¹ø
12,ÀÌÇÐÁÖ,·Ôµ¥,0.0,2,0,0,0,0,0,0,0,1,0,4¹ø
12,Á¤ÈÆ,·Ôµ¥,0.0,11,0,0,0,0,0,0,0,1,0,4¹ø
1,À±¼ö³ç,·Ôµ¥,1.000,1,1,0,0,0,1,0,0,0,0,5¹ø
2,±¸µå·³,·Ôµ¥,0.389,18,7,2,0,0,3,4,1,5,1,5¹ø
3,¹Ú½Â¿í,·Ôµ¥,0.333,3,1,0,0,0,0,0,0,1,0,5¹ø
3,¾È±Ç¼ö,·Ôµ¥,0.333,3,1,1,0,0,1,1,0,0,0,5¹ø
5,¾ÈÄ¡È«,·Ôµ¥,0.307,101,31,6,0,4,16,10,2,9,4,5¹ø
6,ÀÌÁ¤ÈÆ,·Ôµ¥,0.286,28,8,2,0,0,3,1,1,2,0,5¹ø
7,·º½º,·Ôµ¥,0.250,8,2,0,0,0,2,0,0,1,1,5¹ø
8,³ëÁøÇõ,·Ôµ¥,0.238,21,5,3,0,0,4,4,0,5,0,5¹ø
9,Á¤ÈÆ,·Ôµ¥,0.231,65,15,4,0,1,8,9,0,13,0,5¹ø
10,°í½Â¹Î,·Ôµ¥,0.229,35,8,1,0,0,3,4,0,7,0,5¹ø
11,À¯°­³²,·Ôµ¥,0.217,60,13,0,0,2,7,3,2,12,4,5¹ø
12,À±µ¿Èñ,·Ôµ¥,0.215,65,14,1,0,0,4,5,1,13,3,5¹ø
12,ÀüÁØ¿ì,·Ôµ¥,0.215,65,14,1,0,0,4,5,0,10,1,5¹ø
14,ÇÑµ¿Èñ,·Ôµ¥,0.154,52,8,1,0,0,5,4,0,11,5,5¹ø
15,±¹ÇØ¼º,·Ôµ¥,0.000,2,0,0,0,0,0,0,0,1,0,5¹ø
15,±è¹Î¼®,·Ôµ¥,0.000,7,0,0,0,0,0,0,0,2,0,5¹ø
15,¹è¿µºó,·Ôµ¥,-,0,0,0,0,0,0,1,0,0,0,5¹ø
15,¼­µ¿¿í,·Ôµ¥,0.000,1,0,0,0,0,0,0,0,0,0,5¹ø
15,¼Õ¼ººó,·Ôµ¥,0.000,4,0,0,0,0,0,0,0,3,0,5¹ø
15,ÀÌÇÐÁÖ,·Ôµ¥,0.000,2,0,0,0,0,0,1,0,0,0,5¹ø
15,ÀåµÎ¼º,·Ôµ¥,0.000,1,0,0,0,0,0,0,0,0,1,5¹ø
15,Á¤´ë¼±,·Ôµ¥,0.000,3,0,0,0,0,0,0,0,1,0,5¹ø
15,Á¤º¸±Ù,·Ôµ¥,0.000,3,0,0,0,0,0,0,0,0,0,5¹ø
