¼±¼ö¸í,Æ÷Áö¼Ç,¼öºñ ½Â¸® ±â¿©µµ,³âµµ,¼øÀ§,ÆÀ¸í,°æ±â,¼±¹ß°æ±â,¼öºñÀÌ´×,½ÇÃ¥,°ßÁ¦»ç,Ç²¾Æ¿ô,¾î½Ã½ºÆ®,º´»ì,¼öºñÀ²,Æ÷ÀÏ,µµ·çÇã¿ë,µµ·çÀúÁö,µµ·çÀúÁöÀ²
Á¤º¸±Ù,Æ÷¼ö,0.958,2022,4,·Ôµ¥,94,67,585 2/3,6,0,592,43,4,0.991,6,34,11,24.4
Áö½Ã¿Ï,Æ÷¼ö,0.374,2022,10,·Ôµ¥,71,48,426 1/3,2,0,388,23,4,0.995,2,42,9,17.6
±è¹Î¼ö,3·ç¼ö,0.368,2022,38,·Ôµ¥,20,14,113 1/3,1,0,11,29,4,0.976,0,0,0,-
°­ÅÂÀ²,Æ÷¼ö,0.355,2022,43,·Ôµ¥,17,9,82,0,0,78,7,2,1.0,1,3,4,57.1
·º½º,ÁÂÀÍ¼ö,0.175,2022,43,·Ôµ¥,17,15,113 1/3,1,0,33,1,0,0.971,0,0,0,-
È²¼ººó,¿ìÀÍ¼ö,0.150,2022,49,·Ôµ¥,13,11,95 2/3,0,0,22,1,0,1.0,0,0,0,-
ÀÌÈ£¿¬,3·ç¼ö,0.141,2022,32,·Ôµ¥,26,17,172 1/3,1,0,13,34,1,0.979,0,0,0,-
·º½º,Áß°ß¼ö,0.137,2022,36,·Ôµ¥,23,19,160,1,0,46,1,0,0.979,0,0,0,-
¹è¼º±Ù,À¯°Ý¼ö,0.132,2022,66,·Ôµ¥,3,1,14,0,0,3,2,1,1.000,0,0,0,-
¹Ú½Â¿í,2·ç¼ö,0.122,2022,17,·Ôµ¥,42,11,134 1/3,1,0,24,45,6,0.986,0,0,0,-
ÀÌÈ£¿¬,1·ç¼ö,0.098,2022,19,·Ôµ¥,39,13,155,1,0,127,12,15,0.993,0,0,0,-
