¼øÀ§,¼±¼ö¸í,ÆÀ¸í,Æ÷Áö¼Ç,°æ±â,¼±¹ß°æ±â,¼öºñÀÌ´×,½ÇÃ¥,°ßÁ¦»ç,Ç²¾Æ¿ô,¾î½Ã½ºÆ®,º´»ì,¼öºñÀ²,Æ÷ÀÏ,µµ·çÇã¿ë,µµ·çÀúÁö,µµ·çÀúÁöÀ²
1,À¯°­³²,·Ôµ¥,Æ÷¼ö,50,42,324 2/3,3,0,277,23,4,0.99,1,27,10,27.0
2,³ª½Â¿±,·Ôµ¥,1·ç¼ö,46,44,371 2/3,3,0,336,28,40,0.992,0,0,0,-
2,À±µ¿Èñ,·Ôµ¥,Áß°ß¼ö,46,42,367,1,0,103,1,0,0.99,0,0,0,-
4,¹Ú½Â¿í,·Ôµ¥,À¯°Ý¼ö,45,34,295,9,0,51,93,23,0.941,0,0,0,-
5,·¹ÀÌ¿¹½º,·Ôµ¥,¿ìÀÍ¼ö,40,40,331 2/3,3,0,66,0,0,0.957,0,0,0,-
6,±è»ó¼ö,·Ôµ¥,Åõ¼ö,39,0,38 2/3,0,0,1,8,0,1.0,0,0,0,-
7,°í½Â¹Î,·Ôµ¥,2·ç¼ö,38,33,286 1/3,1,0,53,92,24,0.993,0,0,0,-
8,ÀÌÇÐÁÖ,·Ôµ¥,À¯°Ý¼ö,36,25,228 1/3,2,0,37,64,15,0.981,0,0,0,-
8,Àü¹Ì¸£,·Ôµ¥,Åõ¼ö,36,0,33 2/3,1,0,1,11,1,0.923,0,0,0,-
10,Á¤º¸±Ù,·Ôµ¥,Æ÷¼ö,35,20,180 1/3,1,1,158,17,4,0.994,0,21,7,25.0
11,ÃÖÇ×,·Ôµ¥,2·ç¼ö,33,17,172 1/3,1,0,35,67,15,0.99,0,0,0,-
12,Á¤ÈÆ,·Ôµ¥,1·ç¼ö,30,27,234,2,0,211,20,26,0.991,0,0,0,-
12,È²¼ººó,·Ôµ¥,Áß°ß¼ö,30,28,217 2/3,0,0,42,2,1,1.0,0,0,0,-
14,±è¹Î¼º,·Ôµ¥,3·ç¼ö,29,19,162 1/3,2,0,13,26,5,0.951,0,0,0,-
14,¼Õ¼ººó,·Ôµ¥,Æ÷¼ö,29,10,119,1,0,100,4,0,0.99,0,4,0,0.0
16,±¸½Â¹Î,·Ôµ¥,Åõ¼ö,28,0,24,0,0,0,2,0,1.0,0,0,0,-
16,¼ÕÈ£¿µ,·Ôµ¥,3·ç¼ö,28,21,192 2/3,6,0,21,36,6,0.905,0,0,0,-
18,±è¿øÁß,·Ôµ¥,Åõ¼ö,27,0,29 2/3,0,0,2,3,0,1.0,0,0,0,-
18,ÃÖÁØ¿ë,·Ôµ¥,Åõ¼ö,27,0,21 2/3,0,1,1,3,0,1.0,0,0,0,-
20,¹Ú½Â¿í,·Ôµ¥,3·ç¼ö,25,11,118 2/3,1,0,9,19,5,0.966,0,0,0,-
20,À±µ¿Èñ,·Ôµ¥,¿ìÀÍ¼ö,25,25,204,0,0,52,0,0,1.0,0,0,0,-
22,È²¼ººó,·Ôµ¥,ÁÂÀÍ¼ö,23,10,118,0,0,24,1,0,1.0,0,0,0,-
23,ÀÓÁØ¼·,·Ôµ¥,Åõ¼ö,22,0,11 1/3,0,0,1,3,0,1.0,0,0,0,-
23,ÇÑÇöÈñ,·Ôµ¥,Åõ¼ö,22,3,39 2/3,0,1,0,2,0,1.0,0,0,0,-
