순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,강성우,롯데,0.500,2,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.500,1.000,0,0.0,0.0
2,김동혁,롯데,0.375,22,10,8,4,3,0,1,0,5,1,0,0,2,0,0,3,0,0.625,0.500,1.125,0,0.333,0.0
3,황성빈,롯데,0.354,59,177,161,48,57,2,4,4,79,13,1,0,15,0,0,20,2,0.491,0.409,0.900,18,0.296,0.0
4,레이예스,롯데,0.337,74,321,294,39,99,19,2,7,143,61,0,7,19,0,1,43,8,0.486,0.371,0.857,29,0.398,0.0
5,손호영,롯데,0.324,48,189,176,31,57,12,2,8,97,37,1,1,8,1,3,30,3,0.551,0.362,0.913,18,0.382,0.0
6,이정훈,롯데,0.317,28,70,60,7,19,6,0,0,25,15,0,1,9,1,0,15,3,0.417,0.400,0.817,3,0.458,0.444
7,전준우,롯데,0.314,40,176,159,20,50,11,1,7,84,31,0,1,14,0,2,26,4,0.528,0.375,0.903,15,0.255,0.0
8,고승민,롯데,0.309,54,233,204,37,63,13,2,5,95,36,0,4,24,0,1,40,3,0.466,0.378,0.844,17,0.339,1.0
9,윤동희,롯데,0.305,71,302,266,59,81,18,3,5,120,37,1,3,31,0,1,47,3,0.451,0.375,0.826,23,0.348,0.0
10,나승엽,롯데,0.298,51,197,171,23,51,18,3,1,78,22,0,2,23,0,1,37,1,0.456,0.381,0.837,15,0.317,0.333
11,박승욱,롯데,0.273,72,211,187,27,51,9,1,4,74,24,2,1,17,0,4,53,2,0.396,0.344,0.740,14,0.217,0.0
12,이학주,롯데,0.269,37,102,93,13,25,2,2,2,37,4,2,0,6,0,1,42,0,0.398,0.320,0.718,6,0.158,0.0
13,한동희,롯데,0.257,14,36,35,1,9,2,0,0,11,3,0,0,1,1,0,9,1,0.314,0.278,0.592,1,0.182,0.333
14,정훈,롯데,0.256,50,177,160,15,41,10,0,5,66,20,0,1,16,0,0,32,1,0.413,0.322,0.735,10,0.24,0.143
15,정보근,롯데,0.229,35,73,70,3,16,0,1,2,24,4,2,0,1,0,0,15,3,0.343,0.239,0.582,2,0.176,0.0
16,최항,롯데,0.211,45,99,90,6,19,2,0,0,21,8,0,0,9,0,0,20,3,0.233,0.283,0.516,4,0.211,0.0
17,김민석,롯데,0.203,32,80,74,10,15,3,1,0,20,6,1,0,2,0,3,19,4,0.270,0.253,0.523,2,0.3,0.143
18,김민성,롯데,0.200,35,84,70,6,14,5,0,2,25,8,0,1,10,0,3,18,1,0.357,0.321,0.678,1,0.2,0.429
19,유강남,롯데,0.191,52,155,136,11,26,3,0,5,44,20,2,1,9,0,7,25,4,0.324,0.275,0.599,5,0.234,0.0
20,서동욱,롯데,0.182,9,12,11,1,2,1,0,0,3,0,0,0,0,0,1,2,0,0.273,0.250,0.523,0,0.0,1.0
21,이주찬,롯데,0.174,14,24,23,6,4,1,0,1,8,2,0,0,1,0,0,9,1,0.348,0.208,0.556,0,0.25,0.5
22,손성빈,롯데,0.159,29,48,44,11,7,0,1,3,18,5,0,0,4,0,0,11,2,0.409,0.229,0.638,1,0.071,0.0
23,장두성,롯데,0.154,24,17,13,8,2,0,0,0,2,0,0,0,2,0,2,5,0,0.154,0.353,0.507,0,0.0,0.0
24,노진혁,롯데,0.153,27,68,59,4,9,2,0,0,11,4,0,2,6,0,1,17,1,0.186,0.235,0.421,0,0.118,0.25
25,신윤후,롯데,0.143,16,24,21,3,3,0,0,0,3,1,1,0,1,0,1,3,1,0.143,0.217,0.360,0,0.2,0.0
26,오선진,롯데,0.091,12,18,11,0,1,0,0,0,1,0,3,0,2,0,2,5,0,0.091,0.333,0.424,0,0.0,0.0
27,백두산,롯데,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0
27,이선우,롯데,-,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,정대선,롯데,0.000,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.0,0.0
