순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,강태율,롯데,0.455,2,2,2,1.00,0,3.50,4.50,0.545,5.8,0.55
2,신윤후,롯데,0.429,0,1,3,0.33,0,-,3.25,0.000,1.3,0.332
3,손아섭,롯데,0.352,54,171,130,1.32,11,1.09,3.71,0.141,104.1,0.31
4,오윤석,롯데,0.298,12,32,41,0.78,4,0.51,4.17,0.125,28.8,0.28
5,정훈,롯데,0.295,31,89,119,0.75,3,0.66,4.28,0.132,69.5,0.279
6,이대호,롯데,0.292,47,154,173,0.89,16,0.78,3.54,0.161,83.7,0.272
7,안치홍,롯데,0.286,36,112,137,0.82,3,0.74,3.74,0.126,58.0,0.261
8,마차도,롯데,0.280,44,144,154,0.94,2,0.90,3.75,0.142,73.7,0.266
9,전준우,롯데,0.279,61,174,155,1.12,10,0.66,3.73,0.203,87.0,0.277
10,한동희,롯데,0.278,39,137,102,1.34,4,0.59,3.87,0.158,70.0,0.271
11,이병규,롯데,0.274,13,34,31,1.10,3,0.51,4.35,0.189,29.1,0.287
12,김재유,롯데,0.259,2,29,22,1.32,0,0.34,4.23,0.034,13.7,0.228
13,김민수,롯데,0.250,0,1,1,1.00,0,0.50,5.20,0.000,1.3,0.243
13,지시완,롯데,0.250,0,2,0,-,0,0.75,4.27,0.000,1.4,0.267
15,민병헌,롯데,0.233,14,100,77,1.30,6,0.34,3.57,0.058,23.8,0.204
16,김준태,롯데,0.225,19,82,94,0.87,2,0.88,4.07,0.101,39.6,0.237
17,김동한,롯데,0.221,5,30,15,2.00,0,0.63,3.23,0.074,5.2,0.197
18,신본기,롯데,0.217,3,33,29,1.14,0,0.64,3.80,0.066,10.5,0.211
19,강로한,롯데,0.190,0,8,3,2.67,1,0.67,4.23,0.000,2.2,0.203
20,허일,롯데,0.179,5,21,19,1.11,1,0.28,3.86,0.083,4.5,0.182
21,정보근,롯데,0.150,2,42,40,1.05,0,0.34,3.60,0.015,2.1,0.14
22,추재현,롯데,0.125,0,7,6,1.17,0,0.50,4.29,0.000,0.9,0.144
23,고효준,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
23,구승민,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
23,김강현,롯데,0.000,0,1,0,-,0,0.50,6.00,0.000,0.1,0.113
23,김대우,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
23,김원중,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
23,배성근,롯데,0.000,0,1,4,0.25,0,0.00,3.86,0.000,-1.0,0.0
23,오현택,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
23,이인복,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
23,이호연,롯데,0.000,0,0,1,0.00,0,0.00,6.50,0.000,-0.2,0.0
23,진명호,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
