¼øÀ§,¼±¼ö¸í,ÆÀ¸í,Å¸À²,ÀåÅ¸,¶¥º¼,¶á°ø,¶¥º¼/¶á°ø,°á½ÂÅ¸,º¼³Ý/»ïÁø,Åõ±¸¼ö/Å¸¼®,¼ø¼öÀåÅ¸À²,ÃßÁ¤µæÁ¡,(1.8xÃâ·çÀ²+ÀåÅ¸À²)/4
1,ÀÌ´ëÈ£,·Ôµ¥,0.331,46,150,161,0.93,9,0.77,3.58,0.170,90.5,0.296
2,·º½º,·Ôµ¥,0.330,19,43,61,0.70,3,0.59,4.00,0.165,42.9,0.308
3,°í½Â¹Î,·Ôµ¥,0.316,21,71,43,1.65,3,0.53,3.85,0.137,36.4,0.285
4,ÇÑµ¿Èñ,·Ôµ¥,0.307,41,154,102,1.51,4,0.52,3.52,0.151,69.2,0.276
5,ÀüÁØ¿ì,·Ôµ¥,0.304,43,146,117,1.25,7,0.48,3.57,0.140,70.3,0.269
6,È²¼ººó,·Ôµ¥,0.294,17,103,70,1.47,4,0.40,3.63,0.072,38.4,0.245
7,¾ÈÄ¡È«,·Ôµ¥,0.284,44,152,154,0.99,7,0.98,3.85,0.152,75.2,0.268
8,±è¹Î¼ö,·Ôµ¥,0.257,6,31,25,1.24,0,0.19,3.84,0.043,13.1,0.219
9,Á¤ÈÆ,·Ôµ¥,0.245,11,70,92,0.76,3,0.48,4.10,0.058,32.3,0.218
10,ÀÌÈ£¿¬,·Ôµ¥,0.244,13,71,46,1.54,0,0.29,3.58,0.088,18.2,0.213
11,½ÅÀ±ÈÄ,·Ôµ¥,0.235,8,20,17,1.18,1,0.27,3.63,0.206,9.0,0.24
12,ÇÇÅÍ½º,·Ôµ¥,0.228,29,73,98,0.74,7,0.34,3.62,0.174,40.2,0.235
13,¹Ú½Â¿í,·Ôµ¥,0.227,10,47,37,1.27,3,0.23,3.83,0.071,18.8,0.206
14,ÃßÀçÇö,·Ôµ¥,0.224,4,14,14,1.00,1,0.41,3.89,0.069,5.7,0.216
15,Áö½Ã¿Ï,·Ôµ¥,0.213,10,40,43,0.93,2,0.36,4.13,0.092,15.3,0.211
16,ÀÌÇÐÁÖ,·Ôµ¥,0.207,15,58,73,0.79,1,0.30,3.59,0.095,17.6,0.194
17,Á¤º¸±Ù,·Ôµ¥,0.191,3,50,57,0.88,3,0.25,3.77,0.025,10.4,0.167
18,Á¶¼¼Áø,·Ôµ¥,0.186,3,32,13,2.46,1,0.04,3.92,0.035,0.7,0.143
19,ÀåµÎ¼º,·Ôµ¥,0.174,0,7,1,7.00,0,0.45,4.25,0.000,2.3,0.188
20,¾ÈÁß¿­,·Ôµ¥,0.155,2,21,20,1.05,0,0.58,4.19,0.085,5.2,0.188
21,À±µ¿Èñ,·Ôµ¥,0.154,1,5,4,1.25,0,0.00,3.92,0.077,-0.2,0.127
22,ÇÑÅÂ¾ç,·Ôµ¥,0.148,1,15,13,1.15,0,0.21,3.97,0.016,2.2,0.147
23,±è¹Î¼ö,·Ôµ¥,0.143,0,2,0,-,0,0.00,4.14,0.000,-0.1,0.1
24,¹è¼º±Ù,·Ôµ¥,0.128,1,13,9,1.44,0,0.17,3.71,0.026,-0.9,0.115
25,°­ÅÂÀ²,·Ôµ¥,0.094,1,11,9,1.22,0,0.22,3.66,0.031,-0.6,0.108
26,°­·ÎÇÑ,·Ôµ¥,-,0,0,0,-,0,-,-,-,-0.3,0.0
26,°­À±±¸,·Ôµ¥,-,0,0,0,-,0,-,-,-,0.0,0.0
26,±¸½Â¹Î,·Ôµ¥,-,0,0,0,-,0,-,-,-,0.0,0.0
26,±è¼¼¹Î,·Ôµ¥,0.000,0,0,1,0.00,0,-,2.50,0.000,0.3,0.225
26,±è¿øÁß,·Ôµ¥,-,0,0,0,-,0,-,-,-,0.0,0.0
26,±èÀçÀ¯,·Ôµ¥,-,0,0,0,-,0,-,-,-,0.0,0.0
26,¹®°æÂù,·Ôµ¥,-,0,0,0,-,0,-,-,-,0.0,0.0
