순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,마차도,롯데,144,16,15,1,93.8,7,0
2,안치홍,롯데,124,17,14,3,82.4,4,0
3,정훈,롯데,111,12,11,1,91.7,2,0
4,김동한,롯데,82,14,10,4,71.4,3,0
4,김재유,롯데,68,12,10,2,83.3,1,1
4,민병헌,롯데,109,16,10,6,62.5,2,0
7,손아섭,롯데,141,5,5,0,100,4,0
7,전준우,롯데,143,10,5,5,50.0,5,0
9,강로한,롯데,16,3,2,1,66.7,0,1
9,김준태,롯데,128,4,2,2,50.0,8,1
9,오윤석,롯데,63,3,2,1,66.7,0,0
12,김민수,롯데,3,1,1,0,100,0,0
12,신본기,롯데,81,1,1,0,100,0,0
12,신윤후,롯데,5,2,1,1,50.0,0,0
12,이대호,롯데,144,1,1,0,100,7,0
16,강태율,롯데,14,0,0,0,-,0,0
16,고효준,롯데,1,0,0,0,-,0,0
16,구승민,롯데,1,0,0,0,-,0,0
16,김강현,롯데,5,0,0,0,-,0,0
16,김대우,롯데,1,0,0,0,-,0,0
16,김원중,롯데,3,0,0,0,-,0,0
16,배성근,롯데,4,1,0,1,0.0,0,0
16,오현택,롯데,1,0,0,0,-,0,0
16,이병규,롯데,53,0,0,0,-,0,0
16,이인복,롯데,2,0,0,0,-,0,0
16,이호연,롯데,1,0,0,0,-,0,0
16,정보근,롯데,85,0,0,0,-,3,0
16,지시완,롯데,3,0,0,0,-,0,0
16,진명호,롯데,1,0,0,0,-,0,0
16,추재현,롯데,13,0,0,0,-,0,0
16,한동희,롯데,135,3,0,3,0.0,5,0
16,허일,롯데,60,0,0,0,-,1,0
