鉴困,急荐疙,评疙,版扁,档风矫档,档风倾侩,档风历瘤,档风己傍伏,林风荤,斑力荤
1,辫刮籍,吩单,129,19,16,3,84.2,3,2
1,救鼻荐,吩单,95,23,16,7,69.6,2,2
3,冠铰宽,吩单,123,19,15,4,78.9,1,0
4,傈霖快,吩单,138,11,9,2,81.8,7,0
4,炔己后,吩单,74,14,9,5,64.3,0,1
6,绊铰刮,吩单,94,11,8,3,72.7,2,0
7,畴柳酋,吩单,113,9,7,2,77.8,2,0
8,捞切林,吩单,104,5,4,1,80.0,1,0
9,救摹全,吩单,121,6,3,3,50.0,3,1
9,辣悼锐,吩单,107,9,3,6,33.3,2,3
11,厘滴己,吩单,25,2,2,0,100,1,1
11,沥绕,吩单,80,2,2,0,100,2,0
13,辫悼酋,吩单,15,1,1,0,100,0,0
13,硅康后,吩单,18,1,1,0,100,0,0
13,脚辣饶,吩单,28,1,1,0,100,0,0
13,蜡碍巢,吩单,121,2,1,1,50.0,6,0
13,捞沥绕,吩单,59,2,1,1,50.0,1,1
13,沥焊辟,吩单,55,1,1,0,100,0,1
13,茄悼锐,吩单,108,4,1,3,25.0,3,0
20,备靛烦,吩单,50,0,0,0,-,1,0
20,惫秦己,吩单,6,0,0,0,-,1,0
20,辫刮荐,吩单,25,0,0,0,-,0,0
20,辫惑荐,吩单,1,0,0,0,-,0,0
20,辫盔吝,吩单,3,0,0,0,-,0,0
20,泛胶,吩单,55,1,0,1,0.0,3,0
20,冠屈霖,吩单,1,0,0,0,-,0,0
20,辑悼宽,吩单,13,0,0,0,-,0,0
20,颊己后,吩单,45,0,0,0,-,1,0
20,辣荐崇,吩单,3,0,0,0,-,0,0
20,沥措急,吩单,19,0,0,0,-,0,0
20,瘤矫肯,吩单,6,0,0,0,-,0,0
20,弥汲快,吩单,1,0,0,0,-,0,0
