순위,선수명,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
1,김주원,NC,유격수,70,60,541,7,0,93,139,22,0.971,0,0,0,-
2,서호철,NC,3루수,67,65,539 1/3,7,0,45,108,16,0.956,0,0,0,-
3,권희동,NC,좌익수,66,57,476,0,0,135,9,2,1.0,0,0,0,-
4,김형준,NC,포수,64,60,514,6,0,441,40,4,0.988,2,36,20,35.7
4,데이비슨,NC,1루수,64,64,534 1/3,8,0,443,40,38,0.984,0,0,0,-
6,김성욱,NC,중견수,61,52,457,0,0,113,2,0,1.0,0,0,0,-
7,김휘집,NC,유격수,56,50,416 1/3,8,0,62,125,27,0.959,0,0,0,-
8,박건우,NC,우익수,54,53,424 1/3,1,0,88,2,0,0.989,0,0,0,-
8,박민우,NC,2루수,54,52,444 2/3,3,0,109,122,23,0.987,0,0,0,-
10,김재열,NC,투수,40,0,41 1/3,0,0,3,2,0,1.0,0,0,0,-
11,박세혁,NC,포수,37,16,167 1/3,2,0,148,10,2,0.988,2,18,4,18.2
12,한재승,NC,투수,36,0,30,0,0,2,4,0,1.0,0,0,0,-
13,이용찬,NC,투수,35,0,35 1/3,0,2,2,7,1,1.0,0,0,0,-
14,김영규,NC,투수,31,0,32 2/3,1,2,2,7,0,0.9,0,0,0,-
15,임정호,NC,투수,29,0,22 1/3,0,0,0,4,0,1.0,0,0,0,-
16,도태훈,NC,1루수,25,6,85 1/3,0,0,74,9,6,1.0,0,0,0,-
17,김휘집,NC,3루수,22,15,146,2,0,12,38,6,0.962,0,0,0,-
18,류진욱,NC,투수,21,0,17,0,0,3,2,0,1.0,0,0,0,-
19,손아섭,NC,우익수,18,16,127,0,0,34,0,0,1.0,0,0,0,-
19,송명기,NC,투수,18,0,23 2/3,0,0,0,1,0,1.0,0,0,0,-
19,최정원,NC,중견수,18,4,60 1/3,1,0,25,0,0,0.962,0,0,0,-
22,이준호,NC,투수,16,1,19 2/3,0,0,2,2,0,1.0,0,0,0,-
22,최정원,NC,2루수,16,10,92 2/3,1,0,31,23,7,0.982,0,0,0,-
24,김시훈,NC,투수,15,15,68 1/3,0,0,1,7,0,1.0,0,0,0,-
24,도태훈,NC,2루수,15,8,75,1,0,17,30,3,0.979,0,0,0,-
24,신민혁,NC,투수,15,15,78,1,0,2,4,0,0.857,0,0,0,-
24,천재환,NC,우익수,15,1,41,0,0,4,1,1,1.0,0,0,0,-
24,하트,NC,투수,15,15,91 1/3,1,1,4,13,1,0.944,0,0,0,-
29,최성영,NC,투수,14,1,25 2/3,0,0,2,2,0,1.0,0,0,0,-
29,카스타노,NC,투수,14,14,84 2/3,2,0,6,12,0,0.9,0,0,0,-
