순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,양의지,NC,0.325,141,570,480,81,156,29,2,30,279,111,0,10,69,5,11,60,12,0.581,0.414,0.995,41,0.374,0.5
2,윤형준,NC,0.297,51,81,74,10,22,0,0,5,37,10,3,1,3,0,0,17,2,0.500,0.321,0.821,2,0.083,0.31
3,이명기,NC,0.293,56,232,191,30,56,12,0,2,74,14,3,0,37,0,1,27,2,0.387,0.410,0.797,18,0.3,0.25
4,노진혁,NC,0.288,107,384,330,41,95,22,0,8,141,58,4,3,42,0,5,90,3,0.427,0.374,0.801,28,0.351,0.0
5,최정원,NC,0.283,72,238,212,40,60,4,2,0,68,8,4,0,18,0,4,40,0,0.321,0.350,0.671,14,0.229,0.0
6,나성범,NC,0.281,144,623,570,96,160,29,1,33,290,101,0,4,38,2,11,155,5,0.509,0.335,0.844,46,0.263,0.0
7,알테어,NC,0.272,143,565,492,83,134,19,2,32,253,84,0,5,57,2,11,156,6,0.514,0.358,0.872,31,0.248,0.0
8,권희동,NC,0.263,55,171,133,25,35,3,0,8,62,26,1,3,29,1,5,24,4,0.466,0.406,0.872,6,0.345,0.429
9,박민우,NC,0.261,50,215,180,30,47,5,3,1,61,18,4,2,22,0,7,23,4,0.339,0.360,0.699,12,0.303,0.0
10,박석민,NC,0.257,59,205,171,27,44,8,0,10,82,41,3,2,27,1,2,43,8,0.480,0.361,0.841,11,0.304,0.143
11,전민수,NC,0.255,71,109,98,12,25,3,0,3,37,16,0,0,11,1,0,23,2,0.378,0.330,0.708,4,0.375,0.233
12,최보성,NC,0.250,10,14,12,0,3,0,0,0,3,1,1,0,0,0,1,5,0,0.250,0.308,0.558,0,0.5,0.0
13,강진성,NC,0.249,124,462,406,49,101,20,0,7,142,38,4,2,36,2,14,68,12,0.350,0.330,0.680,25,0.227,0.2
14,김주원,NC,0.241,69,189,166,20,40,7,1,5,64,16,2,2,17,0,2,57,5,0.386,0.316,0.702,4,0.162,1.0
15,이원재,NC,0.231,31,69,65,3,15,2,0,0,17,7,1,1,1,0,1,11,1,0.262,0.250,0.512,1,0.235,0.375
16,최승민,NC,0.226,48,34,31,8,7,1,0,0,8,1,2,0,1,0,0,7,0,0.258,0.250,0.508,1,0.1,0.0
17,정진기,NC,0.223,88,206,193,27,43,8,0,6,69,21,2,0,10,0,1,39,2,0.358,0.265,0.623,9,0.188,0.238
18,정현,NC,0.222,68,149,117,14,26,5,1,0,33,7,8,0,17,0,7,24,7,0.282,0.355,0.637,5,0.238,0.167
19,김태군,NC,0.220,102,276,232,23,51,7,0,7,79,24,9,3,21,0,11,30,4,0.341,0.311,0.652,10,0.158,0.0
20,박대온,NC,0.212,42,95,85,4,18,1,0,0,19,5,4,2,4,0,0,21,0,0.224,0.242,0.466,2,0.182,0.0
21,정범모,NC,0.211,19,23,19,2,4,1,0,1,8,5,1,0,2,0,1,4,2,0.421,0.318,0.739,0,0.333,0.0
22,박준영,NC,0.209,111,315,273,37,57,7,2,8,92,31,3,2,27,0,10,92,9,0.337,0.301,0.638,15,0.215,0.167
23,김기환,NC,0.207,62,149,140,19,29,7,2,3,49,13,1,0,8,0,0,45,1,0.350,0.250,0.600,7,0.276,1.0
24,이재율,NC,0.200,23,17,15,5,3,2,0,0,5,1,0,0,0,0,2,3,1,0.333,0.294,0.627,0,0.0,0.0
25,도태훈,NC,0.182,77,76,66,10,12,1,0,1,16,9,0,0,6,0,4,14,3,0.242,0.289,0.531,0,0.227,0.2
26,김준완,NC,0.167,13,14,12,3,2,0,1,0,4,1,0,0,2,0,0,0,0,0.333,0.286,0.619,0,0.0,0.0
