순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,최승민,NC,0.444,1,1,2,0.50,0,0.50,3.80,0.111,2.5,0.364
2,나성범,NC,0.366,17,13,20,0.65,3,0.46,3.95,0.280,22.1,0.361
3,양의지,NC,0.354,46,86,129,0.67,4,1.12,3.74,0.221,88.7,0.341
4,박민우,NC,0.344,32,129,144,0.90,5,1.03,3.74,0.090,79.4,0.29
5,모창민,NC,0.305,33,75,111,0.68,8,0.50,3.57,0.161,57.8,0.278
6,이명기,NC,0.293,22,169,111,1.52,4,0.73,3.83,0.060,63.0,0.25
7,이상호,NC,0.278,7,102,48,2.13,3,0.41,3.07,0.030,20.3,0.215
8,김찬형,NC,0.277,7,50,32,1.56,3,0.29,3.30,0.078,15.8,0.234
9,김태진,NC,0.275,24,102,105,0.97,4,0.24,3.56,0.104,43.9,0.232
10,박석민,NC,0.267,37,108,90,1.20,5,0.94,4.19,0.211,66.3,0.296
10,손시헌,NC,0.267,7,34,42,0.81,1,0.22,3.68,0.089,14.6,0.232
12,노진혁,NC,0.264,38,83,96,0.86,4,0.39,3.90,0.190,50.2,0.26
13,이원재,NC,0.258,19,78,68,1.15,4,0.43,3.74,0.137,31.6,0.239
14,권희동,NC,0.256,23,90,112,0.80,6,0.83,4.16,0.101,47.5,0.25
15,김준완,NC,0.250,0,5,6,0.83,0,1.00,4.42,0.000,2.0,0.205
15,윤수강,NC,0.250,0,2,0,-,0,0.00,3.75,0.000,-0.1,0.175
15,이인혁,NC,0.250,1,2,1,2.00,0,0.33,4.00,0.375,1.7,0.306
18,강진성,NC,0.247,7,22,31,0.71,0,0.15,3.54,0.124,8.8,0.227
19,베탄코트,NC,0.246,16,56,48,1.17,3,0.35,3.79,0.158,26.8,0.24
20,김성욱,NC,0.230,26,64,93,0.69,5,0.42,3.86,0.157,36.4,0.233
21,스몰린스키,NC,0.229,24,58,71,0.82,7,0.52,3.76,0.210,26.6,0.244
22,지석훈,NC,0.228,11,39,41,0.95,3,0.27,3.79,0.101,13.8,0.217
23,정범모,NC,0.225,3,6,10,0.60,1,0.20,3.64,0.175,4.7,0.226
24,김형준,NC,0.224,7,40,19,2.11,0,0.33,3.75,0.103,9.8,0.207
25,김태군,NC,0.182,0,8,2,4.00,0,0.50,3.54,0.000,2.0,0.206
26,김진형,NC,0.150,1,7,8,0.88,0,0.00,3.00,0.050,0.6,0.111
27,오영수,NC,0.125,0,3,0,-,0,0.00,4.00,0.000,-0.2,0.088
28,박헌욱,NC,0.111,1,2,1,2.00,0,0.00,3.44,0.111,-0.4,0.105
29,강윤구,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
29,김건태,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
29,김영규,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
29,김진성,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
29,김철호,NC,0.000,0,1,1,1.00,0,-,2.00,0.000,-0.2,0.0
29,민태호,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
29,배재환,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
29,원종현,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
29,유영준,NC,0.000,0,3,0,-,0,0.00,3.00,0.000,-0.4,0.0
29,유원상,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
29,윤지웅,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
29,이우석,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
29,전사민,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
29,최성영,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
29,홍성무,NC,-,0,0,0,-,0,-,-,-,0.0,0.0
