선수명,포지션,수비 승리 기여도,년도,순위,팀명,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
노수광,중견수,0.995,2019,18,SK,39,39,286,0,0,97,2,0,1.0,0,0,0,-
김강민,중견수,0.906,2019,5,SK,123,100,947 1/3,3,0,264,9,2,0.989,0,0,0,-
나주환,2루수,0.780,2019,11,SK,61,49,399,1,0,96,154,38,0.996,0,0,0,-
강승호,2루수,0.477,2019,48,SK,9,6,63,0,0,13,19,4,1.000,0,0,0,-
나주환,3루수,0.337,2019,33,SK,17,5,66,0,0,2,15,1,1.000,0,0,0,-
최준우,2루수,0.279,2019,41,SK,12,11,76,0,0,15,25,4,1.000,0,0,0,-
정현,2루수,0.259,2019,41,SK,12,6,61 1/3,0,0,21,16,8,1.000,0,0,0,-
김재현,중견수,0.206,2019,43,SK,11,5,56,0,0,18,0,0,1.000,0,0,0,-
노수광,우익수,0.188,2019,21,SK,33,22,208,0,0,52,0,0,1.0,0,0,0,-
안상현,2루수,0.150,2019,14,SK,55,16,250 2/3,6,0,53,92,18,0.96,0,0,0,-
최민재,우익수,0.126,2019,69,SK,1,1,6,0,0,3,0,0,1.000,0,0,0,-
로맥,3루수,0.117,2019,46,SK,10,6,67,1,0,8,13,1,0.955,0,0,0,-
최경모,유격수,0.108,2019,46,SK,10,1,23,0,0,2,8,2,1.000,0,0,0,-
나주환,1루수,0.101,2019,43,SK,11,6,63,0,0,56,1,6,1.000,0,0,0,-
김성현,유격수,0.094,2019,1,SK,144,132,1143 2/3,26,0,179,358,83,0.954,0,0,0,-
안상현,유격수,0.091,2019,40,SK,13,3,42 1/3,0,0,9,7,2,1.000,0,0,0,-
최항,2루수,0.087,2019,17,SK,43,38,280,3,0,65,80,15,0.98,0,0,0,-
이현석,포수,0.049,2019,61,SK,2,1,9,0,0,7,0,0,1.000,0,0,0,-
김재현,좌익수,0.030,2019,38,SK,14,1,26,0,0,4,0,0,1.000,0,0,0,-
정현,유격수,0.022,2019,38,SK,14,5,45,0,0,7,12,5,1.000,0,0,0,-
정진기,좌익수,0.019,2019,61,SK,2,0,6,0,0,1,0,0,1.000,0,0,0,-
배영섭,좌익수,0.017,2019,32,SK,19,13,119 2/3,0,0,26,0,0,1.000,0,0,0,-
강승호,유격수,0.017,2019,53,SK,6,3,29,1,0,5,8,2,0.929,0,0,0,-
배영섭,중견수,0.000,2019,61,SK,2,0,3,0,0,0,0,0,-,0,0,0,-
임재현,좌익수,-0.005,2019,60,SK,3,0,5,0,0,1,0,0,1.000,0,0,0,-
임재현,우익수,-0.006,2019,69,SK,1,1,6,0,0,0,0,0,-,0,0,0,-
남태혁,1루수,-0.024,2019,61,SK,2,2,13,0,0,12,0,1,1.000,0,0,0,-
최준우,3루수,-0.027,2019,69,SK,1,0,2,0,0,0,0,0,-,0,0,0,-
최승준,1루수,-0.037,2019,56,SK,4,2,26,0,0,21,4,0,1.000,0,0,0,-
고종욱,좌익수,-0.042,2019,10,SK,67,65,524 2/3,3,0,113,0,0,0.974,0,0,0,-
최경모,2루수,-0.056,2019,50,SK,7,0,24,2,0,6,6,1,0.857,0,0,0,-
김창평,유격수,-0.066,2019,61,SK,2,0,4,0,0,1,1,0,1.000,0,0,0,-
허도환,포수,-0.067,2019,13,SK,56,22,242 1/3,2,1,218,19,3,0.992,0,21,4,16.0
정의윤,좌익수,-0.072,2019,23,SK,29,24,208,0,0,41,0,0,1.0,0,0,0,-
최항,1루수,-0.073,2019,56,SK,4,3,33,0,0,31,1,5,1.000,0,0,0,-
정진기,우익수,-0.079,2019,48,SK,9,3,35,0,0,9,0,0,1.000,0,0,0,-
배영섭,우익수,-0.088,2019,53,SK,6,5,37,0,0,5,0,0,1.000,0,0,0,-
김재현,우익수,-0.129,2019,19,SK,35,1,59 2/3,0,0,7,0,0,1.0,0,0,0,-
김창평,2루수,-0.164,2019,33,SK,17,15,122,0,0,29,47,11,1.000,0,0,0,-
박정권,1루수,-0.193,2019,50,SK,7,4,42 1/3,0,0,36,1,3,1.000,0,0,0,-
정의윤,우익수,-0.386,2019,29,SK,23,21,168,1,0,28,0,0,0.966,0,0,0,-
최정,3루수,-0.419,2019,3,SK,134,133,1153,14,0,93,211,21,0.956,0,0,0,-
노수광,좌익수,-0.777,2019,9,SK,70,40,402,3,0,99,5,0,0.972,0,0,0,-
이재원,포수,-0.971,2019,2,SK,136,121,1041,6,0,889,58,4,0.994,3,84,19,18.4
한유섬,우익수,-1.135,2019,6,SK,93,89,772 2/3,4,0,166,11,2,0.978,0,0,0,-
로맥,1루수,-2.391,2019,4,SK,130,127,1113 1/3,3,0,1022,49,103,0.997,0,0,0,-
