순위,선수명,팀명,포지션,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
1,최지훈,SSG,중견수,75,72,635,7,0,169,3,1,0.961,0,0,0,-
2,박성한,SSG,유격수,74,71,623,10,0,123,192,41,0.969,0,0,0,-
3,고명준,SSG,1루수,62,59,451,4,0,399,30,34,0.991,0,0,0,-
4,에레디아,SSG,좌익수,60,58,492 1/3,1,0,91,6,2,0.99,0,0,0,-
4,최정,SSG,3루수,60,58,460 2/3,6,0,25,70,5,0.941,0,0,0,-
6,이지영,SSG,포수,59,53,467 1/3,3,0,474,30,4,0.994,0,48,17,26.2
7,오태곤,SSG,1루수,44,8,154,0,0,152,10,16,1.0,0,0,0,-
8,노경은,SSG,투수,41,0,45,0,0,1,4,0,1.0,0,0,0,-
8,조병현,SSG,투수,41,0,39,2,0,5,0,0,0.714,0,0,0,-
10,한유섬,SSG,우익수,40,38,318,2,0,70,0,0,0.972,0,0,0,-
11,한두솔,SSG,투수,39,0,31 1/3,1,0,0,3,0,0.75,0,0,0,-
12,이로운,SSG,투수,38,0,40,0,0,1,1,0,1.0,0,0,0,-
13,하재훈,SSG,우익수,34,25,232,5,0,32,2,0,0.872,0,0,0,-
14,최민준,SSG,투수,31,0,37 2/3,1,0,3,5,1,0.889,0,0,0,-
15,문승원,SSG,투수,29,0,29,0,0,1,4,0,1.0,0,0,0,-
16,안상현,SSG,2루수,28,22,176,4,0,29,53,9,0.953,0,0,0,-
17,고효준,SSG,투수,24,0,20 1/3,0,0,1,4,0,1.0,0,0,0,-
18,박지환,SSG,2루수,22,21,184,3,0,49,65,18,0.974,0,0,0,-
19,최경모,SSG,2루수,20,4,72 2/3,1,0,10,26,3,0.973,0,0,0,-
20,박민호,SSG,투수,19,0,22 2/3,0,1,0,1,0,1.0,0,0,0,-
20,최경모,SSG,3루수,19,5,60,2,0,4,7,0,0.846,0,0,0,-
