순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,박지환,SSG,0.364,7,17,14,1.21,1,0.44,3.75,0.156,15.4,0.326
2,에레디아,SSG,0.363,25,65,85,0.76,9,0.38,3.38,0.152,54.7,0.311
3,김민식,SSG,0.333,5,7,14,0.50,1,1.00,4.36,0.098,10.5,0.319
4,최정,SSG,0.298,34,41,72,0.57,6,0.61,3.93,0.320,54.7,0.335
5,박성한,SSG,0.289,18,89,74,1.20,3,0.93,4.24,0.092,41.0,0.262
6,이지영,SSG,0.288,6,79,48,1.65,1,0.43,3.28,0.054,23.2,0.232
7,정준재,SSG,0.279,3,13,14,0.93,1,0.41,4.26,0.066,7.0,0.245
8,최지훈,SSG,0.272,23,72,99,0.73,4,0.84,4.07,0.123,46.3,0.261
9,오태곤,SSG,0.267,6,21,27,0.78,0,0.47,3.81,0.076,16.3,0.243
10,하재훈,SSG,0.265,14,24,50,0.48,2,0.14,3.84,0.136,20.2,0.232
11,추신수,SSG,0.262,6,18,30,0.60,1,0.65,4.03,0.097,18.5,0.266
12,최준우,SSG,0.261,2,6,4,1.50,0,1.14,4.06,0.087,4.6,0.29
13,고명준,SSG,0.259,16,67,43,1.56,3,0.26,3.82,0.138,26.9,0.238
14,조형우,SSG,0.250,0,9,8,1.13,0,0.25,3.30,0.000,3.3,0.226
15,한유섬,SSG,0.232,27,38,58,0.66,4,0.33,4.03,0.241,37.8,0.266
16,김성현,SSG,0.191,2,26,19,1.37,0,0.80,3.94,0.029,4.4,0.196
17,강진성,SSG,0.185,0,9,8,1.13,0,0.60,3.32,0.000,1.5,0.166
18,안상현,SSG,0.175,1,17,21,0.81,0,0.29,3.85,0.016,2.2,0.148
19,최경모,SSG,0.171,0,16,6,2.67,0,1.14,3.62,0.000,2.7,0.189
20,정현승,SSG,0.167,0,3,3,1.00,0,0.25,4.00,0.000,0.4,0.146
21,전의산,SSG,0.094,1,9,11,0.82,1,0.33,4.46,0.094,0.4,0.124
22,김찬형,SSG,0.000,0,3,2,1.50,0,0.00,4.11,0.000,-0.8,0.0
22,김창평,SSG,0.000,0,2,1,2.00,0,0.50,4.22,0.000,0.2,0.1
22,류효승,SSG,0.000,0,0,2,0.00,0,-,4.50,0.000,-0.2,0.0
22,문승원,SSG,0.000,0,0,0,-,0,0.00,5.00,0.000,-0.1,0.0
22,박민호,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0
22,이로운,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0
22,조병현,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0
22,최민창,SSG,0.000,0,0,2,0.00,0,0.00,5.33,0.000,-0.3,0.0
22,한두솔,SSG,-,0,0,0,-,0,-,-,-,0.0,0.0
