순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,최지훈,SK,127,24,18,6,75.0,3,3
2,오태곤,SK,94,21,15,6,71.4,1,2
3,최정,SK,133,11,8,3,72.7,6,2
4,김강민,SK,122,12,7,5,58.3,2,1
4,김창평,SK,35,7,7,0,100,1,1
4,정진기,SK,50,8,7,1,87.5,1,1
7,로맥,SK,139,6,4,2,66.7,5,0
8,채현우,SK,16,3,3,0,100,0,0
9,한유섬,SK,62,2,2,0,100,2,0
10,고종욱,SK,92,4,1,3,25.0,2,1
10,김경호,SK,56,5,1,4,20.0,0,0
10,김민준,SK,12,2,1,1,50.0,0,1
10,김성현,SK,133,2,1,1,50.0,6,1
10,박성한,SK,41,2,1,1,50.0,0,1
10,유서준,SK,28,2,1,1,50.0,0,0
10,이현석,SK,58,1,1,0,100,0,1
10,최준우,SK,66,2,1,1,50.0,2,0
10,최항,SK,47,1,1,0,100,1,0
19,김성민,SK,9,0,0,0,-,0,0
19,김재현,SK,8,0,0,0,-,0,1
19,김사윤,SK,4,0,0,0,-,0,0
19,김주온,SK,2,0,0,0,-,0,0
19,김주한,SK,1,0,0,0,-,0,0
19,김태훈,SK,2,0,0,0,-,0,0
19,남태혁,SK,35,0,0,0,-,0,0
19,류효승,SK,8,0,0,0,-,0,0
19,박민호,SK,4,0,0,0,-,0,0
19,박종훈,SK,1,0,0,0,-,0,0
19,서동민,SK,3,0,0,0,-,0,0
19,서진용,SK,6,0,0,0,-,0,0
19,신재웅,SK,1,0,0,0,-,0,0
19,오원석,SK,2,0,0,0,-,0,0
19,오준혁,SK,70,3,0,3,0.0,4,0
19,윤석민,SK,34,0,0,0,-,1,0
19,이거연,SK,8,0,0,0,-,0,0
19,이재원,SK,80,0,0,0,-,1,0
19,이흥련,SK,49,0,0,0,-,0,0
19,정영일,SK,1,0,0,0,-,0,0
19,정의윤,SK,76,1,0,1,0.0,2,0
19,정현,SK,89,2,0,2,0.0,0,0
19,조이현,SK,1,0,0,0,-,0,0
19,채태인,SK,71,0,0,0,-,1,0
19,하재훈,SK,1,0,0,0,-,0,0
19,현원회,SK,1,0,0,0,-,0,0
19,화이트,SK,9,0,0,0,-,1,0
