선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
오재원,두산,1.000,1,1,1,0,0,1,0,0,0,0,1번
김경호,두산,0.667,3,2,1,0,0,2,0,0,0,0,1번
정진호,두산,0.500,4,2,0,0,0,0,1,0,1,0,1번
정병곤,두산,0.333,3,1,0,0,0,1,1,0,0,0,1번
박건우,두산,0.317,145,46,7,2,5,21,16,2,16,5,1번
류지혁,두산,0.303,33,10,0,0,0,3,1,2,4,0,1번
정수빈,두산,0.263,167,44,8,1,0,15,25,3,30,3,1번
허경민,두산,0.255,235,60,10,0,2,26,16,3,19,6,1번
국해성,두산,-,0,0,0,0,0,0,1,0,0,0,1번
김대한,두산,0.000,1,0,0,0,0,0,1,0,1,0,1번
김재환,두산,0.000,1,0,0,0,0,0,0,0,1,0,1번
백동훈,두산,0.000,5,0,0,0,0,0,0,0,3,0,1번
서예일,두산,0.000,3,0,0,0,0,0,0,0,0,0,1번
신성현,두산,0.000,2,0,0,0,0,0,0,0,2,0,1번
김인태,두산,1.000,1,1,0,1,0,1,0,0,0,0,2번
이유찬,두산,1.000,1,1,0,0,0,1,0,0,0,0,2번
정병곤,두산,1.000,1,1,0,0,0,1,0,0,0,0,2번
허경민,두산,1.000,1,1,1,0,0,0,0,0,0,0,2번
페르난데스,두산,0.345,374,129,23,0,12,57,36,4,34,11,2번
정수빈,두산,0.282,149,42,8,3,0,14,16,2,16,1,2번
류지혁,두산,0.200,20,4,0,0,0,2,1,0,5,0,2번
정진호,두산,0.167,12,2,0,0,0,1,0,0,3,0,2번
최주환,두산,0.167,36,6,1,0,1,3,3,0,5,0,2번
김재환,두산,0.000,1,0,0,0,0,0,0,0,1,0,2번
박세혁,두산,-,0,0,0,0,0,1,0,0,0,0,2번
백동훈,두산,0.000,3,0,0,0,0,0,0,0,1,0,2번
송승환,두산,0.000,1,0,0,0,0,0,0,0,0,0,2번
신성현,두산,0.000,1,0,0,0,0,0,0,0,1,0,2번
오재원,두산,0.000,4,0,0,0,0,0,0,0,1,0,2번
허경민,두산,1.000,2,2,1,0,0,0,1,0,0,0,3번
페르난데스,두산,0.403,67,27,4,0,2,14,9,1,5,0,3번
박건우,두산,0.331,254,84,15,3,4,37,27,5,33,13,3번
오재일,두산,0.303,132,40,12,1,6,29,16,2,23,0,3번
최주환,두산,0.278,97,27,3,0,2,15,12,0,15,5,3번
김경호,두산,0.000,1,0,0,0,0,0,0,0,0,0,3번
김대한,두산,0.000,2,0,0,0,0,0,1,0,1,0,3번
김재호,두산,0.000,1,0,0,0,0,0,0,0,1,0,3번
류지혁,두산,0.000,4,0,0,0,0,0,0,0,0,1,3번
백동훈,두산,0.000,2,0,0,0,0,0,1,0,1,0,3번
오재원,두산,0.000,5,0,0,0,0,0,0,0,1,0,3번
이유찬,두산,0.000,1,0,0,0,0,0,0,0,0,0,3번
정수빈,두산,0.000,1,0,0,0,0,0,0,0,0,0,3번
정진호,두산,0.000,3,0,0,0,0,0,0,0,1,0,3번
이유찬,두산,1.000,1,1,0,0,0,0,0,0,0,0,4번
오재일,두산,0.356,45,16,3,0,3,11,2,0,8,0,4번
최주환,두산,0.333,3,1,0,0,0,0,1,0,1,0,4번
김재환,두산,0.275,443,122,16,5,14,84,55,4,103,7,4번
페르난데스,두산,0.273,55,15,2,0,1,4,8,0,5,3,4번
김인태,두산,0.250,4,1,0,0,0,0,0,0,1,0,4번
김경호,두산,0.000,5,0,0,0,0,0,0,0,2,0,4번
백동훈,두산,0.000,1,0,0,0,0,0,0,0,1,0,4번
신성현,두산,0.000,2,0,0,0,0,0,2,1,1,0,4번
이흥련,두산,0.000,1,0,0,0,0,0,0,0,1,0,4번
정진호,두산,0.000,4,0,0,0,0,0,0,0,1,0,4번
국해성,두산,1.000,1,1,1,0,0,0,0,1,0,0,5번
신성현,두산,1.000,1,1,0,0,0,0,0,0,0,0,5번
김재호,두산,0.393,28,11,4,0,0,5,5,1,6,2,5번
허경민,두산,0.368,19,7,3,0,0,3,2,1,1,0,5번
페르난데스,두산,0.338,68,23,4,0,0,9,8,1,8,1,5번
오재원,두산,0.333,6,2,1,0,0,1,2,0,2,0,5번
최주환,두산,0.333,117,39,8,0,0,26,8,1,11,2,5번
김재환,두산,0.300,30,9,0,0,1,4,7,0,4,0,5번
오재일,두산,0.277,191,53,9,0,9,49,25,0,53,3,5번
박건우,두산,0.250,52,13,5,0,1,5,15,0,8,5,5번
박세혁,두산,0.214,14,3,0,0,1,4,1,1,4,0,5번
김경호,두산,0.000,1,0,0,0,0,0,0,0,0,0,5번
김인태,두산,0.000,2,0,0,0,0,0,0,0,0,0,5번
류지혁,두산,0.000,2,0,0,0,0,0,0,0,1,0,5번
백동훈,두산,0.000,2,0,0,0,0,0,0,1,0,0,5번
이유찬,두산,0.000,1,0,0,0,0,0,0,0,1,0,5번
정수빈,두산,0.000,1,0,0,0,0,0,0,0,0,0,5번
정진호,두산,0.000,3,0,0,0,0,0,1,0,1,0,5번
박건우,두산,0.600,5,3,0,0,0,1,1,0,0,0,6번
김재환,두산,0.444,18,8,4,0,0,3,1,1,4,0,6번
페르난데스,두산,0.429,7,3,1,0,0,4,0,0,1,1,6번
오재일,두산,0.341,41,14,3,0,1,5,2,0,3,1,6번
김인태,두산,0.333,3,1,0,0,1,1,1,0,1,1,6번
류지혁,두산,0.333,12,4,0,0,0,1,1,1,2,1,6번
정병곤,두산,0.333,3,1,0,0,0,0,0,0,0,0,6번
정진호,두산,0.333,3,1,0,0,0,0,1,0,0,0,6번
박세혁,두산,0.296,162,48,9,2,0,18,9,2,23,0,6번
이흥련,두산,0.286,7,2,1,0,0,0,0,0,0,0,6번
허경민,두산,0.277,94,26,3,1,2,15,7,6,10,5,6번
김재호,두산,0.266,124,33,5,0,0,13,16,2,18,0,6번
최주환,두산,0.174,23,4,1,0,1,1,3,0,3,2,6번
오재원,두산,0.161,31,5,2,0,0,2,6,0,7,2,6번
국해성,두산,0.000,1,0,0,0,0,0,0,0,0,1,6번
김경호,두산,0.000,1,0,0,0,0,0,0,0,0,0,6번
신성현,두산,0.000,1,0,0,0,0,0,1,0,0,0,6번
이유찬,두산,0.000,1,0,0,0,0,0,0,0,0,0,6번
장승현,두산,0.000,3,0,0,0,0,0,0,1,0,0,6번
김재환,두산,1.000,1,1,0,0,0,0,0,0,0,0,7번
류지혁,두산,0.353,34,12,2,2,0,5,4,1,7,0,7번
국해성,두산,0.333,3,1,0,0,0,0,1,0,2,0,7번
백동훈,두산,0.333,12,4,0,0,0,1,1,0,4,0,7번
허경민,두산,0.294,68,20,2,0,0,7,4,3,2,4,7번
박세혁,두산,0.275,131,36,5,5,0,25,18,3,18,2,7번
오재일,두산,0.250,44,11,2,0,0,5,7,0,11,1,7번
이흥련,두산,0.250,12,3,0,1,0,1,1,0,6,0,7번
신성현,두산,0.231,13,3,0,0,1,2,4,0,6,0,7번
김재호,두산,0.211,123,26,4,0,1,13,19,2,21,5,7번
김인태,두산,0.158,19,3,0,0,0,2,4,0,5,1,7번
장승현,두산,0.143,7,1,0,0,0,1,0,0,1,0,7번
정진호,두산,0.143,7,1,0,0,0,0,1,0,1,0,7번
오재원,두산,0.121,33,4,1,1,0,2,5,0,10,0,7번
김경호,두산,0.000,1,0,0,0,0,0,0,0,0,0,7번
김대한,두산,0.000,1,0,0,0,0,0,0,0,0,0,7번
박건우,두산,0.000,1,0,0,0,0,0,0,0,0,0,7번
박유연,두산,0.000,1,0,0,0,0,0,0,0,1,0,7번
이유찬,두산,0.000,1,0,0,0,0,0,0,0,0,0,7번
정수빈,두산,0.389,18,7,0,0,0,3,2,0,4,0,8번
이흥련,두산,0.368,19,7,1,0,0,4,1,0,4,1,8번
허경민,두산,0.286,35,10,2,0,0,3,1,4,2,1,8번
백동훈,두산,0.273,11,3,2,0,0,1,1,0,1,0,8번
박세혁,두산,0.271,133,36,5,2,3,15,13,1,23,3,8번
정진호,두산,0.267,30,8,0,0,0,1,6,0,7,1,8번
김경호,두산,0.250,8,2,0,0,0,0,0,0,3,0,8번
오재일,두산,0.214,14,3,0,0,2,3,3,1,1,0,8번
김재호,두산,0.207,29,6,1,0,1,2,6,0,1,1,8번
류지혁,두산,0.205,83,17,1,0,0,9,8,1,12,1,8번
김인태,두산,0.200,15,3,1,0,1,1,1,0,3,0,8번
장승현,두산,0.194,31,6,2,0,0,2,3,0,12,0,8번
국해성,두산,0.176,17,3,2,0,0,2,2,0,7,2,8번
최주환,두산,0.167,6,1,0,0,0,1,0,0,0,1,8번
신성현,두산,0.143,14,2,0,0,0,3,2,0,4,0,8번
오재원,두산,0.129,31,4,2,0,0,3,0,0,13,0,8번
정병곤,두산,0.100,10,1,1,0,0,2,1,1,2,0,8번
이유찬,두산,0.000,4,0,0,0,0,0,0,0,1,0,8번
페르난데스,두산,0.000,1,0,0,0,0,0,0,0,1,0,8번
허경민,두산,0.524,21,11,3,0,0,6,3,0,2,0,9번
김재호,두산,0.347,72,25,8,0,2,15,21,2,11,2,9번
이유찬,두산,0.333,3,1,0,0,0,0,0,0,1,0,9번
이흥련,두산,0.333,3,1,0,0,0,0,0,0,1,0,9번
최주환,두산,0.333,3,1,0,0,0,1,1,0,0,0,9번
김인태,두산,0.313,16,5,1,0,0,2,2,0,2,0,9번
신성현,두산,0.286,7,2,0,0,0,1,1,0,0,0,9번
류지혁,두산,0.250,88,22,3,0,0,14,9,2,9,3,9번
정수빈,두산,0.229,105,24,3,1,0,9,14,1,10,2,9번
정진호,두산,0.200,30,6,0,0,1,1,1,0,9,1,9번
오재원,두산,0.197,66,13,1,0,3,9,12,0,16,1,9번
김경호,두산,0.167,6,1,0,0,0,0,0,0,2,0,9번
정병곤,두산,0.100,10,1,0,0,0,0,0,1,2,2,9번
백동훈,두산,0.091,11,1,0,0,0,0,1,0,5,0,9번
국해성,두산,0.077,13,1,0,0,0,0,1,0,4,0,9번
김대한,두산,0.000,11,0,0,0,0,0,1,0,7,0,9번
김재환,두산,0.000,1,0,0,0,0,0,0,0,0,0,9번
박건우,두산,0.000,1,0,0,0,0,0,1,0,0,0,9번
박세혁,두산,0.000,1,0,0,0,0,0,0,0,0,0,9번
송승환,두산,0.000,1,0,0,0,0,0,0,0,1,0,9번
김인태,두산,1.000,1,1,0,1,0,1,0,0,0,0,상위(1~2번)
이유찬,두산,1.000,1,1,0,0,0,1,0,0,0,0,상위(1~2번)
김경호,두산,0.667,3,2,1,0,0,2,0,0,0,0,상위(1~2번)
정병곤,두산,0.500,4,2,0,0,0,2,1,0,0,0,상위(1~2번)
페르난데스,두산,0.345,374,129,23,0,12,57,36,4,34,11,상위(1~2번)
박건우,두산,0.317,145,46,7,2,5,21,16,2,16,5,상위(1~2번)
정수빈,두산,0.272,316,86,16,4,0,29,41,5,46,4,상위(1~2번)
류지혁,두산,0.264,53,14,0,0,0,5,2,2,9,0,상위(1~2번)
허경민,두산,0.258,236,61,11,0,2,26,16,3,19,6,상위(1~2번)
정진호,두산,0.250,16,4,0,0,0,1,1,0,4,0,상위(1~2번)
오재원,두산,0.200,5,1,1,0,0,1,0,0,1,0,상위(1~2번)
최주환,두산,0.167,36,6,1,0,1,3,3,0,5,0,상위(1~2번)
국해성,두산,-,0,0,0,0,0,0,1,0,0,0,상위(1~2번)
김대한,두산,0.000,1,0,0,0,0,0,1,0,1,0,상위(1~2번)
김재환,두산,0.000,2,0,0,0,0,0,0,0,2,0,상위(1~2번)
박세혁,두산,-,0,0,0,0,0,1,0,0,0,0,상위(1~2번)
백동훈,두산,0.000,8,0,0,0,0,0,0,0,4,0,상위(1~2번)
서예일,두산,0.000,3,0,0,0,0,0,0,0,0,0,상위(1~2번)
송승환,두산,0.000,1,0,0,0,0,0,0,0,0,0,상위(1~2번)
신성현,두산,0.000,3,0,0,0,0,0,0,0,3,0,상위(1~2번)
국해성,두산,1.000,1,1,1,0,0,0,0,1,0,0,중심(3~5번)
허경민,두산,0.429,21,9,4,0,0,3,3,1,1,0,중심(3~5번)
김재호,두산,0.379,29,11,4,0,0,5,5,1,7,2,중심(3~5번)
페르난데스,두산,0.342,190,65,10,0,3,27,25,2,18,4,중심(3~5번)
신성현,두산,0.333,3,1,0,0,0,0,2,1,1,0,중심(3~5번)
이유찬,두산,0.333,3,1,0,0,0,0,0,0,1,0,중심(3~5번)
박건우,두산,0.317,306,97,20,3,5,42,42,5,41,18,중심(3~5번)
최주환,두산,0.309,217,67,11,0,2,41,21,1,27,7,중심(3~5번)
오재일,두산,0.296,368,109,24,1,18,89,43,2,84,3,중심(3~5번)
김재환,두산,0.277,473,131,16,5,15,88,62,4,107,7,중심(3~5번)
박세혁,두산,0.214,14,3,0,0,1,4,1,1,4,0,중심(3~5번)
오재원,두산,0.182,11,2,1,0,0,1,2,0,3,0,중심(3~5번)
김인태,두산,0.167,6,1,0,0,0,0,0,0,1,0,중심(3~5번)
김경호,두산,0.000,7,0,0,0,0,0,0,0,2,0,중심(3~5번)
김대한,두산,0.000,2,0,0,0,0,0,1,0,1,0,중심(3~5번)
류지혁,두산,0.000,6,0,0,0,0,0,0,0,1,1,중심(3~5번)
백동훈,두산,0.000,5,0,0,0,0,0,1,1,2,0,중심(3~5번)
이흥련,두산,0.000,1,0,0,0,0,0,0,0,1,0,중심(3~5번)
정수빈,두산,0.000,2,0,0,0,0,0,0,0,0,0,중심(3~5번)
정진호,두산,0.000,10,0,0,0,0,0,1,0,3,0,중심(3~5번)
