선수명,포지션,수비 승리 기여도,년도,팀명,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
박세혁,포수,2.670,2019,두산,135,128,1071 2/3,8,0,786,55,5,0.991,4,85,23,21.3
김재호,유격수,1.701,2019,두산,130,116,993 1/3,10,0,158,339,67,0.980,0,0,0,-
정수빈,중견수,1.037,2019,두산,121,114,1012 2/3,3,0,302,4,1,0.990,0,0,0,-
장승현,포수,0.448,2019,두산,34,8,119,0,0,69,7,1,1.000,1,5,3,37.5
류지혁,3루수,0.443,2019,두산,29,17,148,1,0,20,29,6,0.980,0,0,0,-
류지혁,2루수,0.404,2019,두산,46,28,243 2/3,2,0,66,84,14,0.987,0,0,0,-
백동훈,우익수,0.385,2019,두산,17,3,57,0,0,25,0,0,1.000,0,0,0,-
이흥련,포수,0.292,2019,두산,23,8,91,0,0,47,4,0,1.000,0,6,3,33.3
김대한,중견수,0.285,2019,두산,12,4,47,1,0,19,1,0,0.952,0,0,0,-
허경민,3루수,0.257,2019,두산,132,124,1080,8,0,86,193,18,0.972,0,0,0,-
김경호,좌익수,0.209,2019,두산,15,1,37,0,0,6,0,0,1.000,0,0,0,-
정병곤,2루수,0.200,2019,두산,13,5,50 2/3,0,0,11,18,4,1.000,0,0,0,-
박건우,우익수,0.198,2019,두산,122,113,947 1/3,3,0,233,2,1,0.987,0,0,0,-
김인태,우익수,0.139,2019,두산,9,9,70,0,0,23,0,0,1.000,0,0,0,-
김경호,우익수,0.115,2019,두산,7,0,13 1/3,0,0,5,0,0,1.000,0,0,0,-
정진호,좌익수,0.110,2019,두산,29,5,88 1/3,0,0,19,1,0,1.000,0,0,0,-
백동훈,좌익수,0.109,2019,두산,12,2,29 2/3,0,0,9,0,0,1.000,0,0,0,-
김인태,좌익수,0.106,2019,두산,16,8,90,0,0,25,0,0,1.000,0,0,0,-
정진호,중견수,0.104,2019,두산,10,9,79,0,0,18,0,0,1.000,0,0,0,-
최주환,2루수,0.100,2019,두산,68,64,474,2,0,94,168,36,0.992,0,0,0,-
신성현,중견수,0.100,2019,두산,5,1,13,0,0,4,0,0,1.000,0,0,0,-
신성현,1루수,0.088,2019,두산,14,7,66,1,0,66,6,5,0.986,0,0,0,-
백동훈,중견수,0.085,2019,두산,12,5,52 1/3,0,0,21,0,0,1.000,0,0,0,-
류지혁,1루수,0.076,2019,두산,17,0,27 1/3,0,0,20,6,2,1.000,0,0,0,-
국해성,좌익수,0.064,2019,두산,2,2,13,0,0,5,0,0,1.000,0,0,0,-
정병곤,3루수,0.036,2019,두산,2,0,6,0,0,1,1,0,1.000,0,0,0,-
최주환,1루수,0.025,2019,두산,3,3,25,1,0,25,0,4,0.962,0,0,0,-
허경민,2루수,0.006,2019,두산,1,0,2,0,0,2,2,2,1.000,0,0,0,-
신성현,3루수,-0.007,2019,두산,4,0,7,0,0,1,1,0,1.000,0,0,0,-
서예일,3루수,-0.008,2019,두산,2,0,8,0,0,1,1,0,1.000,0,0,0,-
이유찬,3루수,-0.014,2019,두산,4,1,10 2/3,0,0,0,1,0,1.000,0,0,0,-
신성현,우익수,-0.015,2019,두산,4,1,14,0,0,4,0,0,1.000,0,0,0,-
신성현,2루수,-0.029,2019,두산,1,1,4 2/3,1,0,2,2,0,0.800,0,0,0,-
오재원,1루수,-0.029,2019,두산,2,0,3 1/3,0,0,4,0,0,1.000,0,0,0,-
박유연,포수,-0.030,2019,두산,2,0,2,0,0,2,0,0,1.000,1,0,0,-
정병곤,유격수,-0.056,2019,두산,3,2,21,1,0,3,7,0,0.909,0,0,0,-
류지혁,유격수,-0.065,2019,두산,54,26,266,8,0,43,77,21,0.938,0,0,0,-
류지혁,우익수,-0.069,2019,두산,1,0,6,0,0,0,0,0,-,0,0,0,-
신성현,좌익수,-0.073,2019,두산,4,1,10 2/3,0,0,2,0,0,1.000,0,0,0,-
이유찬,2루수,-0.081,2019,두산,9,2,23,1,0,5,9,0,0.933,0,0,0,-
박건우,중견수,-0.107,2019,두산,11,8,55,0,0,17,0,0,1.000,0,0,0,-
오재일,1루수,-0.158,2019,두산,126,119,1044,4,0,1031,76,100,0.996,0,0,0,-
국해성,우익수,-0.194,2019,두산,12,8,66,2,0,13,0,0,0.867,0,0,0,-
정진호,우익수,-0.225,2019,두산,22,10,104,0,0,24,1,0,1.000,0,0,0,-
김경호,중견수,-0.324,2019,두산,7,3,23 2/3,0,0,6,0,0,1.000,0,0,0,-
최주환,3루수,-0.337,2019,두산,4,2,23,0,0,0,4,0,1.000,0,0,0,-
페르난데스,1루수,-0.360,2019,두산,15,15,117,3,0,105,3,14,0.973,0,0,0,-
오재원,2루수,-0.926,2019,두산,88,44,480 2/3,7,0,122,160,45,0.976,0,0,0,-
김재환,좌익수,-0.949,2019,두산,124,124,1010,0,0,228,5,1,1.000,0,0,0,-
