선수명,포지션,수비 승리 기여도,년도,팀명,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
강승호,2루수,1.639,2021,두산,103,82,686 1/3,5,0,137,226,46,0.986,0,0,0,-
김인태,우익수,0.815,2021,두산,83,75,536,0,0,145,4,2,1.000,0,0,0,-
박계범,유격수,0.720,2021,두산,64,43,374 1/3,1,0,70,87,21,0.994,0,0,0,-
박세혁,포수,0.627,2021,두산,96,73,575 1/3,4,2,495,51,1,0.993,2,39,19,32.8
김재호,유격수,0.598,2021,두산,83,63,543,4,0,108,150,41,0.985,0,0,0,-
조수행,중견수,0.507,2021,두산,36,9,140,1,0,61,1,0,0.984,0,0,0,-
안재석,유격수,0.286,2021,두산,61,37,340,9,0,67,97,22,0.948,0,0,0,-
안권수,우익수,0.216,2021,두산,52,3,107 1/3,0,0,27,0,0,1.000,0,0,0,-
김인태,좌익수,0.179,2021,두산,38,18,188,0,0,40,1,1,1.000,0,0,0,-
박지훈,유격수,0.177,2021,두산,1,0,4,0,0,3,1,0,1.000,0,0,0,-
강승호,1루수,0.143,2021,두산,17,0,22,0,0,12,5,2,1.000,0,0,0,-
백동훈,중견수,0.142,2021,두산,2,2,8,0,0,5,0,0,1.000,0,0,0,-
오재원,1루수,0.095,2021,두산,14,2,40 1/3,0,0,30,3,4,1.000,0,0,0,-
권민석,2루수,0.094,2021,두산,6,0,19,0,0,5,4,2,1.000,0,0,0,-
안재석,3루수,0.080,2021,두산,9,3,33,1,0,4,8,1,0.923,0,0,0,-
안재석,2루수,0.074,2021,두산,24,15,108 1/3,3,0,25,33,6,0.951,0,0,0,-
김인태,1루수,0.073,2021,두산,1,0,2,0,0,3,0,0,1.000,0,0,0,-
정수빈,중견수,0.072,2021,두산,103,77,731 2/3,1,0,218,4,1,0.996,0,0,0,-
박지훈,1루수,0.067,2021,두산,14,0,20 2/3,0,0,20,3,1,1.000,0,0,0,-
안권수,중견수,0.056,2021,두산,11,1,27 1/3,0,0,6,0,0,1.000,0,0,0,-
오재원,2루수,0.055,2021,두산,28,10,125 1/3,2,0,32,47,12,0.975,0,0,0,-
박계범,3루수,0.049,2021,두산,27,18,140 2/3,2,0,18,21,1,0.951,0,0,0,-
권민석,3루수,0.036,2021,두산,10,0,19,1,0,5,2,0,0.875,0,0,0,-
전민재,3루수,0.026,2021,두산,3,0,6,0,0,0,1,0,1.000,0,0,0,-
박지훈,3루수,0.016,2021,두산,6,0,9,0,0,1,1,0,1.000,0,0,0,-
국해성,우익수,0.010,2021,두산,3,1,13,0,0,2,0,0,1.000,0,0,0,-
김민혁,3루수,-0.001,2021,두산,1,0,1,0,0,0,0,0,-,0,0,0,-
